source_id,source_short_title,source_title,p_issn,e_issn,status,coverage,lang,2015cs,2015sjr,2015snip,2016cs,2016sjr,2016snip,2017cs,2017sjr,2017snip,medline_source,oa_status,inpress_art,add_april2018,source_type,title_hist,rel_title_hist,other1,other2,other3,pub_name,pub_group_short,pub_group,pub_country,class_code,top_class_life,top_class_social,topclassif_physics,top_classif_physics,top_classif_general,agri_bio,arts_human,biochem_gen_mol,business_man_acc,chem_eng,chem,comp,decision,earth_planet,econ_fin,energy,eng,enviro,immun_micro,material,math,med,neuro,nursing,pharmaco_toxic,astro_physics,psych,social,vet,dentistry,health
145168,AMS,Acta medica Indonesiana,01259326,,Active,2004-ongoing,,0.87,0.315,0,0.59,0.228,0,0.66,0.273,0,Medline-sourced,DOAJ/ROAD Open Access,,,Journal,,,,,,Indonesian Society of Internal Medicine,ISIM,Indonesian Society of Internal Medicine,Indonesia,2700;,,,,Health Sciences,,,,,,,,,,,,,,,,,,Medicine,,,,,,,,,
21100242817,AGR,Agrivita,01260537,,Active,2013-ongoing,"IND, ENG",0.1,0.121,0.037,0.17,0.156,0.209,0.35,0.163,0.501,,DOAJ/ROAD Open Access,,,Journal,,,,,,University Of Brawijaya,UB,University Of Brawijaya,Indonesia,1102;,Life Sciences,,,,,Agricultural and Biological Sciences,,,,,,,,,,,,,,,,,,,,,,,,,
21100322122,ALJ,Al-Jami'ah,0126012X,2338557X,Active,2014-ongoing,ENG,0,0.101,0,0.16,0.15,0.842,0.23,0.124,0.593,,DOAJ/ROAD Open Access,,,Journal,,,,,,UIN Sunan Kalijaga,UIN_SK,UIN Sunan Kalijaga,Indonesia,1200;,,Social Sciences,,,,,Arts and Humanities,,,,,,,,,,,,,,,,,,,,,,,,
21100216538,ASJCE,ASEAN Journal of Chemical Engineering,16554418,,Active,2012-ongoing,ENG,0.09,0.104,0.128,0.16,0.13,0.391,0.1,0.12,0.125,,,,,Journal,,,,,,Gadjah Mada University,UGM,Gadjah Mada University,Indonesia,1500;,,,Physical Sciences,,,,,,,Chemical Engineering,,,,,,,,,,,,,,,,,,,,,
21100826324,ATOM,Atom Indonesia,,23565322,Active,2017-ongoing,ENG,0.00,0,0,0,0,0,0,0,0,,,,Added,Journal,,,,,,National Nuclear Energy Agency,BATAN,National Nuclear Energy Agency,Indonesia,2311; 2741; 2104; 3106; 3108;,,,Physical Sciences,Health Sciences,,,,,,,,,,,,Energy,,Environmental Science,,,,Medicine,,,,Physics and Astronomy,,,,,
21100332431,BIODIVERSITAS,Biodiversitas,1412033X,20854722,Active,2014-ongoing,ENG,0.24,0.173,0.259,0.44,0.174,0.437,0.66,0.203,0.772,,DOAJ/ROAD Open Access,,,Journal,,,,,,"Biology department, Sebelas Maret University Surakarta",UNS,"Biology department, Sebelas Maret University Surakarta",Indonesia,1110; 1312; 1103;,Life Sciences,,,,,Agricultural and Biological Sciences,,"Biochemistry, Genetics and Molecular Biology",,,,,,,,,,,,,,,,,,,,,,,
20500195080,BIOTROPIA,Biotropia,02156334,,Active,2010-ongoing,ENG,0.2,0.115,0.166,0.48,0.191,0.771,0.28,0.128,0.17,,DOAJ/ROAD Open Access,,,Journal,,,,,,Southeast Asian Regional Centre for Tropical Biology (SEAMEO BIOTROP),SEAMEO,Southeast Asian Regional Centre for Tropical Biology (SEAMEO BIOTROP),Indonesia,1100; 2303; 1305;,Life Sciences,,Physical Sciences,,,Agricultural and Biological Sciences,,"Biochemistry, Genetics and Molecular Biology",,,,,,,,,,Environmental Science,,,,,,,,,,,,,
19900191860,BCREC,Bulletin of Chemical Reaction Engineering and Catalysis,19782993,,Active,2011-ongoing,ENG,0.54,0.202,0.569,0.47,0.177,0.415,0.77,0.2,0.686,,DOAJ/ROAD Open Access,,,Journal,,,,,,Diponegoro University,UNDIP,Diponegoro University,Indonesia,1508; 1503;,,,Physical Sciences,,,,,,,Chemical Engineering,,,,,,,,,,,,,,,,,,,,,
21100826382,BEEI,Bulletin of Electrical Engineering and Informatics,20893191,23029285,Active,2017-ongoing,ENG,0.00,0,0,0,0,0,0,0,0,,,,Added,Journal,,,,,,Institute of Advanced Engineering and Science (IAES),IAES,Institute of Advanced Engineering and Science (IAES),Indonesia,2208; 2606; 1705; 1708; 3105; 1710; 2207; 1701;,,,Physical Sciences,,,,,,,,,Computer Science,,,,,Engineering,,,,Mathematics,,,,,Physics and Astronomy,,,,,
87861,CCS,Critical Care and Shock,14107767,,Active,2002-ongoing,ENG,0.12,0.116,0.25,0.06,0.105,0.043,0.06,0.124,0.042,,,,,Journal,,,,,,Indonesian Society of Critical Care Medicine,ISCCM,Indonesian Society of Critical Care Medicine,Indonesia,2706;,,,,Health Sciences,,,,,,,,,,,,,,,,,,Medicine,,,,,,,,,
21100818724,EJGTA,Electronic Journal of Graph Theory and Applications,23382287,,Active,2017-ongoing,ENG,0.00,0,0,0,0,0,0.25,0.133,0.833,,DOAJ/ROAD Open Access,,,Journal,,,,,,Indonesian Combinatorics Society,ICS,Indonesian Combinatorics Society,Indonesia,2604; 2607;,,,Physical Sciences,,,,,,,,,,,,,,,,,,Mathematics,,,,,,,,,,
