Article_title,Year,First_author,Journal,JIF,JIF_year,JIF_5yrs,Times_cited,Pubs,Fields,Subfields,SJR Year,SJR,Cite Score
"A 20th century acceleration in global sea‐level rise
JA Church, NJ White - Geophysical research letters, 2006",2006,John Church,"Geophysical research letters, 2006",4.25,2016,,1426,AGU Publications,PM,GEOPH,2017,2.66,
"Changes in the velocity structure of the Greenland Ice Sheet
E Rignot, P Kanagaratnam - Science, 2006",2006,Eric Rignot,"Science, 2006",,2016,,1188,,PM,GEOPH,2017,14.14,
"Climate change hot‐spots
F Giorgi - Geophysical research letters, 2006",2006,FILIPPO GIORGI,"Geophysical research letters, 2006",4.25,2016,,975,AGU Publications,PM,GEOPH,2017,2.66,
"Post‐processing removal of correlated errors in GRACE data
S Swenson, J Wahr - Geophysical Research Letters, 2006",2006,No profiles,"Geophysical Research Letters, 2006",4.25,2016,,823,AGU Publications,PM,GEOPH,2017,2.66,
"Global Mapping Function (GMF): A new empirical mapping function based on numerical weather model data
J Böhm, A Niell, P Tregoning… - Geophysical Research …, 2006",2006,Johannes Böhm,"Geophysical Research Letters, 2006",4.25,2016,,644,AGU Publications,PM,GEOPH,2017,2.66,
"Future abrupt reductions in the summer Arctic sea ice
MM Holland, CM Bitz, B Tremblay - Geophysical research letters, 2006",2006,Marika Holland,"Geophysical Research Letters, 2006",4.25,2016,,624,AGU Publications,PM,GEOPH,2017,2.66,
"Climate impacts of the Atlantic multidecadal oscillation
JR Knight, CK Folland, AA Scaife - Geophysical Research Letters, 2006",2006,Chris Folland,"Geophysical Research Letters, 2006",4.25,2016,,553,AGU Publications,PM,GEOPH,2017,2.66,
"Amazon rainforests green‐up with sunlight in dry season
AR Huete, K Didan, YE Shimabukuro… - Geophysical research …, 2006",2006,Ranga Myneni,"Geophysical Research Letters, 2006",4.25,2016,,523,AGU Publications,PM,GEOPH,2017,2.66,
"Impact of Atlantic multidecadal oscillations on India/Sahel rainfall and Atlantic hurricanes
R Zhang, TL Delworth - Geophysical Research Letters, 2006",2006,Rong Zhang,"Geophysical Research Letters, 2006",4.25,2016,,517,AGU Publications,PM,GEOPH,2017,2.66,
"Green’s function representations for seismic interferometry
K Wapenaar, J Fokkema - Geophysics, 2006",2006,Kees Wapenaar,"Geophysics, 2006",,2016,,515,Society of Exploration Geophysicists,PM,GEOPH,2017,1.02,
