Article_title,Year,First_author,Journal,JIF,JIF_year,JIF_5yrs,Cite_counts,Pubs,Fields,Subfields,SJR Year,SJR,Cite Score
"Identification and assessment of intercultural competence as a student outcome of internationalization
DK Deardorff - Journal of studies in international education, 2006",2006,Darla Deardorff,"Journal of studies in international education, 2006",1.294,2016,1.701,1467,ASIE,Socsci,HiEdu,2017,2.13,
"Student engagement and student learning: Testing the linkages
RM Carini, GD Kuh, SP Klein - Research in higher education, 2006",2006,No profiles,"Research in higher education, 2006",1.5,2016,,1230,Springer,Socsci,HiEdu,2017,1.7,
"Dynamics of national and global competition in higher education
S Marginson - Higher education, 2006",2006,Simon Marginson,"Higher education, 2006",1.883,2016,,872,Roudledge /Taylor & Franscis,Socsci,HiEdu,2017,1.78,
"Aligning assessment with long‐term learning
D Boud, N Falchikov - Assessment & Evaluation in Higher …, 2006",2006,David Boud,"Assessment & Evaluation in Higher Education, 2006",1.391,2016,,839,Roudledge /Taylor & Franscis,Socsci,HiEdu,2017,1.15,
"Do students value feedback? Student perceptions of tutors’ written responses
MR Weaver - Assessment & Evaluation in Higher Education, 2006",2006,No profile,"Assessment & Evaluation in Higher Education, 2006",1.391,2016,,587,Roudledge /Taylor & Franscis,Socsci,HiEdu,2017,1.15,
"Understanding what we mean by the generic attributes of graduates
SC Barrie - Higher education, 2006",2006,Simon Barrie,"Higher education, 2006",1.883,2016,,569,Roudledge /Taylor & Franscis,Socsci,HiEdu,2017,1.78,
"Academic dishonesty in graduate business programs: Prevalence, causes, and proposed action
DL McCabe, KD Butterfield… - Academy of Management …, 2006",2006,Linda Trevino,"Academy of Management Learning & Education, 2006",2.426,2016,3.796,539,Academy of Management,Socsci,HiEdu,2017,1.48,
"How approaches to teaching are affected by discipline and teaching context
S Lindblom‐Ylänne, K Trigwell, A Nevgi… - Studies in Higher …, 2006",2006,Sari Lindblom-Ylänne,Studies in Higher Education,1.527,2016,,488,Roudledge /Taylor & Franscis,Socsci,HiEdu,2017,1.51,
"Peer feedback: the learning element of peer assessment
NF Liu, D Carless - Teaching in Higher education, 2006",2006,David Carless,"Teaching in Higher education, 2006",0.814,2016,,478,Roudledge /Taylor & Franscis,Socsci,HiEdu,2017,0.83,
"First things first: Developing academic competence in the first year of college
RD Reason, PT Terenzini… - Research in Higher …, 2006",2006,Robert Reason,"Research in higher education, 2006",1.5,2016,,401,Springer,Socsci,HiEdu,2017,1.7,
"An effective method for building meaning vocabulary in primary grades.
A Biemiller, C Boote - Journal of Educational Psychology, 2006",2006,No profiles,"Journal of Educational Psychology, 2006",3.459,2016,5.24,675,American Phychological Assosiasion,Socsci,ECEdu,2017,2.93,
"Number sense growth in kindergarten: A longitudinal investigation of children at risk for mathematics difficulties
NC Jordan, D Kaplan, L Nabors Oláh… - Child …, 2006",2006,Nancy C Jordan,Child Development,4.195,,,554,Wiley,Socsci,ECEdu,2017,2.98,
"The impact of kindergarten learning-related skills on academic trajectories at the end of elementary school
MM McClelland, AC Acock… - Early Childhood Research …, 2006",2006,Megan McClelland,Early Childhood Research Quarterly,2.436,2016,3.103,550,Elsevier,Socsci,ECEdu,2017,1.81,
"The effects of a language and literacy intervention on Head Start children and teachers.
BA Wasik, MA Bond, A Hindman - Journal of Educational …, 2006",2006,No profiles,"Journal of Educational Psychology, 2006",3.459,2016,5.24,516,American Phychological Assosiasion,Socsci,ECEdu,2017,2.93,
"Social-emotional competence as support for school readiness: What is it and how do we assess it?
SA Denham - Early education and development, 2006",2006,Susanne Denham,Early Education and Development,1.279,2016,,477,Roudledge /Taylor & Franscis,Socsci,ECEdu,2017,1.81,
"Prediction of reading comprehension: Relative contributions of word recognition, language proficiency, and other cognitive skills can depend on how comprehension is measured
LE Cutting, HS Scarborough - Scientific studies of reading, 2006",2006,Laurie Cutting,"cientific studies of reading, 2006",3.056,2016,,467,Roudledge /Taylor & Franscis,Socsci,ECEdu,2017,2.4,
