Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Tomitani, A., Knoll, A.H., Cavanaugh, C.M., Ohno, T.","12807985100;7102250655;7005808019;7402659225;","The evolutionary diversification of cyanobacteria: Molecular-phylogenetic and paleontological perspectives",2006,"Proceedings of the National Academy of Sciences of the United States of America","103","14",,"5442","5447",,239,"10.1073/pnas.0600999103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645776968&doi=10.1073%2fpnas.0600999103&partnerID=40&md5=7ec20ee907ff1180f11714713c588cc8",Article,Open Access,Scopus,2-s2.0-33645776968
"Stiller, M., Green, R.E., Ronan, M., Simons, J.F., Du, L., He, W., Egholm, M., Rothberg, J.M., Keats, S.G., Ovodov, N.D., Antipina, E.E., Baryshnikov, G.F., Kuzmin, Y.V., Vasilevski, A.A., Wuenschell, G.E., Termini, J., Hofreiter, M., Jaenicke-Després, V., Pääbo, S.","21834940400;36023707900;7006671330;7202348561;36191558700;57198465395;7003454634;35450975200;14622449800;14623183200;14026606100;6701669211;7005688056;6505596326;6507559509;55911831000;6701450663;14622674500;7006151134;","Patterns of nucleotide misincorporations during enzymatic amplification and direct large-scale sequencing of ancient DNA",2006,"Proceedings of the National Academy of Sciences of the United States of America","103","37",,"13578","13584",,116,"10.1073/pnas.0605327103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748783644&doi=10.1073%2fpnas.0605327103&partnerID=40&md5=bf2377ad3ff6d56299d9a595a5146745",Article,Open Access,Scopus,2-s2.0-33748783644
"Smith, A.B., Pisani, D., Mackenzie-Dodds, J.A., Stockley, B., Webster, B.L., Littlewood, D.T.J.","7406749968;7003342002;13605989700;7801353672;10838967000;19836442500;","Testing the molecular clock: Molecular and paleontological estimates of divergence times in the echinoidea (Echinodermata)",2006,"Molecular Biology and Evolution","23","10",,"1832","1851",,115,"10.1093/molbev/msl039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748793941&doi=10.1093%2fmolbev%2fmsl039&partnerID=40&md5=dd6d9f0cbd4953c380a305d73c47ab09",Article,Open Access,Scopus,2-s2.0-33748793941
"Hunt, G., Roy, K.","8502893500;7202665916;","Climate change, body size evolution, and Cope's Rule deep-sea ostracodes",2006,"Proceedings of the National Academy of Sciences of the United States of America","103","5",,"1347","1352",,103,"10.1073/pnas.0510550103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-31944444987&doi=10.1073%2fpnas.0510550103&partnerID=40&md5=4855a5a6a179cf4cc1c530a7a8ee91fe",Article,Open Access,Scopus,2-s2.0-31944444987
"Worthy, T.H., Tennyson, A.J.D., Archer, M., Musser, A.M., Hand, S.J., Jones, C., Douglas, B.J., McNamara, J.A., Beck, R.M.D.","7006978638;6701895297;7102488403;7004004046;26643241000;8656422100;7102243769;55553732067;8930883200;","Miocene mammal reveals a Mesozoic ghost lineage on insular New Zealand, southwest Pacific",2006,"Proceedings of the National Academy of Sciences of the United States of America","103","51",,"19419","19423",,86,"10.1073/pnas.0605684103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845914085&doi=10.1073%2fpnas.0605684103&partnerID=40&md5=05bdae6fa0d3c4b8a757c867efbccdf0",Article,Open Access,Scopus,2-s2.0-33845914085
"Thomas, J.A., Welch, J.J., Woolfit, M., Bromham, L.","19337953500;56742751600;6506721978;7004168144;","There is no universal molecular clock for invertebrates, but rate variation does not scale with body size",2006,"Proceedings of the National Academy of Sciences of the United States of America","103","19",,"7366","7371",,75,"10.1073/pnas.0510251103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646591222&doi=10.1073%2fpnas.0510251103&partnerID=40&md5=54f16f45b2d4fff0dd46b8106fad8236",Article,Open Access,Scopus,2-s2.0-33646591222
"Lordkipanidze, D., Vekua, A., Ferring, R., Rightmire, G.P., Zollikofer, C.P.E., De León, M.S.P., Agusti, J., Kiladze, G., Mouskhelishvili, A., Nioradze, M., Tappen, M.","6602519598;6602374411;6505819559;6701432879;7006560849;55439067100;7003703213;8218966800;8218966900;6603433617;6603296388;","A fourth hominin skull from Dmanisi, Georgia",2006,"Anatomical Record - Part A Discoveries in Molecular, Cellular, and Evolutionary Biology","288","11",,"1146","1157",,74,"10.1002/ar.a.20379","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750503228&doi=10.1002%2far.a.20379&partnerID=40&md5=f717d85e59632593a43990261a764d68",Article,Open Access,Scopus,2-s2.0-33750503228
"Maxwell, E.E., Caldwell, M.W.","7005702069;36766267000;","A new genus of ichthyosaur from the Lower Cretaceous of western Canada",2006,"Palaeontology","49","5",,"1043","1052",,37,"10.1111/j.1475-4983.2006.00589.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748148584&doi=10.1111%2fj.1475-4983.2006.00589.x&partnerID=40&md5=a35166e5aee6d57ab13b8e88517d5f89",Article,Open Access,Scopus,2-s2.0-33748148584
"Tejedor, M.F., Tauber, A.A., Rosenberger, A.L., Swisher III, C.C., Palacios, M.E.","8577699500;7004977341;7006701962;35499926000;12808149500;","New primate genus from the Miocene of Argentina",2006,"Proceedings of the National Academy of Sciences of the United States of America","103","14",,"5437","5441",,37,"10.1073/pnas.0506126103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645769012&doi=10.1073%2fpnas.0506126103&partnerID=40&md5=790796607f6a91f2fd2f06bc71f4ab91",Article,Open Access,Scopus,2-s2.0-33645769012
"Puolamäki, K., Fortelius, M., Mannila, H.","12141481400;6701375676;7005002288;","Seriation in paleontological data using Markov chain Monte Carlo methods",2006,"PLoS Computational Biology","2","2",,"62","70",,35,"10.1371/journal.pcbi.0020006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645797854&doi=10.1371%2fjournal.pcbi.0020006&partnerID=40&md5=fcc3de29cdccbbdc8b4276287d5777f1",Article,Open Access,Scopus,2-s2.0-33645797854
"Shoshani, J., Walter, R.C., Abraha, M., Berhe, S., Tassy, P., Sanders, W.J., Marchant, G.H., Libsekal, Y., Ghirmai, T., Zinner, D.","6602183212;7201766758;56593322400;6602798219;6701548692;7202691637;14013054500;6507308759;15070033800;7003661766;","A proboscidean from the late oligocene of eritrea, a ""missing link"" between early elephantiformes and elephantimorpha, and biogeographic implications",2006,"Proceedings of the National Academy of Sciences of the United States of America","103","46",,"17296","17301",,33,"10.1073/pnas.0603689103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751220529&doi=10.1073%2fpnas.0603689103&partnerID=40&md5=a4ea821ff4223fce5d8115fa72cee087",Article,Open Access,Scopus,2-s2.0-33751220529
"Pujos, F.","7801419327;","Megatherium celendinense sp. nov. from the Pleistocene of the Peruvian Andes and the phylogenetic relationships of megatheriines",2006,"Palaeontology","49","2",,"285","306",,32,"10.1111/j.1475-4983.2006.00522.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646454134&doi=10.1111%2fj.1475-4983.2006.00522.x&partnerID=40&md5=ba7e82a80ead603fdc52cb416b1de7b8",Article,Open Access,Scopus,2-s2.0-33646454134
"McDonald, J.P., Hall, A., Gasparutto, D., Cadet, J., Ballantyne, J., Woodgate, R.","7404233718;7403288240;7003802026;35421128300;7103216781;7102095486;","Novel thermostable Y-family polymerases: Applications for the PCR amplification of damaged or ancient DNAs",2006,"Nucleic Acids Research","34","4",,"1102","1111",,32,"10.1093/nar/gkj512","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644872630&doi=10.1093%2fnar%2fgkj512&partnerID=40&md5=a293b81db9c464e704393c99f7344c05",Article,Open Access,Scopus,2-s2.0-33644872630
