Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Fagherazzi, S., Carniello, L., D'Alpaos, L., Defina, A.","6701805445;23003812100;6602708681;6603799657;","Critical bifurcation of shallow microtidal landforms in tidal flats and salt marshes",2006,"Proceedings of the National Academy of Sciences of the United States of America","103","22",,"8337","8341",,129,"10.1073/pnas.0508379103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744808588&doi=10.1073%2fpnas.0508379103&partnerID=40&md5=18c346fe26d3ffe15808dbce06eef176",Article,Open Access,Scopus,2-s2.0-33744808588
"Kasting, J.F., Howard, M.T., Wallmann, K., Veizer, J., Shields, G., Jaffrés, J.","7006432040;55433981100;7004219663;7006920633;14626549300;15070973800;","Paleoclimates, ocean depth, and the oxygen isotopic composition of seawater",2006,"Earth and Planetary Science Letters","252","1-2",,"82","93",,123,"10.1016/j.epsl.2006.09.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751253753&doi=10.1016%2fj.epsl.2006.09.029&partnerID=40&md5=3891a12db55c031155118513b833101a",Article,Open Access,Scopus,2-s2.0-33751253753
"Dai, S., Fang, X., Dupont-Nivet, G., Song, C., Gao, J., Krijgsman, W., Langereis, C., Zhang, W.","8724997000;7401433183;55896897900;7403252967;55998738800;7003956416;7004123729;24172307500;","Magnetostratigraphy of Cenozoic sediments from the Xining Basin: Tectonic implications for the northeastern Tibetan Plateau",2006,"Journal of Geophysical Research: Solid Earth","111","11", B11102,"","",,111,"10.1029/2005JB004187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846906735&doi=10.1029%2f2005JB004187&partnerID=40&md5=3afbe4be10c706f63dd70a4834c6f089",Article,Open Access,Scopus,2-s2.0-33846906735
"Kienast, S.S., Kienast, M., Jaccard, S., Calvert, S.E., François, R.","8091667800;6602789424;16402244600;7101905151;55366988900;","Testing the silica leakage hypothesis with sedimentary opal records from the eastern equatorial Pacific over the last 150 kyrs",2006,"Geophysical Research Letters","33","15", L15607,"","",,42,"10.1029/2006GL026651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845652577&doi=10.1029%2f2006GL026651&partnerID=40&md5=98feebc404501a1d2e93f6849f0ea541",Article,Open Access,Scopus,2-s2.0-33845652577
"Imaizumi, F., Sidle, R.C., Tsuchiya, S., Ohsaka, O.","8961837900;7006885391;35450025100;8961837800;","Hydrogeomorphic processes in a steep debris flow initiation zone",2006,"Geophysical Research Letters","33","10", L10404,"","",,37,"10.1029/2006GL026250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745865107&doi=10.1029%2f2006GL026250&partnerID=40&md5=56fe984e6a7db165a1a94b50b58f3e0c",Article,Open Access,Scopus,2-s2.0-33745865107
"Garcia-Orellana, J., Gràcia, E., Vizcaino, A., Masqué, P., Olid, C., Martínez-Ruiz, F., Piñero, E., Sanchez-Cabeza, J.-A., Dañobeitia, J.","23097483000;7003693413;16481432900;6603775630;19337737300;55887190600;21233881200;7004711888;55401706700;","Identifying instrumental and historical earthquake records in the SW Iberian margin 210Pb turbidite chronology",2006,"Geophysical Research Letters","33","24", L24601,"","",,22,"10.1029/2006GL028417","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547775295&doi=10.1029%2f2006GL028417&partnerID=40&md5=a5075b6b4cf7f49caa2d746f58a2b337",Article,Open Access,Scopus,2-s2.0-34547775295
"Lamoureux, S.F., Stewart, K.A., Forbes, A.C., Fortin, D.","6701693693;8725916400;8972840700;12766625200;","Multidecadal variations and decline in spring discharge in the Canadian middle Arctic since 1550 AD",2006,"Geophysical Research Letters","33","2", L02403,"","",,21,"10.1029/2005GL024942","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644765199&doi=10.1029%2f2005GL024942&partnerID=40&md5=b18037141ea27cbaceda1d08bbe98625",Article,Open Access,Scopus,2-s2.0-33644765199
"Lacassie, J.P., Hervé, F., Roser, B.","6507846616;7006113631;7006651272;","Sedimentary provenance study of the post-Early Permian to pre-Early Cretaceous metasedimentary Duque de York Complex, Chile",2006,"Revista Geologica de Chile","33","2",,"199","219",,18,"10.4067/S0716-02082006000200001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-37849185985&doi=10.4067%2fS0716-02082006000200001&partnerID=40&md5=97c0a391943d11ee19792298ddeb612e",Article,Open Access,Scopus,2-s2.0-37849185985
"Teague, W.J., Jarosz, E., Keen, T.R., Wang, D.W., Hulbert, M.S.","7006158951;8648373900;7005386641;7407075213;8718416300;","Bottom scour observed under Hurricane Ivan",2006,"Geophysical Research Letters","33","7", L07607,"","",,16,"10.1029/2005GL025281","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646845823&doi=10.1029%2f2005GL025281&partnerID=40&md5=f3d1707eb96ce9d464b371c3cd0d58bf",Article,Open Access,Scopus,2-s2.0-33646845823
"Federici, B., Seminara, G.","7006862054;7004373396;","Effect of suspended load oil sandbar instability",2006,"Water Resources Research","42","7", W07407,"","",,10,"10.1029/2005WR004399","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746721785&doi=10.1029%2f2005WR004399&partnerID=40&md5=a49c8bc096db26c5f373d2517dabdca3",Article,Open Access,Scopus,2-s2.0-33746721785
