Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Wang, C., Zhao, X., Liu, Z., Lippert, P.C., Graham, S.A., Coe, R.S., Yi, H., Zhu, L., Liu, S., Li, Y.","55683986400;7407576088;55714496600;36878420800;7401977987;7005680328;7202720197;55710387700;8152331500;18434570400;","Constraints on the early uplift history of the Tibetan Plateau",2008,"Proceedings of the National Academy of Sciences of the United States of America","105","13",,"4987","4992",,344,"10.1073/pnas.0703595105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44349191413&doi=10.1073%2fpnas.0703595105&partnerID=40&md5=6caf5763025b0af6da21a91a50d58dbf",Article,Open Access,Scopus,2-s2.0-44349191413
"Kirwan, M.L., Guntenspergen, G.R., D'Alpaos, A., Morris, J.T., Mudd, S.M., Temmerman, S.","10044268300;6603361494;6506326460;7405893178;12243675500;6602902860;","Limits on the adaptability of coastal marshes to rising sea level",2010,"Geophysical Research Letters","37","23", L23401,"","",,301,"10.1029/2010GL045489","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649813543&doi=10.1029%2f2010GL045489&partnerID=40&md5=dc77a45b462c57bdfcae97e04f6394af",Article,Open Access,Scopus,2-s2.0-78649813543
"Rutqvist, J.","6701571717;","The geomechanics of CO <inf>2</inf> storage in deep sedimentary formations",2012,"Geotechnical and Geological Engineering","30","3",,"525","551",,259,"10.1007/s10706-011-9491-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861812124&doi=10.1007%2fs10706-011-9491-0&partnerID=40&md5=8c8f116ef72165e402a49f3b230064bd",Article,Open Access,Scopus,2-s2.0-84861812124
"Liu, Q., Roberts, A.P., Larrasoaa, J.C., Banerjee, S.K., Guyodo, Y., Tauxe, L., Oldfield, F.","7406293686;7404498930;6603049826;14067115600;35780879000;7005630138;7006088013;","Environmental magnetism: Principles and applications",2012,"Reviews of Geophysics","50","4", RG4002,"","",,231,"10.1029/2012RG000393","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868614199&doi=10.1029%2f2012RG000393&partnerID=40&md5=8ad8730fd2328d54dba29fb189aab8bb",Article,Open Access,Scopus,2-s2.0-84868614199
"Fagherazzi, S., Kirwan, M.L., Mudd, S.M., Guntenspergen, G.R., Temmerman, S., D'Alpaos, A., Van De Koppel, J., Rybczyk, J.M., Reyes, E., Craft, C., Clough, J.","6701805445;10044268300;12243675500;6603361494;6602902860;6506326460;6603918881;6602740025;7102191983;7006737357;23569553000;","Numerical models of salt marsh evolution: Ecological, geomorphic, and climatic factors",2012,"Reviews of Geophysics","50","1", RG1002,"","",,226,"10.1029/2011RG000359","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855611580&doi=10.1029%2f2011RG000359&partnerID=40&md5=f56bf528f80128c9f559336d3ae1ccbd",Article,Open Access,Scopus,2-s2.0-84855611580
"Hacker, B.R.","7006140139;","H&lt;inf&gt;2&lt;/inf&gt;O subduction beyond arcs",2008,"Geochemistry, Geophysics, Geosystems","9","3", Q03001,"","",,224,"10.1029/2007GC001707","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857593851&doi=10.1029%2f2007GC001707&partnerID=40&md5=a8dc5009fb6b56169aeff9b8b80821d5",Article,Open Access,Scopus,2-s2.0-84857593851
"Erftemeijer, P.L.A., Riegl, B., Hoeksema, B.W., Todd, P.A.","6603066475;7003294093;6506357675;7102895909;","Environmental impacts of dredging and other sediment disturbances on corals: A review",2012,"Marine Pollution Bulletin","64","9",,"1737","1765",,218,"10.1016/j.marpolbul.2012.05.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865380478&doi=10.1016%2fj.marpolbul.2012.05.008&partnerID=40&md5=8039a0b5996dce964aa34e0e99ac01f9",Article,Open Access,Scopus,2-s2.0-84865380478
"Jerolmack, D.J., Paola, C.","6505952468;7004304292;","Shredding of environmental signals by sediment transport",2010,"Geophysical Research Letters","37","19", L19401,"","",,195,"10.1029/2010GL044638","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958068077&doi=10.1029%2f2010GL044638&partnerID=40&md5=e412ab6a89c6b7461036d1ab3f8d90a5",Article,Open Access,Scopus,2-s2.0-77958068077
"Syvitski, J.P.M., Kettner, A.","25946569800;9039420300;","Sediment flux and the anthropocene",2011,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences","369","1938",,"957","975",,190,"10.1098/rsta.2010.0329","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952340213&doi=10.1098%2frsta.2010.0329&partnerID=40&md5=59370461c8da0f9253a01cf560ca59e9",Article,Open Access,Scopus,2-s2.0-79952340213
"Kennedy, H., Beggins, J., Duarte, C.M., Fourqurean, J.W., Holmer, M., Marbá, N., Middelburg, J.J.","7201694818;36674569400;55636631300;7003573922;7003417535;7003704643;7005932366;","Seagrass sediments as a global carbon sink: Isotopic constraints",2010,"Global Biogeochemical Cycles","24","4", GB4026,"","",,187,"10.1029/2010GB003848","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650129390&doi=10.1029%2f2010GB003848&partnerID=40&md5=21606e7a264e057c47c5c186311f13d0",Article,Open Access,Scopus,2-s2.0-78650129390
"Roberts, A.P., Chang, L., Rowan, C.J., Horng, C.-S., Florindo, F.","7404498930;18633786000;10439451000;7005053438;56415177200;","Magnetic properties of sedimentary greigite (Fe&lt;inf&gt;3&lt;/inf&gt;S&lt;inf&gt;4&lt;/inf&gt;): An update",2011,"Reviews of Geophysics","49","1", RG1002,"","",,184,"10.1029/2010RG000336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79551595505&doi=10.1029%2f2010RG000336&partnerID=40&md5=26a5ea2cff8e3ad4f447d1cfc2a7b1a1",Article,Open Access,Scopus,2-s2.0-79551595505
"Graham, D.W., Olivares-Rieumont, S., Knapp, C.W., Lima, L., Werner, D., Bowen, E.","57199142195;22951879500;7102908034;8068587600;7202897961;24178192700;","Antibiotic resistance gene abundances associated with waste discharges to the Almendares river near Havana, Cuba",2011,"Environmental Science and Technology","45","2",,"418","424",,145,"10.1021/es102473z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651388260&doi=10.1021%2fes102473z&partnerID=40&md5=28790bf39b3e167f31a34ac0e97591d1",Article,Open Access,Scopus,2-s2.0-78651388260
"Brasington, J., Vericat, D., Rychkov, I.","6603363780;8841850200;55067687500;","Modeling river bed morphology, roughness, and surface sedimentology using high resolution terrestrial laser scanning",2012,"Water Resources Research","48","11", W11519,"","",,138,"10.1029/2012WR012223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869996255&doi=10.1029%2f2012WR012223&partnerID=40&md5=8366adcea732e68c76e80daa7be8280a",Article,Open Access,Scopus,2-s2.0-84869996255
"Zhang, X., Zhang, L., Zhao, J., Rustomji, P., Hairsine, P.","56898188200;9842493700;57191638485;6506539967;7004164986;","Responses of streamflow to changes in climate and land use/cover in the Loess Plateau, China",2009,"Water Resources Research","45","7", W00A07,"","",,129,"10.1029/2007WR006711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69249149619&doi=10.1029%2f2007WR006711&partnerID=40&md5=2975cc7bdb667db025b55a80442b071e",Article,Open Access,Scopus,2-s2.0-69249149619
"Fagherazzi, S., Carniello, L., D'Alpaos, L., Defina, A.","6701805445;23003812100;6602708681;6603799657;","Critical bifurcation of shallow microtidal landforms in tidal flats and salt marshes",2006,"Proceedings of the National Academy of Sciences of the United States of America","103","22",,"8337","8341",,129,"10.1073/pnas.0508379103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744808588&doi=10.1073%2fpnas.0508379103&partnerID=40&md5=18c346fe26d3ffe15808dbce06eef176",Article,Open Access,Scopus,2-s2.0-33744808588
"Zhang, C.L., Ye, Q., Huang, Z., Li, W., Chen, J., Song, Z., Zhao, W., Bagwell, C., Inskeep, W.P., Ross, C., Gao, L., Wiegel, J., Romanek, C.S., Shock, E.L., Hedlund, B.P.","7405489900;55216219400;57198606860;55664318000;54379707900;35312359400;7403943238;7006689876;7005644647;56273099600;56505975000;7007036944;6603780398;7007151164;7005265876;","Global occurrence of archaeal amoA genes in terrestrial hot springs",2008,"Applied and Environmental Microbiology","74","20",,"6417","6426",,126,"10.1128/AEM.00843-08","https://www.scopus.com/inward/record.uri?eid=2-s2.0-54949087158&doi=10.1128%2fAEM.00843-08&partnerID=40&md5=4bf47a2df62def41a671acc0cae44c10",Article,Open Access,Scopus,2-s2.0-54949087158
"Liu, Z., Liu, J., Zhu, Q., Wu, W.","8659838800;55376630400;7403313154;55707547000;","The weathering of oil after the DeepwaterHorizon oil spill: Insights from the chemical composition of the oil from the sea surface, salt marshes and sediments",2012,"Environmental Research Letters","7","3", 035302,"","",,125,"10.1088/1748-9326/7/3/035302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867034498&doi=10.1088%2f1748-9326%2f7%2f3%2f035302&partnerID=40&md5=97f808d141687acb337107b5c363ba63",Article,Open Access,Scopus,2-s2.0-84867034498
