Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Clinton, J.F., Bradford, S.C., Heaton, T.H., Favela, J.","14919275300;9132788200;35409330800;55805839700;","The observed wander of the natural frequencies in a structure",2006,"Bulletin of the Seismological Society of America","96","1",,"237","257",,159,"10.1785/0120050052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644515293&doi=10.1785%2f0120050052&partnerID=40&md5=88aae793912eec5024a7e39916ce3ade",Article,Open Access,Scopus,2-s2.0-33644515293
"Battaglia, M., Troise, C., Obrizzo, F., Pingue, F., De Natale, G.","7201908712;7003797517;55930070700;6701566331;7006560861;","Evidence for fluid migration as the source of deformation at Campi Flegrei caldera (Italy)",2006,"Geophysical Research Letters","33","1",,"","",,153,"10.1029/2005GL024904","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644636056&doi=10.1029%2f2005GL024904&partnerID=40&md5=a97279eff93676cc8224e5777da74feb",Article,Open Access,Scopus,2-s2.0-33644636056
"Vaughan, D.G., Corr, H.F.J., Ferraccioli, F., Frearson, N., O'Hare, A., Mach, D., Holt, J.W., Blankenship, D.D., Morse, D.L., Young, D.A.","7202019538;6602216254;55915866100;23050013700;14032148500;14031936100;35591242000;7007027925;7202245396;14032532000;","New boundary conditions for the West Antarctic ice sheet: Subglacial topography beneath Pine Island Glacier",2006,"Geophysical Research Letters","33","9", L09501,"","",,118,"10.1029/2005GL025588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745713503&doi=10.1029%2f2005GL025588&partnerID=40&md5=6c2699ac778b16f160a4f99325e3ac2b",Article,Open Access,Scopus,2-s2.0-33745713503
"Liang, C., Song, X.","55862900700;35726345200;","A low velocity belt beneath northern and eastern Tibetan Plateau from Pn tomography",2006,"Geophysical Research Letters","33","22", L22306,"","",,102,"10.1029/2006GL027926","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34447554981&doi=10.1029%2f2006GL027926&partnerID=40&md5=435158b096ffaef6b398e5e7e825c312",Article,Open Access,Scopus,2-s2.0-34447554981
"Holt, J.W., Blankenship, D.D., Morse, D.L., Young, D.A., Peters, M.E., Kempf, S.D., Richter, T., Vaughan, D.G., Corr, H.F.J.","35591242000;7007027925;7202245396;14032532000;36935871600;7004011762;8257427600;7202019538;6602216254;","New boundary conditions for the West Antarctic Ice Sheet: Subglacial topography of the Thwaites and Smith glacier catchments",2006,"Geophysical Research Letters","33","9", L09502,"","",,98,"10.1029/2005GL025561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745727418&doi=10.1029%2f2005GL025561&partnerID=40&md5=ff0ae9508ac676b07528c38958415838",Article,Open Access,Scopus,2-s2.0-33745727418
"Head, J.W., Nahm, A.L., Marchant, D.R., Neukum, G.","55170315500;14024836800;7006465242;7003350103;","Modification of the dichotomy boundary on Mars by Amazonian mid-latitude regional glaciation",2006,"Geophysical Research Letters","33","8", L08S03,"","",,97,"10.1029/2005GL024360","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745466137&doi=10.1029%2f2005GL024360&partnerID=40&md5=7f789269f7202bd969ba2f06d662828e",Article,Open Access,Scopus,2-s2.0-33745466137
"Calais, E., Dong, L., Wang, M., Shen, Z., Vergnolle, M.","7007060133;57199776005;55553729260;7403324030;6701417490;","Continental deformation in Asia from a combined GPS solution",2006,"Geophysical Research Letters","33","24", L24319,"","",,89,"10.1029/2006GL028433","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247611150&doi=10.1029%2f2006GL028433&partnerID=40&md5=34882b1b7db15f7bec1c47cce543f7a6",Article,Open Access,Scopus,2-s2.0-34247611150
"Helffrich, G.","7003824915;","Extended-time multitaper frequency domain cross-correlation receiver-function estimation",2006,"Bulletin of the Seismological Society of America","96","1",,"344","347",,85,"10.1785/0120050098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644550291&doi=10.1785%2f0120050098&partnerID=40&md5=69caef2224358a3de2b7520535a32dbb",Article,Open Access,Scopus,2-s2.0-33644550291
"Voight, B., Linde, A.T., Sacks, I.S., Mattioli, G.S., Sparks, R.S.J., Elsworth, D., Hidayat, D., Malin, P.E., Shalev, E., Widiwijayanti, C., Young, S.R., Bass, V., Clarke, A., Dunkley, P., Johnston, W., McWhorter, N., Neuberg, J., Williams, P.","7006549154;7102689397;7004875976;7103006260;7202344707;7005281835;6602624360;7004503806;7102234083;6506182673;55951223200;12808836700;8096841900;7004567461;55436163700;12809265600;6603967050;57198871901;","Unprecedented pressure increase in deep magma reservoir triggered by lava-dome collapse",2006,"Geophysical Research Letters","33","3", L03312,"","",,61,"10.1029/2005GL024870","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645808707&doi=10.1029%2f2005GL024870&partnerID=40&md5=0294c84e2c165b3ec6ade65443259929",Article,Open Access,Scopus,2-s2.0-33645808707
"Diller, K., Clarke, A.B., Voight, B., Neri, A.","16028099000;8096841900;7006549154;7202887068;","Mechanisms of conduit plug formation: Implications for vulcanian explosions",2006,"Geophysical Research Letters","33","20", L20302,"","",,55,"10.1029/2006GL027391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845662239&doi=10.1029%2f2006GL027391&partnerID=40&md5=5b1d32e4df9b078fe238620a61cce130",Article,Open Access,Scopus,2-s2.0-33845662239
"Pancha, A., Anderson, J.G., Kreemer, C.","6602377363;7407513066;6603433298;","Comparison of seismic and geodetic scalar moment rates across the Basin and Range province",2006,"Bulletin of the Seismological Society of America","96","1",,"11","32",,46,"10.1785/0120040166","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644514935&doi=10.1785%2f0120040166&partnerID=40&md5=6c2f6de2af3b2f2d4dd14c0ce02c7a6e",Article,Open Access,Scopus,2-s2.0-33644514935
"Wu, Y.-M., Chen, Y.-G., Chang, C.-H., Chung, L.-H., Teng, T.-L., Wu, F.T., Wu, C.-F.","7406889485;7601448315;24824179800;15062277100;7006454228;7403465583;56132533100;","Seismogenic structure in a tectonic suture zone: With new constraints from 2006 Mw6.1 Taitung earthquake",2006,"Geophysical Research Letters","33","22", L22305,"","",,44,"10.1029/2006GL027572","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33947646779&doi=10.1029%2f2006GL027572&partnerID=40&md5=72d12d8d9b7522e011d82ef5754a32b8",Article,Open Access,Scopus,2-s2.0-33947646779
"Wang, Z., Zhao, D., Wang, J., Kao, H.","36040549600;7403489801;36065477000;7201431599;","Tomographic evidence for the Eurasian lithosphere subducting beneath south Taiwan",2006,"Geophysical Research Letters","33","18", L18306,"","",,44,"10.1029/2006GL027166","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34447542779&doi=10.1029%2f2006GL027166&partnerID=40&md5=2104a65b9d88fb4beadfb41864e1a670",Article,Open Access,Scopus,2-s2.0-34447542779
