Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Stamps, D.S., Calais, E., Saria, E., Hartnady, C., Nocquet, J.-M., Ebinger, C.J., Fernandes, R.M.","15073554400;7007060133;24179095000;6701834443;6603283958;7003621779;35112892700;","A kinematic model for the East African Rift",2008,"Geophysical Research Letters","35","5", L05304,"","",,169,"10.1029/2007GL032781","https://www.scopus.com/inward/record.uri?eid=2-s2.0-43549113154&doi=10.1029%2f2007GL032781&partnerID=40&md5=010fcc8d2afcb831896568369f5a4ac0",Article,Open Access,Scopus,2-s2.0-43549113154
"Clinton, J.F., Bradford, S.C., Heaton, T.H., Favela, J.","14919275300;9132788200;35409330800;55805839700;","The observed wander of the natural frequencies in a structure",2006,"Bulletin of the Seismological Society of America","96","1",,"237","257",,159,"10.1785/0120050052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644515293&doi=10.1785%2f0120050052&partnerID=40&md5=88aae793912eec5024a7e39916ce3ade",Article,Open Access,Scopus,2-s2.0-33644515293
"Berk Biryol, C., Beck, S.L., Zandt, G., Özacar, A.A.","36143709700;35794532900;7003605105;55941618800;","Segmented African lithosphere beneath the Anatolian region inferred from teleseismic P-wave tomography",2011,"Geophysical Journal International","184","3",,"1037","1057",,158,"10.1111/j.1365-246X.2010.04910.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951575781&doi=10.1111%2fj.1365-246X.2010.04910.x&partnerID=40&md5=924ab817c1d7baafde83f2d1ca9b636a",Article,Open Access,Scopus,2-s2.0-79951575781
"Davies, J.H., Davies, D.R.","35460466800;23046196300;","Earth's surface heat flux",2010,"Solid Earth","1","1",,"5","24",,155,"10.5194/se-1-5-2010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954589499&doi=10.5194%2fse-1-5-2010&partnerID=40&md5=63b4086e89b01b206ffdb3e4db801f9c",Article,Open Access,Scopus,2-s2.0-79954589499
"Battaglia, M., Troise, C., Obrizzo, F., Pingue, F., De Natale, G.","7201908712;7003797517;55930070700;6701566331;7006560861;","Evidence for fluid migration as the source of deformation at Campi Flegrei caldera (Italy)",2006,"Geophysical Research Letters","33","1",,"","",,153,"10.1029/2005GL024904","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644636056&doi=10.1029%2f2005GL024904&partnerID=40&md5=a97279eff93676cc8224e5777da74feb",Article,Open Access,Scopus,2-s2.0-33644636056
"Jolivet, M., Dominguez, S., Charreau, J., Chen, Y., Li, Y., Wang, Q.","56201811400;7005494646;12792552000;7409935999;57192521619;7406912654;","Mesozoic and Cenozoic tectonic history of the central Chinese Tian Shan: Reactivated tectonic structures and active deformation",2010,"Tectonics","29","6", TC6019,"","",,134,"10.1029/2010TC002712","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79251556555&doi=10.1029%2f2010TC002712&partnerID=40&md5=553dce45812409e4333c0f805a53a337",Article,Open Access,Scopus,2-s2.0-79251556555
"Vaughan, D.G., Corr, H.F.J., Ferraccioli, F., Frearson, N., O'Hare, A., Mach, D., Holt, J.W., Blankenship, D.D., Morse, D.L., Young, D.A.","7202019538;6602216254;55915866100;23050013700;14032148500;14031936100;35591242000;7007027925;7202245396;14032532000;","New boundary conditions for the West Antarctic ice sheet: Subglacial topography beneath Pine Island Glacier",2006,"Geophysical Research Letters","33","9", L09501,"","",,118,"10.1029/2005GL025588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745713503&doi=10.1029%2f2005GL025588&partnerID=40&md5=6c2699ac778b16f160a4f99325e3ac2b",Article,Open Access,Scopus,2-s2.0-33745713503
"Obrebski, M., Allen, R.M., Pollitz, F., Hung, S.-H.","24335773700;7404224110;7003382969;7201936172;","Lithosphere-asthenosphere interaction beneath the western United States from the joint inversion of body-wave traveltimes and surface-wave phase velocities",2011,"Geophysical Journal International","185","2",,"1003","1021",,116,"10.1111/j.1365-246X.2011.04990.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954626122&doi=10.1111%2fj.1365-246X.2011.04990.x&partnerID=40&md5=47625144f4ca37298db13b9cec2c63df",Article,Open Access,Scopus,2-s2.0-79954626122
"Lagabrielle, Y., Labaume, P., De Saint Blanquat, M.","7003570402;55903463800;6603584292;","Mantle exhumation, crustal denudation, and gravity tectonics during Cretaceous rifting in the Pyrenean realm (SW Europe): Insights from the geological setting of the lherzolite bodies",2010,"Tectonics","29","4", TC4012,"","",,105,"10.1029/2009TC002588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955189636&doi=10.1029%2f2009TC002588&partnerID=40&md5=e2846cd970a55732f0766efafc13d243",Article,Open Access,Scopus,2-s2.0-77955189636
"You, Q., Kang, S., Pepin, N., Yan, Y.","22982141200;7405682849;6602164207;36171964500;","Relationship between trends in temperature extremes and elevation in the eastern and central Tibetan Plateau, 1961-2005",2008,"Geophysical Research Letters","35","4", L04704,"","",,105,"10.1029/2007GL032669","https://www.scopus.com/inward/record.uri?eid=2-s2.0-44249127528&doi=10.1029%2f2007GL032669&partnerID=40&md5=9c54b833a9d6a9c6518b0a4b0322321b",Article,Open Access,Scopus,2-s2.0-44249127528
