Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,citescore2017,DOI,Link,Document Type,Access Type,Source,EID
"Westerling, A.L., Hidalgo, H.G., Cayan, D.R., Swetnam, T.W.",6507567141;7005110878;7005265210;6701361166;,Warming and earlier spring increase Western U.S. forest wildfire activity,2006,Science,313,5789,,940,943,,2441,,10.1126/science.1128834,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747586378&doi=10.1126%2fscience.1128834&partnerID=40&md5=3f6fa1be27c6443bfc91361f5e4fb2ed,Article,Open Access,Scopus,2-s2.0-33747586378
"Alexander, L.V., Zhang, X., Peterson, T.C., Caesar, J., Gleason, B., Klein Tank, A.M.G., Haylock, M., Collins, D., Trewin, B., Rahimzadeh, F., Tagipour, A., Rupa Kumar, K., Revadekar, J., Griffiths, G., Vincent, L., Stephenson, D.B., Burn, J., Aguilar, E., Brunet, M., Taylor, M., New, M., Zhai, P., Rusticucci, M., Vazquez-Aguirre, J.L.",55829111000;56005684100;7202318056;23007410400;56231700200;6506543806;6602945898;7403254320;6602484429;10939479600;13404313500;6603293306;12759748000;8961371600;7101692211;7202648573;13403087400;10939664000;56253778900;55709000400;7102739935;55543826100;6602798328;13403041000;,Global observed changes in daily climate extremes of temperature and precipitation,2006,Journal of Geophysical Research Atmospheres,111,5, D05109,,,,1641,,10.1029/2005JD006290,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646344974&doi=10.1029%2f2005JD006290&partnerID=40&md5=fb41d1c6a617af334c6df86d364e2d36,Article,Open Access,Scopus,2-s2.0-33646344974
"Hansen, J., Sato, M., Ruedy, R., Lo, K., Lea, D.W., Medina-Elizade, M.",7404334532;7405727977;6604021707;12241892400;7005415069;14822204700;,Global temperature change,2006,Proceedings of the National Academy of Sciences of the United States of America,103,39,,14288,14293,,931,,10.1073/pnas.0606291103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749238010&doi=10.1073%2fpnas.0606291103&partnerID=40&md5=0b8ddbb723832a4b76b402882edfa6fd,Article,Open Access,Scopus,2-s2.0-33749238010
"Bibring, J.-P., Langevin, Y., Mustard, J.F., Poulet, F., Arvidson, R., Gendrin, A., Gondet, B., Mangold, N., Pinet, P., Forget, F., Berthe, M., Gomez, C., Jouglet, D., Soufflot, A., Vincendon, M., Combes, M., Drossart, P., Encrenaz, T., Fouchet, T., Merchiorri, R., Belluci, G., Altieri, F., Formisano, V., Capaccioni, F., Cerroni, P., Coradini, A., Fonti, S., Korablev, O., Kottsov, V., Ignatiev, N., Moroz, V., Titov, D., Zasova, L., Loiseau, D., Pinet, P., Douté, S., Schmitt, B., Sotin, C., Hauber, E., Hoffmann, H., Jaumann, R., Keller, U., Arvidson, R., Duxbury, T., Forget, F., Neukum, G.",6604037777;7004136722;7101697496;55271046500;57192845742;35571677800;6506872631;6601937124;57197320846;57204298288;6602177624;55485047400;22933974800;7801336048;22936313000;8847661900;7004245303;7006094056;8925417700;8234199400;8847661200;14010575400;55405904600;6701902942;56065927700;7004109307;8986831200;6701419975;8234200300;8583496600;7102508311;7003962569;6604017334;13005692300;6604008232;6602142535;7202241041;57203083372;6603210645;55352975800;8596289100;8234201500;26425436200;35500228300;6701751765;7003350103;,Global mineralogical and aqueous Mars history derived from OMEGA/Mars express data,2006,Science,312,5772,,400,404,,863,,10.1126/science.1122659,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646008552&doi=10.1126%2fscience.1122659&partnerID=40&md5=3c842428ff22a8a221efa53418c34f97,Article,Open Access,Scopus,2-s2.0-33646008552
"Church, J.A., White, N.J.",55216875500;7401767403;,A 20th century acceleration in global sea-level rise,2006,Geophysical Research Letters,33,1,,,,,851,,10.1029/2005GL024826,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644612063&doi=10.1029%2f2005GL024826&partnerID=40&md5=ac936d715eecec21ecacf6a88e2ee548,Article,Open Access,Scopus,2-s2.0-33644612063
"Stevenson, D.S., Dentener, F.J., Schultz, M.G., Ellingsen, K., van Noije, T.P.C., Wild, O., Zeng, G., Amann, M., Atherton, C.S., Bell, N., Bergmann, D.J., Bey, I., Butler, T., Cofala, J., Collins, W.J., Derwent, R.G., Doherty, R.M., Drevet, J., Eskes, H.J., Fiore, A.M., Gauss, M., Hauglustaine, D.A., Horowitz, L.W., Isaksen, I.S.A., Krol, M.C., Lamarque, J.-F., Lawrence, M.G., Montanaro, V., Müller, J.-F., Pitari, G., Prather, M.J., Pyle, J.A., Rast, S., Rodriquez, J.M., Sanderson, M.G., Savage, N.H., Shindell, D.T., Strahan, S.E., Sudo, K., Szopa, S.",7402383878;7003851845;56261594300;56596962800;55885662200;56253335000;7202802701;34568413600;7003531516;7201759004;7004352797;6701698179;10144486700;6603680478;7402105994;7006385747;24765842200;13403891000;6701348241;7102447698;8263760300;7003977187;7103206141;7003927831;55598938800;7102976560;24458137900;13404107300;24740740200;7003800456;7005275092;7006532784;56154540200;14020504000;7202315562;7102857809;7004214645;6701478238;55183670500;15726660300;,Multimodel ensemble simulations of present-day and near-future tropospheric ozone,2006,Journal of Geophysical Research Atmospheres,111,8, D08301,,,,494,,10.1029/2005JD006338,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745261781&doi=10.1029%2f2005JD006338&partnerID=40&md5=150de91539708e03e9484b354e22ee19,Article,Open Access,Scopus,2-s2.0-33745261781
"Araújo, M.B., Thuiller, W., Pearson, R.G.",7202962622;6602123683;56724699300;,Climate warming and the decline of amphibians and reptiles in Europe,2006,Journal of Biogeography,33,10,,1712,1728,,491,,10.1111/j.1365-2699.2006.01482.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748486098&doi=10.1111%2fj.1365-2699.2006.01482.x&partnerID=40&md5=966b0d73dfc0935a2714ce0722159b59,Article,Open Access,Scopus,2-s2.0-33748486098
"Frei, C., Schöll, R., Fukutome, S., Schmidli, J., Vidale, P.L.",7006551523;57196996373;6603231231;7005131869;6602887222;,Future change of precipitation extremes in Europe: Intercomparison of scenarios from regional climate models,2006,Journal of Geophysical Research Atmospheres,111,6, D06105,,,,442,,10.1029/2005JD005965,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646415341&doi=10.1029%2f2005JD005965&partnerID=40&md5=e414ac51069400c8ffbd0b5772680833,Article,Open Access,Scopus,2-s2.0-33646415341
"Toggweiler, J.R., Russell, J.L., Carson, S.R.",35576886500;7404210007;7102011939;,"Midlatitude westerlies, atmospheric CO<inf>2</inf>, and climate change during the ice ages",2006,Paleoceanography,21,2, PA2005,,,,421,,10.1029/2005PA001154,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745573215&doi=10.1029%2f2005PA001154&partnerID=40&md5=1e40da54d91ba76c7b54586a0da2572d,Article,Open Access,Scopus,2-s2.0-33745573215
"Graham, N.A.J., Wilson, S.K., Jennings, S., Polunin, N.V.C., Bijoux, J.P., Robinson, J.",8503393500;7404785614;7101805045;24791667700;13906918600;56390733100;,Dynamic fragility of oceanic coral reef ecosystems,2006,Proceedings of the National Academy of Sciences of the United States of America,103,22,,8425,8429,,399,,10.1073/pnas.0600693103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744816541&doi=10.1073%2fpnas.0600693103&partnerID=40&md5=f54e9fe3f4ff00a97bfa9d94eaa0a809,Article,Open Access,Scopus,2-s2.0-33744816541
"Jorgenson, M.T., Shur, Y.L., Pullman, E.R.",7004742736;7004097414;6507281814;,Abrupt increase in permafrost degradation in Arctic Alaska,2006,Geophysical Research Letters,33,2, L02503,,,,369,,10.1029/2005GL024960,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644784081&doi=10.1029%2f2005GL024960&partnerID=40&md5=ec4ddb0e5401b401b1413d33673451f5,Article,Open Access,Scopus,2-s2.0-33644784081
"Mann, M.E., Emanuel, K.A.",7202641466;7006184606;,Atlantic Hurricane trends linked to climate change,2006,Eos,87,24,,233,235,,356,,10.1029/2006EO240001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748344235&doi=10.1029%2f2006EO240001&partnerID=40&md5=74ffb42f2a62dc24233f24d2b23c164d,Article,Open Access,Scopus,2-s2.0-33748344235
"Sutherland, W.J., Armstrong-Brown, S., Armsworth, P.R., Brereton, T., Brickland, J., Campbell, C.D., Chamberlain, D.E., Cooke, A.I., Dulvy, N.K., Dusic, N.R., Fitton, M., Freckleton, R.P., Godfray, H.C.J., Grout, N., Harvey, H.J., Hedley, C., Hopkins, J.J., Kift, N.B., Kirby, J., Kunin, W.E., Macdonald, D.W., Marker, B., Naura, M., Neale, A.R., Oliver, T., Osborn, D., Pullin, A.S., Shardlow, M.E.A., Showler, D.A., Smith, P.L., Smithers, R.J., Solandt, J.-L., Spencer, J., Spray, C.J., Thomas, C.D., Thompson, J., Webb, S.E., Yalden, D.W., Watkinson, A.R.",56804497000;16554039400;9134106600;8268085900;14031281000;7403368336;35547683300;7203078664;6701844802;14031461800;14031313000;7003470045;7006467388;14031594700;55222376400;14031539700;14024431700;6602827586;57197659766;6701335702;7401463172;6602451256;7801550434;14032035300;57204309629;25226008100;7004260725;25629004200;12796278300;57199140643;26639816000;6506737949;57199426676;36746223500;7404413845;57198874117;57204578670;57167725000;56711666600;,The identification of 100 ecological questions of high policy relevance in the UK,2006,Journal of Applied Ecology,43,4,,617,627,,324,,10.1111/j.1365-2664.2006.01188.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745727570&doi=10.1111%2fj.1365-2664.2006.01188.x&partnerID=40&md5=31a7841895cf524f6c8fb096b274d5a9,Article,Open Access,Scopus,2-s2.0-33745727570
"Bookhagen, B., Burbank, D.W.",6603446872;7006372231;,"Topography, relief, and TRMM-derived rainfall variations along the Himalaya",2006,Geophysical Research Letters,33,8, L08405,,,,324,,10.1029/2006GL026037,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745444596&doi=10.1029%2f2006GL026037&partnerID=40&md5=afd9d933cca9e3d2d020e6de2326d992,Article,Open Access,Scopus,2-s2.0-33745444596
"Brunetti, M., Maugeri, M., Monti, F., Nanni, T.",7006630335;7006056992;7005896197;6603789210;,Temperature and precipitation variability in Italy in the last two centuries from homogenised instrumental time series,2006,International Journal of Climatology,26,3,,345,381,,320,,10.1002/joc.1251,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644820737&doi=10.1002%2fjoc.1251&partnerID=40&md5=28b803e5e166654bfe63705e47cab5a7,Article,Open Access,Scopus,2-s2.0-33644820737
"Wolff, E.W., Fischer, H., Fundel, F., Ruth, U., Twarloh, B., Littot, G.C., Mulvaney, R., Röthlisberger, R., De Angelis, M., Boutron, C.F., Hansson, M., Jonsell, U., Hutterli, M.A., Lambert, F., Kaufmann, P., Stauffer, B., Stocker, T.F., Steffensen, J.P., Bigler, M., Siggaard-Andersen, M.L., Udisti, R., Becagli, S., Castellano, E., Severi, M., Wagenbach, D., Barbante, C., Gabrielli, P., Gaspari, V.",56735614000;55453681500;13404022000;12794575600;16837773400;16836692500;7004989957;6604034100;7102614416;7005806015;7102798096;9635247600;6603965270;12794136800;34770223300;7006662924;7006151875;7006468315;6701773611;6602101830;7003745922;6602150900;7006414741;7003468792;7003279605;7006727897;6603779175;6701731606;,"Southern Ocean sea-ice extent, productivity and iron flux over the past eight glacial cycles",2006,Nature,440,7083,,491,496,,318,,10.1038/nature04614,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645314908&doi=10.1038%2fnature04614&partnerID=40&md5=1ff0f229fd30d567f0f51f11dc97905f,Article,Open Access,Scopus,2-s2.0-33645314908
"Eyring, V., Butchart, N., Waugh, D.W., Akiyoshi, H., Austin, J., Bekki, S., Bodeker, G.E., Boville, B.A., Brühl, C., Chipperfield, M.P., Cordero, E., Dameris, M., Deushi, M., Fioletov, V.E., Frith, S.M., Garcia, R.R., Gettelman, A., Giorgetta, M.A., Grewe, V., Jourdain, L., Kinnnison, D.E., Mancini, E., Manzini, E., Marchand, M., Marsh, D.R., Nagashima, T., Newman, P.A., Nielsen, J.E., Pawson, S., Pitari, G., Plummer, D.A., Rozanov, E., Schraner, M., Shepherd, T.G., Shibata, K., Stolarski, R.S., Struthers, H., Tian, W., Yoshiki, M.",13402933200;6603821988;7102167757;7005134081;7402093416;7003432369;23479549200;7003684963;55393706100;7004402705;7003893639;6701811127;9249656500;6701739873;13609746100;7403263977;25031430500;6603247427;7004416203;8734615600;21734895900;8263760800;7003465848;7102059695;7402332362;24470422300;7202400272;57203488770;57062286700;7003800456;7005723936;7003683808;8661012100;7103294731;7403544649;7006111328;8726272900;21735369200;8219519400;,"Assessment of temperature, trace species, and ozone in chemistry-climate model simulations of the recent past",2006,Journal of Geophysical Research Atmospheres,111,22, D22308,,,,315,,10.1029/2006JD007327,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847630542&doi=10.1029%2f2006JD007327&partnerID=40&md5=cd5cd9556f3d3fd8dd010da371f63687,Article,Open Access,Scopus,2-s2.0-33847630542
"New, M., Hewitson, B., Stephenson, D.B., Tsiga, A., Kruger, A., Manhique, A., Gomez, B., Coelho, C.A.S., Masisi, D.N., Kululanga, E., Mbambalala, E., Adesina, F., Saleh, H., Kanyanga, J., Adosi, J., Bulane, L., Fortunata, L., Mdoka, M.L., Lajoie, R.",7102739935;6602999938;7202648573;15761493100;7103033047;15760310300;15759751600;16933919600;15760018300;15760094800;15759968200;6602891048;15760792800;15759862600;15759064900;15759400400;15759812200;15760209400;12142205000;,Evidence of trends in daily climate extremes over southern and west Africa,2006,Journal of Geophysical Research Atmospheres,111,14, D14102,,,,311,,10.1029/2005JD006289,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846052779&doi=10.1029%2f2005JD006289&partnerID=40&md5=8040d82ef3cb0ed29c1f1bd6d1fbdc76,Article,Open Access,Scopus,2-s2.0-33846052779
"Shaffer, S.A., Tremblay, Y., Weimerskirch, H., Scott, D., Thompson, D.R., Sagar, P.M., Moller, H., Taylor, G.A., Foley, D.G., Block, B.A., Costa, D.P.",35263052300;7005127376;56213156300;14322157300;55316299800;7102936664;56909406900;7404202946;7103079191;7006107013;24346625300;,Migratory shearwaters integrate oceanic resources across the Pacific Ocean in an endless summer,2006,Proceedings of the National Academy of Sciences of the United States of America,103,34,,12799,12802,,310,,10.1073/pnas.0603715103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748035082&doi=10.1073%2fpnas.0603715103&partnerID=40&md5=c8142dddb50fed411bf942b0bf8470ea,Article,Open Access,Scopus,2-s2.0-33748035082
