Authors,Author(s) ID,Title,Year,age,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Westerling, A.L., Hidalgo, H.G., Cayan, D.R., Swetnam, T.W.",6507567141;7005110878;7005265210;6701361166;,Warming and earlier spring increase Western U.S. forest wildfire activity,2006,11,Science,313,5789,,940,943,,2441,10.1126/science.1128834,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747586378&doi=10.1126%2fscience.1128834&partnerID=40&md5=3f6fa1be27c6443bfc91361f5e4fb2ed,Article,Open Access,Scopus,2-s2.0-33747586378
"Meehl, G.A., Covey, C., Delworth, T., Latif, M., McAvaney, B., Mitchell, J.F.B., Stouffer, R.J., Taylor, K.E.",7006518289;7003876983;6701379896;7005132811;6701715507;7406514318;7101632204;7403523649;,The WCRP CMIP3 multimodel dataset: A new era in climatic change research,2007,10,Bulletin of the American Meteorological Society,88,9,,1383,1394,,1864,10.1175/BAMS-88-9-1383,https://www.scopus.com/inward/record.uri?eid=2-s2.0-35448939676&doi=10.1175%2fBAMS-88-9-1383&partnerID=40&md5=58b6c3a59ac4fbff7615630db88b8eed,Article,Open Access,Scopus,2-s2.0-35448939676
"Bond, T.C., Doherty, S.J., Fahey, D.W., Forster, P.M., Berntsen, T., Deangelo, B.J., Flanner, M.G., Ghan, S., Kärcher, B., Koch, D., Kinne, S., Kondo, Y., Quinn, P.K., Sarofim, M.C., Schultz, M.G., Schulz, M., Venkataraman, C., Zhang, H., Zhang, S., Bellouin, N., Guttikunda, S.K., Hopke, P.K., Jacobson, M.Z., Kaiser, J.W., Klimont, Z., Lohmann, U., Schwarz, J.P., Shindell, D., Storelvmo, T., Warren, S.G., Zender, C.S.",7005809959;7005007661;7006212411;35547807400;6603749963;8767874100;8570871900;7003666669;26643250500;7201690734;56270311300;26643054400;7202429440;57194234454;56261594300;7402485602;7005129538;55796506900;9242542700;10139397300;56920788800;36047973900;55113736500;55898041200;42662973900;57203053317;24477694300;7004214645;13403622000;7401491382;6603400519;,Bounding the role of black carbon in the climate system: A scientific assessment,2013,4,Journal of Geophysical Research Atmospheres,118,11,,5380,5552,,1690,10.1002/jgrd.50171,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875359259&doi=10.1002%2fjgrd.50171&partnerID=40&md5=8cc9f6b598e2dff051c409563781337f,Article,Open Access,Scopus,2-s2.0-84875359259
"Alexander, L.V., Zhang, X., Peterson, T.C., Caesar, J., Gleason, B., Klein Tank, A.M.G., Haylock, M., Collins, D., Trewin, B., Rahimzadeh, F., Tagipour, A., Rupa Kumar, K., Revadekar, J., Griffiths, G., Vincent, L., Stephenson, D.B., Burn, J., Aguilar, E., Brunet, M., Taylor, M., New, M., Zhai, P., Rusticucci, M., Vazquez-Aguirre, J.L.",55829111000;56005684100;7202318056;23007410400;56231700200;6506543806;6602945898;7403254320;6602484429;10939479600;13404313500;6603293306;12759748000;8961371600;7101692211;7202648573;13403087400;10939664000;56253778900;55709000400;7102739935;55543826100;6602798328;13403041000;,Global observed changes in daily climate extremes of temperature and precipitation,2006,11,Journal of Geophysical Research Atmospheres,111,5, D05109,,,,1641,10.1029/2005JD006290,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646344974&doi=10.1029%2f2005JD006290&partnerID=40&md5=fb41d1c6a617af334c6df86d364e2d36,Article,Open Access,Scopus,2-s2.0-33646344974
"Tilman, D., Balzer, C., Hill, J., Befort, B.L.",7005020351;56963984500;14053737500;54787450200;,Global food demand and the sustainable intensification of agriculture,2011,6,Proceedings of the National Academy of Sciences of the United States of America,108,50,,20260,20264,,1593,10.1073/pnas.1116437108,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84055178582&doi=10.1073%2fpnas.1116437108&partnerID=40&md5=b5b5ba9f85d956a0927285f1959a8b10,Article,Open Access,Scopus,2-s2.0-84055178582
"'Waycott, M., Duarte, C.M., Carruthers, T.J.B., Orth, R.J., Dennison, W.C., Olyarnik, S., Calladine, A., Fourqurean, J.W., Heck Jr., K.L., Hughes, A.R., Kendrick, G.A., Kenworthy, W.J., Short, F.T., Williams, S.L.",56440321400;55636631300;7006058033;7007182592;7003688245;12781400900;15737917200;7003573922;7005708961;55665705900;7003630209;7004432850;7004693914;7404835783;,Accelerating loss of seagrasses across the globe threatens coastal ecosystems,2009,8,Proceedings of the National Academy of Sciences of the United States of America,106,30,,12377,12381,,1349,10.1073/pnas.0905620106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-68149141466&doi=10.1073%2fpnas.0905620106&partnerID=40&md5=20c1d71a09de6423b0ff4aeb9588b0c9,Article,Open Access,Scopus,2-s2.0-68149141466
"Deutsch, C.A., Tewksbury, J.J., Huey, R.B., Sheldon, K.S., Ghalambor, C.K., Haak, D.C., Martin, P.R.",24331435900;6601978846;7005840153;15754951300;6603584392;14035372000;20835288700;,Impacts of climate warming on terrestrial ectotherms across latitude,2008,9,Proceedings of the National Academy of Sciences of the United States of America,105,18,,6668,6672,,1342,10.1073/pnas.0709472105,https://www.scopus.com/inward/record.uri?eid=2-s2.0-44349116007&doi=10.1073%2fpnas.0709472105&partnerID=40&md5=18072e3068dcd13b5f557fb27b9f01ac,Article,Open Access,Scopus,2-s2.0-44349116007
"Rockström, J., Steffen, W., Noone, K., Persson, A., Chapin III, F.S., Lambin, E., Lenton, T.M., Scheffer, M., Folke, C., Schellnhuber, H.J., Nykvist, B., de Wit, C.A., Hughes, T., van der Leeuw, S., Rodhe, H., Sörlin, S., Snyder, P.K., Costanza, R., Svedin, U., Falkenmark, M., Karlberg, L., Corell, R.W., Fabry, V.J., Hansen, J., Walker, B., Liverman, D., Richardson, K., Crutzen, P., Foley, J.",6603746245;7005295903;7005088845;57193781128;7007033191;7006191947;7004637798;7004818551;7006090884;7003595192;16646504700;7005808757;7401459068;6508004334;7004920873;23028472400;7202501354;7005761060;24552682000;7006122869;55898798700;6701689411;6602295360;7404334532;7402209094;6701806971;7202201972;7103081525;7402873051;,Planetary boundaries: Exploring the safe operating space for humanity,2009,8,Ecology and Society,14,2,,,,,1294,10.5751/ES-03180-140232,https://www.scopus.com/inward/record.uri?eid=2-s2.0-73849121092&doi=10.5751%2fES-03180-140232&partnerID=40&md5=da6fd37f19f2fc730d4ff36a86e4e3e3,Article,Open Access,Scopus,2-s2.0-73849121092
"Canadell, J.G., Le Quéré, C., Raupach, M.R., Field, C.B., Buitenhuis, E.T., Ciais, P., Conway, T.J., Gillett, N.P., Houghton, R.A., Marland, G.",7006765673;55909419800;7005649482;7202432336;6602279426;55399842300;7101933764;7006130951;7101901430;7007082281;,"Contributions to accelerating atmospheric CO<inf>2</inf>growth from economic activity, carbon intensity, and efficiency of natural sinks",2007,10,Proceedings of the National Academy of Sciences of the United States of America,104,47,,18866,18870,,1180,10.1073/pnas.0702737104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-36749099520&doi=10.1073%2fpnas.0702737104&partnerID=40&md5=0f215d1f8571ab6e01f3dd88e7d281f9,Article,Open Access,Scopus,2-s2.0-36749099520
"Solomon, S., Plattner, G.-K., Knutti, R., Friedlingstein, P.",54780544900;6602819138;15071907100;6602135031;,Irreversible climate change due to carbon dioxide emissions,2009,8,Proceedings of the National Academy of Sciences of the United States of America,106,6,,1704,1709,,1152,10.1073/pnas.0812721106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-60649085453&doi=10.1073%2fpnas.0812721106&partnerID=40&md5=880e45af4edd1f7550c7defefb1cc1d5,Article,Open Access,Scopus,2-s2.0-60649085453
