Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Wang, Y., Cheng, H., Edwards, R.L., Kong, X., Shao, X., Chen, S., Wu, J., Jiang, X., Wang, X., An, Z.","35604860600;7404285341;7403978616;8385016100;55118538100;15062250300;7409258471;23670348700;57075093400;57196890224;","Millennial- and orbital-scale changes in the East Asian monsoon over the past 224,000 years",2008,"Nature","451","7182",,"1090","1093",,934,"10.1038/nature06692","https://www.scopus.com/inward/record.uri?eid=2-s2.0-39849093424&doi=10.1038%2fnature06692&partnerID=40&md5=27358ce0cb2e7ca6e0b9e6a9af47104e",Article,Open Access,Scopus,2-s2.0-39849093424
"Srivastava, M., Simakov, O., Chapman, J., Fahey, B., Gauthier, M.E.A., Mitros, T., Richards, G.S., Conaco, C., Dacre, M., Hellsten, U., Larroux, C., Putnam, N.H., Stanke, M., Adamska, M., Darling, A., Degnan, S.M., Oakley, T.H., Plachetzki, D.C., Zhai, Y., Adamski, M., Calcino, A., Cummins, S.F., Goodstein, D.M., Harris, C., Jackson, D.J., Leys, S.P., Shu, S., Woodcroft, B.J., Vervoort, M., Kosik, K.S., Manning, G., Degnan, B.M., Rokhsar, D.S.","16837697000;12783132000;7402661226;13407675100;35501980500;6507104918;7201583585;12546130200;36604197800;6602410367;8217855400;6603782100;8689147000;6701652844;8974024600;6602096482;7003604734;8555297800;7102983166;16199450400;36247074600;7004333855;7003689066;56297453100;7404289032;6701648809;57194694663;24451582800;7003962672;7006708622;7101602854;35403649700;7004149813;","The Amphimedon queenslandica genome and the evolution of animal complexity",2010,"Nature","466","7307",,"720","726",,555,"10.1038/nature09201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955490196&doi=10.1038%2fnature09201&partnerID=40&md5=64e18c8d65eafcab06ecbc0a5b7b5090",Article,Open Access,Scopus,2-s2.0-77955490196
"Briggs, A.W., Stenzel, U., Johnson, P.L.F., Green, R.E., Kelso, J., Prüfer, K., Meyer, M., Krause, J., Ronan, M.T., Lachmann, M., Pääbo, S.","15065165500;21735343500;55475386800;36023707900;7101702542;21735503800;35311551900;8765526800;7006671330;6603915382;7006151134;","Patterns of damage in genomic DNA sequences from a Neandertal",2007,"Proceedings of the National Academy of Sciences of the United States of America","104","37",,"14616","14621",,338,"10.1073/pnas.0704665104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34848827224&doi=10.1073%2fpnas.0704665104&partnerID=40&md5=c1c25e2167fb6efc10a517fc3e054c51",Article,Open Access,Scopus,2-s2.0-34848827224
"Parfrey, L.W., Lahr, D.J.G., Knoll, A.H., Katz, L.A.","14020125500;23978171500;7102250655;56241339200;","Estimating the timing of early eukaryotic diversification with multigene molecular clocks",2011,"Proceedings of the National Academy of Sciences of the United States of America","108","33",,"13624","13629",,333,"10.1073/pnas.1110633108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052019696&doi=10.1073%2fpnas.1110633108&partnerID=40&md5=283de73ded0b15ac82c272bc85cad739",Article,Open Access,Scopus,2-s2.0-80052019696
"McFadden, K.A., Huang, J., Chu, X., Jiang, G., Kaufman, A.J., Zhou, C., Yuan, X., Xiao, S.","35585274200;56135486500;7102057269;7401706402;7201909785;9636405800;7402202338;7402022668;","Pulsed oxidation and biological evolution in the Ediacaran Doushantuo Formation",2008,"Proceedings of the National Academy of Sciences of the United States of America","105","9",,"3197","3202",,303,"10.1073/pnas.0708336105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-42149127029&doi=10.1073%2fpnas.0708336105&partnerID=40&md5=7305884a8db3c3fd18008f04420860e1",Article,Open Access,Scopus,2-s2.0-42149127029
"Tomitani, A., Knoll, A.H., Cavanaugh, C.M., Ohno, T.","12807985100;7102250655;7005808019;7402659225;","The evolutionary diversification of cyanobacteria: Molecular-phylogenetic and paleontological perspectives",2006,"Proceedings of the National Academy of Sciences of the United States of America","103","14",,"5442","5447",,239,"10.1073/pnas.0600999103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645776968&doi=10.1073%2fpnas.0600999103&partnerID=40&md5=7ec20ee907ff1180f11714713c588cc8",Article,Open Access,Scopus,2-s2.0-33645776968
"dos Reis, M., Inoue, J., Hasegawa, M., Asher, R.J., Donoghue, P.C.J., Yang, Z.","57197189115;56235080300;36056385500;7006259880;26643513300;8148132700;","Phylogenomic datasets provide both precision and accuracy in estimating the timescale of placental mammal phylogeny",2012,"Proceedings of the Royal Society B: Biological Sciences","279","1742",,"3491","3500",,229,"10.1098/rspb.2012.0683","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864346710&doi=10.1098%2frspb.2012.0683&partnerID=40&md5=02b512d14456137ed09103a4e79f9561",Article,Open Access,Scopus,2-s2.0-84864346710
"Henry, A.G., Brooks, A.S., Piperno, D.R.","23481622900;7202568642;7006843139;","Microfossils in calculus demonstrate consumption of plants and cooked foods in Neanderthal diets (Shanidar III, Iraq; Spy I and II, Belgium)",2011,"Proceedings of the National Academy of Sciences of the United States of America","108","2",,"486","491",,228,"10.1073/pnas.1016868108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79551665202&doi=10.1073%2fpnas.1016868108&partnerID=40&md5=4778f1321d6b2e7e07d1997bb10cf863",Article,Open Access,Scopus,2-s2.0-79551665202
"Magallón, S., Gómez-Acevedo, S., Sánchez-Reyes, L.L., Hernández-Hernández, T.","57202296184;6507097557;55510534900;15839642700;","A metacalibrated time-tree documents the early rise of flowering plant phylogenetic diversity",2015,"New Phytologist","207","2",,"437","453",,216,"10.1111/nph.13264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931563545&doi=10.1111%2fnph.13264&partnerID=40&md5=07ab7e52552342b74d2fc194bb2440ae",Article,Open Access,Scopus,2-s2.0-84931563545
"Keller, A., Graefen, A., Ball, M., Matzas, M., Boisguerin, V., Maixner, F., Leidinger, P., Backes, C., Khairat, R., Forster, M., Stade, B., Franke, A., Mayer, J., Spangler, J., McLaughlin, S., Shah, M., Lee, C., Harkins, T.T., Sartori, A., Moreno-Estrada, A., Henn, B., Sikora, M., Semino, O., Chiaroni, J., Rootsi, S., Myres, N.M., Cabrera, V.M., Underhill, P.A., Bustamante, C.D., Vigl, E.E., Samadelli, M., Cipollini, G., Haas, J., Katus, H., O'Connor, B.D., Carlson, M.R.J., Meder, B., Blin, N., Meese, E., Pusch, C.M., Zink, A.","7401738815;55049706400;57191143639;6504019082;6505665275;55921069000;24069319200;8695481800;35749951600;55277607700;55278131600;8243151300;55567252000;55884861700;36847238900;55099525400;38163032600;35264029200;55277629800;23480508500;6508347528;23670766800;6603787734;7004845379;6506947123;12143352300;7005213750;7004998555;35228607000;6602308918;55276877300;55276330100;37112177200;24299225600;57198267530;7201686492;6602409026;7004442702;7004705747;7005352561;7006480180;","New insights into the Tyrolean Iceman's origin and phenotype as inferred by whole-genome sequencing",2012,"Nature Communications","3",, 698,"","",,208,"10.1038/ncomms1701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863230079&doi=10.1038%2fncomms1701&partnerID=40&md5=8a65c1648868cfb458da0ec0c1603c5b",Article,Open Access,Scopus,2-s2.0-84863230079
