Article_title,Year,First_author,Journal,JIF,JIF_5yrs,JIF_year,Cite_counts,Pub,inst,Pub2,Cat,Subcat,SJR_year,SJR
"Signaling and preventing misunderstanding in English as lingua franca communication
A Mauranen - 2006  International Journal of the Sociology of Language - 2006",2006,No profile,International Journal of the Sociology of Language - 2006,0.53,,2016,261,De Gruyter,commpub,De Gruyter,HLA,EngLit,2017,0.67
"The determinants of capital structure: Evidence from China
G Huang - ",2006,Huang Gui-Hai(Samuel),"China economic review, 2006",1.366,2.008,2016,758,Elsevier,commpub,Elsevier,HLA,ChSH,2017,1.08
"Financial development and economic growth: Evidence from China
Q Liang, T Jian-Zhou - China economic review, 2006",2006,No profiles,"China economic review, 2006",1.366,2.008,2016,235,Elsevier,commpub,Elsevier,HLA,ChSH,2017,1.08
"Development of financial intermediation and economic growth: The Chinese experience
H Chen - China Economic Review, 2006",2006,No profile,"China economic review, 2006",1.366,2.008,2016,180,Elsevier,commpub,Elsevier,HLA,ChSH,2017,1.08
"The schematic structure of literature reviews in doctoral theses of applied linguistics
BSC Kwan - English for Specific Purposes, 2006",2006,Kwan Becky siu chu,"English for Specific Purposes, 2006",1.311,1.74,2016,221,Elsevier,commpub,Elsevier,HLA,EngLit,2017,1.17
"Phraseological patterns in reporting clauses used in citation: A corpus-based study of theses in two disciplines
M Charles - English for Specific Purposes, 2006",2006,No profile,"English for Specific Purposes, 2006",1.311,1.74,2016,204,Elsevier,commpub,Elsevier,HLA,EngLit,2017,1.17
"Method sections of management research articles: A pedagogically motivated qualitative study
JMH Lim - English for Specific Purposes, 2006",2006,Jason Miin-Hwa Lim,"English for Specific Purposes, 2006",1.311,1.74,2016,178,Elsevier,commpub,Elsevier,HLA,EngLit,2017,1.17
"Engineering English: A lexical frequency instructional model
O Mudraya - English for Specific Purposes, 2006",2006,No profile,"English for Specific Purposes, 2006",1.311,1.74,2016,176,Elsevier,commpub,Elsevier,HLA,EngLit,2017,1.17
Living and responding to multiple stressors in South Africa—Glimpses from KwaZulu-Natal,2006,No profiles,Global Environmental Change,6.327,7.987,2016,210,Elsevier,commpub,Elsevier,HLA,AfSH,2017,3.72
"Multiple exposures and dynamic vulnerability: evidence from the grape industry in the Okanagan Valley, Canada
S Belliveau, B Smit, B Bradshaw - ",2006,Ben Bradshaw,"Global Environmental Change, 2006",6.327,7.987,2016,182,Elsevier,commpub,Elsevier,HLA,CanSH,2017,3.72
"FDI, exports, and GDP in East and Southeast Asia—Panel data versus time-series causality analyses
FST Hsiao, MCW Hsiao - ",2006,No profiles,"Journal of Asian Economics, 2006",0.508,,2016,229,Elsevier,commpub,Elsevier,HLA,AsSH,2017,0.42
"A comparative study of peer and teacher feedback in a Chinese EFL writing class
M Yang, R Badger, Z Yu - Journal of second language writing, 2006",2006,No profiles,"Journal of second language writing, 2006",1.591,3,2016,426,Elsevier,commpub,Elsevier,HLA,Forlang,2017,3.07
"Community unemployment and immigrants’ health in Montreal
MV Zunzunegui, M Forster, L Gauvin… - ",2006,No profiles,"Social science & Medicine, 2006",2.797,3.505,2016,53,Elsevier,commpub,Elsevier,HLA,CanSH,2017,1.91
"A cross-cultural study of spirituality, religion, and personal beliefs as components of quality of life
WHOQoL SRPB Group - Social science & medicine, 2006",2006,No profile,"Social science & medicine, 2006",2.797,3.505,2016,300,Elsevier,commpub,Elsevier,HLA,ReligionSt,2017,1.91
"The mass marketing of disordered eating and eating disorders: The social psychology of women, thinness and culture
S Hesse-Biber, P Leavy, CE Quinn… - ",2006,Sharlene Hesse-Biber,"Women's studies International Forum, 2006",0.686,0.885,2016,264,Elsevier,commpub,Elsevier,HLA,FemWomen,2017,0.45
"More bears, less bears: Inuit and scientific perceptions of polar bear populations on the west coast of Hudson Bay
M Tyrrell - ",2006,No profile,"Études/Inuit/Studies, 2006",0,,2016,57,other,other,other,HLA,CanSH,2017,0.41
"Will the real sex slave please stand up?
JOC Davidson - ",2006,No profile,"Feminist review, 2006",1.156,,2016,199,Palgrave Macmillan Ltd.,commpub,Palgrave Macmillan Ltd.,HLA,FemWomen,2017,0
"Testing the ‘Baobab Tree’hypothesis: The cumul des mandats as a way of obtaining more political resources and limiting electoral competition
A François - ",2006,Abel François,"French Politics, 2006",0.104,,2016,32,Palgrave Macmillan Ltd.,commpub,Palgrave Macmillan Ltd.,HLA,FrS,2017,0.4
"How useful is the cumul des mandats for being re-elected? Empirical evidence from the 1997 French legislative elections
M Foucault - French Politics, 2006",2006,Martial FOUCAULT,"French Politics, 2006",0,,2016,28,Palgrave Macmillan Ltd.,commpub,Palgrave Macmillan Ltd.,HLA,FrS,2017,0.4
