,jmfs,tel,ternak,ims,ijog,ijaseit,ijg,medica,agriv,hayati
Min.,2009,2011,2010,2017,2014,2015,1976,2004,2013,2005
1st Qu.,2011,2014,2011,2017,2015,2016,1990,2007,2014,2008
Median,2013,2016,2013,2017,2016,2017,1995,2011,2016,2011
Mean,2013.0413533835,2015.0583190395,2013.3953488372,2017,2015.7794117647,2016.504867872,1999.5028248588,2010.4488636364,2015.5630630631,2011.0294840295
3rd Qu.,2015,2017,2015,2017,2017,2017,2016,2014,2017,2014
Max.,2018,2018,2017,2017,2018,2018,2017,2017,2018,2017
Total.art,266,1166,258,12,68,719,177,704,222,407
Cited.by,29,1691,13,0,4,29,9,220,8,28
Period,9,7,7,0,4,3,41,13,5,12
Oldest.citing,,2011,2010,,,,,2008,,
Recent.citing,,2018,2017,,,,,2017,,
Top5Affil,,"UTM, ITS, ITB, UGM, IPB","IPB, LIPI, UGM, UNHAS, UNAND",,,,,"RSCM, UI, UNPAD, RSHS, UGM",,
Top5Countries,,"ID, CH, MY, IN, Algeria","ID, IN, JP, DE, IR",,,,,ID,,
