no,grup,name,affil,sumdoc,sumdoc2,sumcitation,sumcitation2,hind,hind2,sumcitation3,hind3
1,top10,suharyo s.,,661,635,35031,34799,86,86,22082,64
2,top10,johannes v.d.w.,,109,109,5716,5716,43,43,3812,32
3,top10,suryadi i.,,152,142,4963,4955,32,32,4577,30
4,top10,ferry i.,,180,131,3972,3866,31,31,2996,26
5,top10,daniel m.,,79,59,4644,4123,30,28,3639,25
6,top10,bachti a.,,111,101,2632,2531,26,26,2161,24
7,top10,biran a.,,71,64,1673,1609,25,24,1254,23
8,top10,effendy,,79,78,1959,1959,28,28,1419,22
9,top10,susanto r.,,326,91,3121,2072,27,24,1739,20
10,top10,ahmaf f.,,60,56,1531,1530,21,21,1431,20
11,top20,moch. hatta,,131,125,1458,1417,22,22,1194,20
12,top20,danny h.n.,,51,45,2925,2868,26,25,2158,20
13,top20,jamaluddin j.,,54,51,2091,2090,20,20,1853,19
14,top20,syafruddin,,97,91,1784,1773,22,22,1443,19
15,top20,lesmana m.,,55,50,1093,1073,19,19,994,19
16,top20,taniawati s.,,69,61,1278,1172,23,22,810,18
17,top20,agustinus a.n.,,108,79,1695,1621,19,19,1316,17
18,top20,herawati s.,,64,57,1467,1395,21,20,1028,17
19,top20,abdul r.,,133,123,1462,1421,21,21,992,17
20,top20,jatna s.,,60,47,1220,1049,60,19,765,17
21,top30,mikrajudin a.,,161,89,1392,1243,20,20,928,16
22,top30,siti m.,,102,66,1164,1046,19,18,857,16
23,top30,euis h.h.,,60,56,953,941,18,18,709,16
24,top30,sri w.,,81,44,3354,3295,17,17,2924,15
25,top30,heru s.,,60,40,1501,1481,15,15,1297,15
26,top30,asep b.d.n.,,124,62,1507,1439,20,20,1047,15
27,top30,m. hakimi,,53,51,1190,1190,16,16,994,15
28,top30,a.m. gunawan i.,,94,91,846,836,15,15,706,15
29,top30,arridina s.s.,,41,36,2004,1982,17,17,1666,14
30,top30,terry m.,,116,86,1821,1798,20,20,962,14
31,top40,ivandini t.a.,,56,33,1342,1148,19,16,874,14
32,top40,remy e.p.m.,,51,51,965,965,17,17,789,14
33,top40,yana m.s.,,95,87,1001,986,17,17,729,14
34,top40,rachmat h.,,88,49,844,793,15,15,581,14
35,top40,iskandar m.,,57,48,1420,1225,23,21,545,14
36,top40,damayanti ,,42,38,1379,1309,15,14,1002,13
37,top40,felycia e.s.,,67,61,1023,1021,14,14,934,13
38,top40,i ketut adnyana,,58,57,884,884,14,14,771,13
39,top40,nandy p.,,68,38,3727,3668,14,14,3515,12
40,top40,raymond r.t.,,82,80,1062,979,18,17,793,12
41,top50,hasanuddin z.a.,,95,46,1123,1046,18,18,772,12
42,top50,rintis n.,,43,42,829,826,14,14,557,12
43,top50,dwi s.,,78,68,784,776,14,14,570,12
44,top50,togar m.s.,,55,50,1550,1550,12,12,1496,11
45,top50,dondin s.,,50,46,1218,1182,12,12,1015,11
46,top50,t. tedjo s.,,44,42,1531,1496,15,14,1109,11
47,top50,rosari s.,,132,39,886,664,14,13,521,11
48,top50,evy y.,,54,51,717,707,14,14,461,11
49,top50,edy t.b.,,141,70,801,557,15,15,300,11
50,top50,tole s.,,127,106,656,548,12,11,395,10
51,top60,ig. wenten,,73,41,965,923,18,18,417,9
52,top60,hadiyanto,,89,45,466,380,12,10,316,9
53,top60,khairurrijal,,194,70,714,510,12,12,299,8
54,top60,m. yasin,,104,92,488,479,12,12,234,9
55,top60,ansari sa.,,88,35,702,321,16,12,197,9
56,top60,jamari,,108,47,292,240,10,9,157,8
57,top60,wisnu j.,,131,29,785,367,17,11,210,7
58,top60,unang s.,,57,50,323,285,9,9,203,7
59,top60,mauridhi hp.,,227,95,584,319,11,9,195,7
60,top60,robbi r.,,97,39,927,307,19,10,125,7
