Category: All categories

Month,scopus journal: (Indonesia)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,100
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,63
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,42
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,13
2011-04,14
2011-05,26
2011-06,27
2011-07,25
2011-08,12
2011-09,24
2011-10,10
2011-11,20
2011-12,13
2012-01,43
2012-02,36
2012-03,20
2012-04,42
2012-05,28
2012-06,12
2012-07,24
2012-08,25
2012-09,15
2012-10,10
2012-11,17
2012-12,26
2013-01,22
2013-02,19
2013-03,9
2013-04,22
2013-05,26
2013-06,46
2013-07,21
2013-08,24
2013-09,19
2013-10,18
2013-11,24
2013-12,27
2014-01,33
2014-02,24
2014-03,37
2014-04,21
2014-05,19
2014-06,17
2014-07,22
2014-08,16
2014-09,37
2014-10,47
2014-11,41
2014-12,27
2015-01,31
2015-02,37
2015-03,62
2015-04,65
2015-05,52
2015-06,45
2015-07,48
2015-08,62
2015-09,61
2015-10,64
2015-11,53
2015-12,76
2016-01,48
2016-02,45
2016-03,68
2016-04,63
2016-05,58
2016-06,49
2016-07,36
2016-08,43
2016-09,68
2016-10,58
2016-11,47
2016-12,60
2017-01,66
2017-02,65
2017-03,57
2017-04,46
2017-05,64
2017-06,49
2017-07,43
2017-08,68
2017-09,83
2017-10,92
2017-11,70
2017-12,56
2018-01,84
2018-02,94
2018-03,88
2018-04,78
2018-05,68
2018-06,52
2018-07,49
2018-08,58
2018-09,74
2018-10,66
2018-11,53
2018-12,81
2019-01,62
2019-02,89
2019-03,73
2019-04,68
