Category: All categories

Region,scopus journal: (1/1/04 - 4/20/19)
Special Region of Yogyakarta,100
Central Java,61
West Java,47
East Java,39
Special Capital Region of Jakarta,19
Maluku,
Bengkulu,
South East Sulawesi,
West Sumatra,
Bangka Belitung Islands,
North Sulawesi,
Central Sulawesi,
Aceh,
West Papua,
Gorontalo,
South Sulawesi,
North Kalimantan,
West Nusa Tenggara,
East Nusa Tenggara,
Riau,
Lampung,
Banten,
Bali,
Jambi,
South Sumatra,
North Sumatra,
South Kalimantan,
Central Kalimantan,
East Kalimantan,
West Kalimantan,
Riau Islands,
Papua,
North Maluku,
West Sulawesi,
