Category: All categories

Country,scopus journal: (1/1/04 - 4/20/19)
Malaysia,100
Algeria,59
Iraq,53
Jordan,53
Tunisia,52
Iran,51
India,42
Morocco,39
Indonesia,39
South Korea,38
Nigeria,28
Egypt,24
Thailand,23
Greece,19
Bangladesh,17
Portugal,16
Italy,16
Czechia,15
Kazakhstan,15
Saudi Arabia,13
United Arab Emirates,12
Pakistan,11
Bulgaria,11
Philippines,11
Russia,10
Spain,10
Ukraine,9
Australia,7
Colombia,7
Turkey,6
Poland,5
Peru,4
United Kingdom,4
Mexico,4
Vietnam,4
Canada,3
Germany,2
France,2
Brazil,2
Japan,2
United States,1
Kosovo,
Benin,
Oman,
Cuba,
Brunei,
Ethiopia,
Cyprus,
Papua New Guinea,
Lesotho,
Botswana,
Uzbekistan,
Bahrain,
Niger,
Namibia,
Fiji,
Croatia,
Albania,
Latvia,
Slovakia,
Lebanon,
Montenegro,
Ghana,
Somalia,
Ecuador,
Cameroon,
Kuwait,
French Guiana,
Slovenia,
Laos,
Qatar,
Mongolia,
Mauritania,
Guyana,
Sri Lanka,
Serbia,
Macedonia (FYROM),
Estonia,
Georgia,
Luxembourg,
St. Helena,
Syria,
Armenia,
Romania,
Nepal,
New Zealand,
Palestine,
Iceland,
Ireland,
Macau,
Azerbaijan,
Zambia,
Barbados,
Bosnia & Herzegovina,
Afghanistan,
Rwanda,
Singapore,
Mozambique,
Lithuania,
Haiti,
Chile,
Zimbabwe,
South Africa,
Madagascar,
Hong Kong,
Mauritius,
Austria,
Argentina,
Taiwan,
Hungary,
Yemen,
Netherlands,
Kyrgyzstan,
Finland,
Guadeloupe,
Côte d’Ivoire,
Tanzania,
Congo - Kinshasa,
Libya,
Jamaica,
Belgium,
Sweden,
Malta,
Denmark,
Switzerland,
Angola,
Cambodia,
Costa Rica,
Réunion,
Honduras,
Sudan,
Senegal,
Uruguay,
Puerto Rico,
Panama,
Myanmar (Burma),
Kenya,
Trinidad & Tobago,
Israel,
El Salvador,
Norway,
Moldova,
China,
Belarus,
Paraguay,
Dominican Republic,
Bolivia,
Guatemala,
Venezuela,
Aruba,
Anguilla,
Åland Islands,
Andorra,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Burundi,
Caribbean Netherlands,
Burkina Faso,
Bahamas,
St. Barthélemy,
Belize,
Bermuda,
Bhutan,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Curaçao,
Christmas Island,
Cayman Islands,
Djibouti,
Dominica,
Eritrea,
Western Sahara,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guernsey,
Gibraltar,
Guinea,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
Guam,
Heard & McDonald Islands,
Isle of Man,
British Indian Ocean Territory,
Jersey,
Kiribati,
St. Kitts & Nevis,
Liberia,
St. Lucia,
Liechtenstein,
St. Martin,
Monaco,
Maldives,
Marshall Islands,
Mali,
Northern Mariana Islands,
Montserrat,
Martinique,
Malawi,
Mayotte,
New Caledonia,
Norfolk Island,
Nicaragua,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
French Polynesia,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
San Marino,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Swaziland,
Sint Maarten,
Seychelles,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
Uganda,
U.S. Outlying Islands,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
