Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Maldonado-Garrido E., Piñero P., Agustí J.","A catalogue of the vertebrate fossil record from the Guadix-Baza basin (SE Spain) [Catálogo del registro fósil de vertebrados de la Cuenca de Guadix-Baza (SE de España)]",2017,"Spanish Journal of Paleontology","32","1",,"207","236",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040038630&partnerID=40&md5=221adee0547980d2ee4aa5fbc337af66","IPHES, Institut Català de Paleoecologia Humana i Evolució Social, Zona Educacional 4 - Campus Sescelades URV (Edifi ci W3), Tarragona, Spain; Universitat Rovira i Virgili (URV), Avinguda de Catalunya 35, Tarragona, Spain; ICREA, Institució Catalana de Recerca i Estudis Avançats, Barcelona, Spain","Maldonado-Garrido, E., IPHES, Institut Català de Paleoecologia Humana i Evolució Social, Zona Educacional 4 - Campus Sescelades URV (Edifi ci W3), Tarragona, Spain, Universitat Rovira i Virgili (URV), Avinguda de Catalunya 35, Tarragona, Spain; Piñero, P., IPHES, Institut Català de Paleoecologia Humana i Evolució Social, Zona Educacional 4 - Campus Sescelades URV (Edifi ci W3), Tarragona, Spain, Universitat Rovira i Virgili (URV), Avinguda de Catalunya 35, Tarragona, Spain; Agustí, J., IPHES, Institut Català de Paleoecologia Humana i Evolució Social, Zona Educacional 4 - Campus Sescelades URV (Edifi ci W3), Tarragona, Spain, Universitat Rovira i Virgili (URV), Avinguda de Catalunya 35, Tarragona, Spain, ICREA, Institució Catalana de Recerca i Estudis Avançats, Barcelona, Spain","In this paper, a catalogue of the vertebrate content of the Guadix-Baza Basin is presented. A total of 93 localities have been reviewed, providing more than 300 vertebrate species. These localities have been included in 11 biochronological units, ranging in age from the late Miocene (MN 13) to the Middle Pleistocene (MmQ 4), including also two MN 10 localities. The best-represented epoch in the Guadix-Baza Basin is the Pliocene (MN 14 to MN 16), with 41 sites. This is followed by the Early Pleistocene (MN 17 and MmQ1 to MmQ 3) with 30 sites. The vertebrate classes represented in the basin are Actinopterygii, Amphibia, Aves, Reptilia and Mammalia, this last one being the best represented. Among mammals, small mammals are in their turn the most abundant, particularly rodents. The families Muridae and Arvicolidae dominate the rodent assemblages, murids being the dominant family in the late Miocene and early Pliocene, and arvicolids the most abundant group in the late Pliocene and Pleistocene. © Sociedad Española de Paleontología.","Amphibians; Guadix-Baza basin; Mammals; Pleistocene; Pliocene; Reptiles",,"Maldonado-Garrido, E.; IPHES, Institut Català de Paleoecologia Humana i Evolució Social, Zona Educacional 4 - Campus Sescelades URV (Edifi ci W3), Spain; email: eliasarte@hotmail.com",,"Sociedad Espanola de Paleontologia",22550550,,,,"English","Span. J. Paleontol.",Article,,Scopus,2-s2.0-85040038630
"Sánchez de Posada L.C., Blanco-Ferrera S., Sanz-López J.","On some bythocytherid (Ostracoda) from the viséan of triollo (n palencia, cantabrian mountains, Spain)",2016,"Spanish Journal of Paleontology","31","1",,"221","230",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027488240&partnerID=40&md5=e1013501bf9e55e2bd4b5e0beecca448","Departamento de Geología, Universidad de Oviedo, C/Jesús Arias de Velasco, Oviedo, Spain","Sánchez de Posada, L.C., Departamento de Geología, Universidad de Oviedo, C/Jesús Arias de Velasco, Oviedo, Spain; Blanco-Ferrera, S., Departamento de Geología, Universidad de Oviedo, C/Jesús Arias de Velasco, Oviedo, Spain; Sanz-López, J., Departamento de Geología, Universidad de Oviedo, C/Jesús Arias de Velasco, Oviedo, Spain","Viséan rocks are widespread in the Cantabrian Mountains, but despite the abundance of some fossil groups (particularly conodonts and cephalopods) in these strata, very few ostracods have been reported. Rich silicified ostracod faunas have been found in the Visean of the Triollo area (north Palencia, Cantabrian Mountains, Spain). Among numerous elements, some belong to the family Bythocytheridae, a conspicuous element of the Thuringian Paleozoic Mega¬Assemblage. Three species of the bythocytherid genus Paraberounella are described in this paper. One of them, Paraberounellal wagneri n. sp., is assigned to the genus with some reservations. © Sociedad Española de Paleontología.","Cantabrian Mountains; Carboniferous; Ostracoda; Systematics; Viséan",,"Sánchez de Posada, L.C.; Departamento de Geología, Universidad de Oviedo, C/Jesús Arias de Velasco, Spain; email: lposada@geol.uniovi.es",,"Sociedad Espanola de Paleontologia",22550550,,,,"English","Span. J. Paleontol.",Article,,Scopus,2-s2.0-85027488240
"Villa E., Remizova S.T.","First record of the carboniferous fusuline genus parawedekindellina in a palaeotethyan area (Cantabrian zone, NW Spain)",2016,"Spanish Journal of Paleontology","31","1",,"245","252",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027524555&partnerID=40&md5=56870abed5b36000e1a9e6027359cd56","Departamento de Geología, Universidad de Oviedo, C/Jesús Arias de Velasco, s/n, Oviedo, Spain; Herzen State Pedagogical University, St. Petersburg, Russian Federation","Villa, E., Departamento de Geología, Universidad de Oviedo, C/Jesús Arias de Velasco, s/n, Oviedo, Spain; Remizova, S.T., Herzen State Pedagogical University, St. Petersburg, Russian Federation","A fusuline species of the genus Parawedekindellina Safonova has been found in the Fito Formation of the Carboniferous of the Cantabrian Zone (NW Spain). Representatives of this genus had only previously been recorded from the Arctic and the Ural palaeobiogeographic provinces, and therefore the new species from Spain is the first record of the genus from the Palaeotethyan province. This finding is interpreted as evidence of temporary connections between the Ural and the Palaeotethys provinces. © Sociedad Española de Paleontología.","Cantabriani Zone; Fusulinoideans; Palaeobiogeography; Parawedekindellina; Pennsylvanian",,"Villa, E.; Departamento de Geología, Universidad de Oviedo, C/Jesús Arias de Velasco, s/n, Spain; email: evilla@geol.uniovi.es",,"Sociedad Espanola de Paleontologia",22550550,,,,"English","Span. J. Paleontol.",Article,,Scopus,2-s2.0-85027524555
"Šimunek Z., Cleal C.J.","The systematic and palaeoecological significance of neuropteris ovata (Medullosales) cuticles from the stephanian stage of the puertollano basin, Spain",2016,"Spanish Journal of Paleontology","31","1",,"231","243",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027519537&partnerID=40&md5=776ff49f7406f51733789010fd400afa","Czech Geological Survey, Klarov 3/131, Praha 1, Czech Republic; Department of Natural Sciences, National Museum Wales, Cathays Park, Cardiff, United Kingdom","Šimunek, Z., Czech Geological Survey, Klarov 3/131, Praha 1, Czech Republic; Cleal, C.J., Department of Natural Sciences, National Museum Wales, Cathays Park, Cardiff, United Kingdom","Cuticles from Neuropteris ovata foliage (Medullosales) from Stephanian strata in the Puertollano Basin show epidermal structures similar to those seen in Kasimovian coal balls from North America. They are assigned to a new taxonomic variety, Neuropteris ovata var. puertollanensis. © Sociedad Española de Paleontología.","Cuticles; Medullosales; Palaeobotany; Puertollano; Stephanian",,"Šimunek, Z.; Czech Geological Survey, Klarov 3/131, Czech Republic; email: zbynek.simunek@geology.cz",,"Sociedad Espanola de Paleontologia",22550550,,,,"English","Span. J. Paleontol.",Article,,Scopus,2-s2.0-85027519537
"Cleal C.J., Shute C.H.","A new late carboniferous calamitacean sphenophyte from South Wales, United Kingdom",2016,"Spanish Journal of Paleontology","31","1",,"25","40",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016601133&partnerID=40&md5=71bbf56cef36a16bcf0942e77206919d","Department of Natural Sciences, National Museum Wales, Cathays Park, Cardiff, United Kingdom; Department of Earth Sciences, The Natural History Museum, Cromwell Road, London, United Kingdom","Cleal, C.J., Department of Natural Sciences, National Museum Wales, Cathays Park, Cardiff, United Kingdom; Shute, C.H., Department of Earth Sciences, The Natural History Museum, Cromwell Road, London, United Kingdom","A new calamitacean sphenophyte is described from the middle Westphalian coal-bearing strata of South Wales: Asterophyllites tayloriorum sp. nov. (leafy shoots) and Palaeostachya wagneri sp. nov. (cone-bearing shoots). Both the leafy shoots and cones are characterised by relatively small leaves/bracts in whorls of four. Although the leafy and cone-bearing shoots occur in close association, and were almost certainly parts of the same parent plant species, the case is made for assigning them to separate fossil-taxa. © Sociedad Española de Paleontología.","Carboniferous; Equisetopsida; Palaeobotany",,"Cleal, C.J.; Department of Natural Sciences, National Museum Wales, Cathays Park, United Kingdom; email: chris.cleal@museumwales.ac.uk",,"Sociedad Espanola de Paleontologia",22550550,,,,"English","Span. J. Paleontol.",Article,,Scopus,2-s2.0-85016601133
"Knight J.A., Sardina L.J.","An emended and amplified description of pecopteris apicalis knight, a fern morphospecies of Mid-Stephanian age from NW Spain",2016,"Spanish Journal of Paleontology","31","1",,"95","114",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027530368&partnerID=40&md5=11b008139a210e9e988c6ffe0cab6081","Centro Paleobotánico, Real Jardín Botánico de Córdoba, Avenida de Linneo, s/n, Córdoba, Spain; C/ Bartolomé de Carranza, n° 42, 4° Izda, Pamplona, Navarra, Spain","Knight, J.A., Centro Paleobotánico, Real Jardín Botánico de Córdoba, Avenida de Linneo, s/n, Córdoba, Spain; Sardina, L.J., C/ Bartolomé de Carranza, n° 42, 4° Izda, Pamplona, Navarra, Spain","Extensive adpression material of the fern morphospecies Pecopteris apicalis Knight has been collected from overburden from opencast mining in the Peragido-Vallejo area of the Barruelo Coalfield, close to the collection site of the holotype of the species. This has permitted a more detailed description of key characteristics than was previously possible and an emended diagnosis. The large frond fragments demonstrate large pinnae of antepenultimate order, length in excess of 0.4 m, with apparent attachment to a very robust petiole in a tripinnate frond structure. The extensive material permits the variation in the terminal area of penultimate pinnae to be documented. Other diagnostic features of the species confirmed in this wide range of material cover the dimensions, acuminate shape, and terminal of last order pinnae, the range of dimensions and shape of pinnules and the characteristic consistently bifurcate venation. Fertile organs have been identified only on one specimen collected from another opencast working in the Barruelo Coalfield, at a lower level in the same stratigraphic unit. Although indistinct, the fertile organs comprise two rows of small circular sor on ethers de of the mid-vein, reminiscent of the genus Asterotheca Presl, although the material does not permit reliable identification. Discussion of the possible systematic relationships of this species suggests the closest affiliation is with the cyatheoid group of pecopterid marattialian species. The Peragido-Vallejo material occurs within a low diversity flora which has undergone minimal transport from its site of growth, interpreted as in an interdistributary back-swamp area on a near-coastal alluvial plain. © Sociedad Española de Paleontología.","Barruelian; Emended diagnosis; NW Spain; Pecopteris apicalis; Systematic relationships",,"Knight, J.A.; Centro Paleobotánico, Real Jardín Botánico de Córdoba, Avenida de Linneo, s/n, Spain; email: jaknightuk@btintemet.com",,"Sociedad Espanola de Paleontologia",22550550,,,,"Spanish","Span. J. Paleontol.",Article,,Scopus,2-s2.0-85027530368
"Martínez Chacón M.L., Winkler. Prins C.F.","Isogramma meek & worthen, 1870 (Dictyonellida, brachiopoda) from the pennsylvanian of the cantabrian mountains (n Spain)",2016,"Spanish Journal of Paleontology","31","1",,"115","129",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027501991&partnerID=40&md5=69e74da531bb08f429e670719b0fc6c3","Departamento de Geología, Universidad de Oviedo, C/Jesús Arias de Velasco, s/n, Oviedo, Spain; NCB Naturalis, PO Box 9517, Leiden, RA, Netherlands","Martínez Chacón, M.L., Departamento de Geología, Universidad de Oviedo, C/Jesús Arias de Velasco, s/n, Oviedo, Spain; Winkler. Prins, C.F., NCB Naturalis, PO Box 9517, Leiden, RA, Netherlands","Isogramma is one of the strangest and easiest to recognize brachiopod genera. Its shell is very transverse, flattened, oval, ornamented with strong concentric ridges which cover the whole exterior ofboth valves, apart from a smooth triangular depressed area, extending from the beak of the ventral valve forward to beyond the umbo, the colleplax. The shell is strongly punctate which gives it a spongy structure. In this paper, the morphology and shell structure of the genus are discussed, and the species from the Cantabrian Mountains assigned to the genus are revised. The species Isogramma davidsoni, the only one thus far described for the region, is discussed and three new species are described for the Pennsylvanian of Asturias and León: Isogramma wagneri, I. casina and I. demuesensis. © Sociedad Española de Paleontología.","Brachiopoda; Cantabrian Mountains; Isogramma; Pennsylvanian; Spain",,"Martínez Chacón, M.L.; Departamento de Geología, Universidad de Oviedo, C/Jesús Arias de Velasco, s/n, Spain; email: mmchacon@geol.uniovi.es",,"Sociedad Espanola de Paleontologia",22550550,,,,"English","Span. J. Paleontol.",Article,,Scopus,2-s2.0-85027501991
"Juncal M., Diez J.B., Broutin J., Martínez-García E.","Palynoflora from the permian sotres formation (Picos de Europa, asturias, northern Spain)",2016,"Spanish Journal of Paleontology","31","1",,"85","93",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027531637&partnerID=40&md5=6fe01d48edc028561b9ed90b2e7f4693","Xeociencias Mariñas e Ordenación do Territorio Department, Universidade de Vigo, Vigo, Spain; Sorbonne Universités, Paléobotanique and Paléoécologie, CR2P, UPMC Paris 6-MNHN-CNRS, Paris, France; Departamento de Geología, Universidad de Oviedo, C/Jesús Arias de Velasco, s/n, Oviedo, Spain","Juncal, M., Xeociencias Mariñas e Ordenación do Territorio Department, Universidade de Vigo, Vigo, Spain; Diez, J.B., Xeociencias Mariñas e Ordenación do Territorio Department, Universidade de Vigo, Vigo, Spain; Broutin, J., Sorbonne Universités, Paléobotanique and Paléoécologie, CR2P, UPMC Paris 6-MNHN-CNRS, Paris, France; Martínez-García, E., Departamento de Geología, Universidad de Oviedo, C/Jesús Arias de Velasco, s/n, Oviedo, Spain","A new spore and pollen assemblage has been discovered in the Sotres Formation (Picos de Europa, Asturias, North of Spain). The palynoflora includes: Alisporites splendens, Fimbriaesporites fimbriatus, Gardenasporites heisseli, Hamiapollenites bullaeformis, Lueckisporites virkkiae, Potonieisporites novicus, Protohaploxypinus microcorpus, Vittatina costabilis, Vittatina saccata, Striatopodocarpidites cf. cancellatus, Alisporites sp., Endosporites sp., Platysaccus sp., Punctatisporites sp., Verrucosisporites sp. and unidentified pollen grains and microspores. A Kungurian age is suggested for the fossil site, which has implications for the understanding of the Late Variscan evolution of the Iberian Peninsula. © Sociedad Española de Paleontología.","Iberian Peninsula; Kungurian; Palynostratigraphy; Permian; Picos de Europa",,"Diez, J.B.; Xeociencias Mariñas e Ordenación do Territorio Department, Universidade de VigoSpain; email: jbdiez@uvigo.es",,"Sociedad Espanola de Paleontologia",22550550,,,,"English","Span. J. Paleontol.",Article,,Scopus,2-s2.0-85027531637
"Castanera D., Piñuela L., García-Ramos J.C.","Grallator theropod tracks from the late jurassic of asturias (Spain): Ichnotaxonomic implications [Icnitas de terópodo grallator del jurásico superior de asturias (España): Implicaciones taxonómicas]",2016,"Spanish Journal of Paleontology","31","2",,"283","296",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025103758&partnerID=40&md5=5343ab89c716f9abdafabcddec1eb327","Bayerische Staatssammlung für Paläontologie und Geologie and GeoBioCenter, Ludwig-Maximilians-Universität Munich, Richard-Wagner-Str.10, Munich, Germany; Aragosaurus-IUCA, Paleontología, Facultad de Ciencias, Universidad de Zaragoza, Zaragoza, Spain; Museo del Jurásico de Asturias (MUJA), Colunga, Asturias, Spain","Castanera, D., Bayerische Staatssammlung für Paläontologie und Geologie and GeoBioCenter, Ludwig-Maximilians-Universität Munich, Richard-Wagner-Str.10, Munich, Germany, Aragosaurus-IUCA, Paleontología, Facultad de Ciencias, Universidad de Zaragoza, Zaragoza, Spain; Piñuela, L., Museo del Jurásico de Asturias (MUJA), Colunga, Asturias, Spain; García-Ramos, J.C., Museo del Jurásico de Asturias (MUJA), Colunga, Asturias, Spain","The MUJA (Museo del Jurásico de Asturias, Jurassic Museum of Asturias) has an interesting collection of theropod tracks that show similarities with the ichnogenera assigned to the Eubrontes-Grallator plexus. In this paper we describe in detail the morphology of 21 specimens recovered from different localities on “The Dinosaur Coast” of Asturias, plus four specimens preserved in outcrops in the sea cliffs of Les Vinaes (Villaviciosa). All the specimens are from the outcrops of the Lastres Formation, which is Kimmeridgian in age. The general morphology of the tracks, the footprint length-width ratio, the mesaxony, low divarication of the digits (II-IV) and the absence of hallux and metatarsophalangeal impressions suggest that the tracks are more similar to Grallator than to any other theropod ichnotaxa. Geometric morphometric analysis (principal component analysis, PCA) based on 2D landmark techniques suggests that they differ from Kalohipus bretunensis (as yet the only Grallator-like ichnotaxon described in the Iberian Peninsula) mainly in the divarication angles and in the projection of digit III. © Sociedad Española de Paleontología.","Eubrontes-grallator plexus; Geometric morphometrics; Grallatorid tracks; Kimmeridgian",,"Castanera, D.; Bayerische Staatssammlung für Paläontologie und Geologie and GeoBioCenter, Ludwig-Maximilians-Universität Munich, Richard-Wagner-Str.10, Germany; email: dcastanera@hotmail.es",,"Sociedad Espanola de Paleontologia",22550550,,,,"English","Span. J. Paleontol.",Article,,Scopus,2-s2.0-85025103758
"Opluštil S., Pšenicka J., Šimunek Z., Libertín M.","Floras of clastic and Peat-Forming pennsylvanian wetlands: Are they different? a case study from the upper radnice coal (late duckmantian), kladno coalfield, Czech Republic",2016,"Spanish Journal of Paleontology","31","1",,"145","180",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020582559&partnerID=40&md5=776bbb50f3ce66bf44d2fdad5c1a29ce","Charles University in Prague, Faculty of Science, Albertov 6, Prague 2, Czech Republic; Palaeontology Department, West Bohemian Museum in Plzeñ, Kopeckého sady 2, Plzeñ, Czech Republic; Czech Geological Survey, Klárov 131/3, Praha 1, Czech Republic; National Museum, Václavské námestí 68, Praha 1, Czech Republic","Opluštil, S., Charles University in Prague, Faculty of Science, Albertov 6, Prague 2, Czech Republic; Pšenicka, J., Palaeontology Department, West Bohemian Museum in Plzeñ, Kopeckého sady 2, Plzeñ, Czech Republic; Šimunek, Z., Czech Geological Survey, Klárov 131/3, Praha 1, Czech Republic; Libertín, M., National Museum, Václavské námestí 68, Praha 1, Czech Republic","Floras of two ecologically and taphonomically different fossiliferous horizons associated with the late Duckmantian Upper Radnice Coal in the Kladno Coalfield are compared. These fossiliferous horizons include the Velka opuka that is a > 10 cm thick volcaniclastic parting embedded in the coal and the Mydlak, which is a laminated mudstone in the roof of the same seam. Observations made in coal mines suggest that the Velka opuka bears autochthonous in situ preserved peat-forming Vegetation, whereas the Mydlak is a lacustrine sediment that contains mostly drifted allochthonous and locally parautochthonous plant associations derived from coastal mostly clastic wetlands. Material from museum collections and our own field data show that floras of both fossiliferous horizons consist of representatives of the same families and genera but differ in their proportions and to a large part in species composition. This is demonstrated by only 40 % overlap of 89 plant species identified in both horizons. Flora of the Velka opuka is dominated by lycopsids, either by arborescent lepidodendrids or by the sub-arborescent genus Omphalophloios. Co-dominant are sphenopsids and locally common are ferns and cordaitaleans. The Mydlak flora is more diverse and dominated by pteridosperms, whereas the proportion of lycopsids is lower and their composition partly different. Taxa abundant in the Velka opuka and nearly absent in the Mydlak include Omphalophloiosfeistmantelii, Lepidodendron longifolium and L. ophiurus. Abundant in the Mydlak and mostly missing in the Velka opuka are Laveineopteris tenuifolia, L. bohemica, Sphenopteris spiniformis, Eusphenopteris nummularia, Lepidodendron aculeatum and L. mannebachense. Prevalence of pteridosperms in clastic wetland floras of the Mydlak is in agreement with existing observations. © Sociedad Española de Paleontología.","Clastic swamp; Palaeoecology; Peat swamp; Pennsylvanian; Plant taphonomy",,"Opluštil, S.; Charles University in Prague, Faculty of Science, Albertov 6, Czech Republic; email: oplustil@natur.cuni.cz",,"Sociedad Espanola de Paleontologia",22550550,,,,"English","Span. J. Paleontol.",Article,,Scopus,2-s2.0-85020582559
