Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Edeki S.O., Akinlabi G.O.",Local fractional operator for a one-dimensional coupled burger equation of non-integer time order parameter,2018,Journal of Mathematical and Fundamental Sciences,50,1,,28,39,,,10.5614/j.math.fund.sci.2018.50.1.3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044434048&doi=10.5614%2fj.math.fund.sci.2018.50.1.3&partnerID=40&md5=064a59f48f32ee9c5f5c1a1df809314d,"Department of Mathematics, Covenant University, KM. 10, Idiroko Road, Canaanland, Ota, Nigeria","Edeki, S.O., Department of Mathematics, Covenant University, KM. 10, Idiroko Road, Canaanland, Ota, Nigeria; Akinlabi, G.O., Department of Mathematics, Covenant University, KM. 10, Idiroko Road, Canaanland, Ota, Nigeria","In this study, approximate solutions of a system of time-fractional coupled Burger equations were obtained by means of a local fractional operator (LFO) in the sense of the Caputo derivative. The LFO technique was built on the basis of the standard differential transform method (DTM). Illustrative examples used in demonstrating the effectiveness and robustness of the proposed method show that the solution method is very efficient and reliable as – unlike the variational iteration method – it does not depend on any process of identifying Lagrange multipliers, even while still maintaining accuracy. © 2018 Published by ITB Journal Publisher.",Caputo derivative; Coupled burger equation; Exact solution; Fractional differential equations; Modified DTM,,,,"Institute for Research and Community Services, Institut Teknologi Bandung",23375760,,,,English,J. Math. Fundament. Sci.,Article,,Scopus,2-s2.0-85044434048
"Tunç C., Ayhan T.",On the global existence and boundedness of solutions of a certain integro-vector differential equation of second order,2018,Journal of Mathematical and Fundamental Sciences,50,1,,1,12,,,10.5614/j.math.fund.sci.2018.50.1.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044413169&doi=10.5614%2fj.math.fund.sci.2018.50.1.1&partnerID=40&md5=809207adb7395b565eccc403d6b873e9,"Department of Mathematics, Faculty of Sciences, Yuzuncu Yil University, Van, Turkey","Tunç, C., Department of Mathematics, Faculty of Sciences, Yuzuncu Yil University, Van, Turkey; Ayhan, T., Department of Mathematics, Faculty of Sciences, Yuzuncu Yil University, Van, Turkey","In this paper, we consider a nonlinear integro-vector differential equation of the second order. We establish sufficient conditions that guarantee the global existence and boundedness of solutions of the equation considered. The method of proof involves constructing a suitable Lyapunov functional that gives meaningful results for the problem to be investigated. The result obtained is new and complements that found in the literature. We give an example to verify the result obtained and for illustration purposes. Using MATLAB-Simulink, the behaviors of the orbits of the equation considered are clearly shown. © 2018 Published by ITB Journal Publisher.",Boundedness; Global existence; Integro-differential equation; Lyapunov functional; Second order,,,,"Institute for Research and Community Services, Institut Teknologi Bandung",23375760,,,,English,J. Math. Fundament. Sci.,Article,,Scopus,2-s2.0-85044413169
Vianello M.,An elementary approach to polynomial optimization on polynomial meshes,2018,Journal of Mathematical and Fundamental Sciences,50,1,,84,91,,,10.5614/j.math.fund.sci.2018.50.1.7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044412270&doi=10.5614%2fj.math.fund.sci.2018.50.1.7&partnerID=40&md5=8c997d4d37a84063864ad672d5d1eaad,"Department of Mathematics, University of Padova, Via Trieste 63, Italy","Vianello, M., Department of Mathematics, University of Padova, Via Trieste 63, Italy","A polynomial mesh on a multivariate compact set or manifold is a sequence of finite norming sets for polynomials whose norming constant is independent of degree. We apply the recently developed theory of polynomial meshes to an elementary discrete approach for polynomial optimization on nonstandard domains, providing a rigorous (over)estimate of the convergence rate. Examples include surface/solid subregions of sphere or torus, such as caps, lenses, lunes, and slices. © 2018 Published by ITB Journal Publisher.",Optimal polynomial meshes; Polynomial norming inequalities; Polynomial optimization,,"Vianello, M.; Department of Mathematics, University of Padova, Via Trieste 63, Italy; email: marcov@math.unipd.it",,"Institute for Research and Community Services, Institut Teknologi Bandung",23375760,,,,English,J. Math. Fundament. Sci.,Article,,Scopus,2-s2.0-85044412270
"Bundjali B., Masykuri M., Hartanti F.W., Arcana I.M.","Poly(Urethane-urea) synthesized from 9-ethoxy-1,10-octadecanediol obtained by modification of palm oil oleic acid",2018,Journal of Mathematical and Fundamental Sciences,50,1,,13,27,,,10.5614/j.math.fund.sci.2018.50.1.2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044426241&doi=10.5614%2fj.math.fund.sci.2018.50.1.2&partnerID=40&md5=011b156947025ae280757e7ead39f44c,"Inorgani ac and Physical Chemistry Research Division, Faculty of Mathematic and Natural Sciences, Institut Teknologi Bandung, Jalan Ganesha 10, Bandung, Indonesia","Bundjali, B., Inorgani ac and Physical Chemistry Research Division, Faculty of Mathematic and Natural Sciences, Institut Teknologi Bandung, Jalan Ganesha 10, Bandung, Indonesia; Masykuri, M., Inorgani ac and Physical Chemistry Research Division, Faculty of Mathematic and Natural Sciences, Institut Teknologi Bandung, Jalan Ganesha 10, Bandung, Indonesia; Hartanti, F.W., Inorgani ac and Physical Chemistry Research Division, Faculty of Mathematic and Natural Sciences, Institut Teknologi Bandung, Jalan Ganesha 10, Bandung, Indonesia; Arcana, I.M., Inorgani ac and Physical Chemistry Research Division, Faculty of Mathematic and Natural Sciences, Institut Teknologi Bandung, Jalan Ganesha 10, Bandung, Indonesia","Poly(uretha ane) (PU) as a prepolymer was prepared zby polymerization of the diol compound (9-ethoxy-1,10-octadecanediol) and e4,4-methylen-bis phenyl isocyanate (MDI) under nitrogen atmosphere at 85 °C. The 9-ethoxy-1,10-octadecanediol was obtained by several reaction steps, i.e. epoxydatiion of oleic acid obtained from palm oil, ring-opening of oleic acid epoxide, and reduction of oleic acid ester. All compounds obtained in this work were characterized by chem eical structure analysis (FTIR and 1H NMR), supported by analysis of iodine val eue, acid value, and hydroxyl value determined by titration methods and thermal eanalysis, especially for poly(urethane). The 9-ethoxy-1,10-octadecanediol as the odiol compound for preparation of poly(urethane)) was analyzed by FTIR, supported by hydroxyl numbers determined by titration. Poly(urethane-urea) (PUU) was obtained by addition of ethylene diamine as chain extender to poly T(urethane). The thermal stability of poly(urethane-urrea) is higher than that of poly(urethane). The addition of ethylene diamine as chain extender in poly(urethane) can improve the intrinsic viscosity of polymer to form poly(urethane-urea). T ahese results are supported by chemical structure analysis. © 2018 Published by ITB Journal Publisher.",10-octadecanediol; 9-ethoxy-1; Oleic acid; Palm oil; Poly(urethane-urea); Synthesis,,,,"Institute for Research and Community Services, Institut Teknologi Bandung",23375760,,,,English,J. Math. Fundament. Sci.,Article,,Scopus,2-s2.0-85044426241
Al-Omari A.I.,Acceptance sampling plans based on truncated life tests for sushila distribution,2018,Journal of Mathematical and Fundamental Sciences,50,1,,72,83,,,10.5614/j.math.fund.sci.2018.50.1.6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044403245&doi=10.5614%2fj.math.fund.sci.2018.50.1.6&partnerID=40&md5=532c40dc4d5b5d32c4ca404b089592f1,"Department of Mathematics, Faculty of Science, Al al-Bayt University, Mafraq, Jordan","Al-Omari, A.I., Department of Mathematics, Faculty of Science, Al al-Bayt University, Mafraq, Jordan","An acceptance sampling plan problem based on truncated life tests when the lifetime following a Sushila distribution is considered in this paper. For various acceptance numbers, confidence levels and values of the ratio between fixed experiment time and particular mean lifetime, the minimum sample sizes required to ascertain a specified mean life were found. The operating characteristic function values of the suggested sampling plans and the producer’s risk are presented. Some tables are provided and the results are illustrated by an example of a real data set. © 2018 Published by ITB Journal Publisher.",Acceptance sampling; Consumer’s risk; Operating characteristic function; Producer’s risk; Sushila distribution; Truncated life test,,"Al-Omari, A.I.; Department of Mathematics, Faculty of Science, Al al-Bayt UniversityJordan; email: alomari_amer@yahoo.com",,"Institute for Research and Community Services, Institut Teknologi Bandung",23375760,,,,English,J. Math. Fundament. Sci.,Article,,Scopus,2-s2.0-85044403245
"Rokhmat M., Wibowo E., Sutisna, Khairurrijal, Abdullah M.",Development of a low-cost TiO2/CuO/Cu solar cell by using combined spraying and electroplating method,2018,Journal of Mathematical and Fundamental Sciences,50,1,,92,101,,,10.5614/j.math.fund.sci.2018.50.1.8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044415458&doi=10.5614%2fj.math.fund.sci.2018.50.1.8&partnerID=40&md5=2b7311169b60ee061cfde37aec45b370,"School of Electrical Engineering, Telkom University, Jalan Telekomunikasi 1, Bandung, Indonesia; Faculty of Mathematics and Natural Sciences, Universitas Jember, Jalan Kalimantan 37, Jember, Indonesia; Faculty of Mathematics and Natural Sciences, Institut Teknologi Bandung, Jalan Ganesha 10, Bandung, Indonesia","Rokhmat, M., School of Electrical Engineering, Telkom University, Jalan Telekomunikasi 1, Bandung, Indonesia; Wibowo, E., School of Electrical Engineering, Telkom University, Jalan Telekomunikasi 1, Bandung, Indonesia; Sutisna, Faculty of Mathematics and Natural Sciences, Universitas Jember, Jalan Kalimantan 37, Jember, Indonesia; Khairurrijal, Faculty of Mathematics and Natural Sciences, Institut Teknologi Bandung, Jalan Ganesha 10, Bandung, Indonesia; Abdullah, M., Faculty of Mathematics and Natural Sciences, Institut Teknologi Bandung, Jalan Ganesha 10, Bandung, Indonesia","A simple method is proposed to develop a low-cost TiO2/CuO/Cu based solar cell. The cell is made by employing a lower grade (technical grade) of TiO2 as the active material. CuO powder is synthesized using a wet chemical method and mixed with TiO2 powder to give impurity to the TiO2. A layer of TiO2/CuO is then deposited onto fluorin-doped tin oxide (FTO) by spraying. Copper particles are grown on the spaces between the TiO2 and/or CuO particles by electroplating for more feasible electron migration. The TiO2/CuO/Cu solar cell is finalized by sandwiching a polymer electrolyte between the film and the counter electrode. Current-voltage measurement was performed for various parameters, such as the molarity of NaOH for producing CuO particles, the weight ratio of CuO over TiO2, and the current in the electroplating process. A highest efficiency of 1.40% and a fill factor of 0.37 were achieved by using this combined spray and electroplating method. © 2018 Published by ITB Journal Publisher.",Copper particles; CuO; Electroplating; Solar cell; Spraying; TiO2,,,,"Institute for Research and Community Services, Institut Teknologi Bandung",23375760,,,,English,J. Math. Fundament. Sci.,Article,,Scopus,2-s2.0-85044415458
"Adeyeye O., Omar Z.",New generalized algorithm for developing k-step higher derivative block methods for solving higher order ordinary differential equations,2018,Journal of Mathematical and Fundamental Sciences,50,1,,40,58,,,10.5614/j.math.fund.sci.2018.50.1.4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044405172&doi=10.5614%2fj.math.fund.sci.2018.50.1.4&partnerID=40&md5=7d9622bed74eb1542e26dd4448c95ac1,"Department of Mathematics, School of Quantitative Sciences, Universiti Utara Malaysia, Sintok, Kedah, Malaysia","Adeyeye, O., Department of Mathematics, School of Quantitative Sciences, Universiti Utara Malaysia, Sintok, Kedah, Malaysia; Omar, Z., Department of Mathematics, School of Quantitative Sciences, Universiti Utara Malaysia, Sintok, Kedah, Malaysia",This article presents a new generalized algorithm for developing k-step (m+1) derivative block methods for solving mth order ordinary differential equations. This new algorithm utilizes the concept from the conventional Taylor series approach of developing linear multistep methods. Certain examples are given to show the simplicity involved in the usage of this new generalized algorithm. © 2018 Published by ITB Journal Publisher.,Block methods; Generalized algorithm; Higher derivative; Higher order; K-step; Taylor series,,,,"Institute for Research and Community Services, Institut Teknologi Bandung",23375760,,,,English,J. Math. Fundament. Sci.,Article,,Scopus,2-s2.0-85044405172
"Barlian A., Riani Y.D.",Correlation of hypoxia and pro-senescence protein expression in green sea turtle (Chelonia mydas) lung epithelial and dermal fibroblast cell culture,2018,Journal of Mathematical and Fundamental Sciences,50,1,,59,71,,,10.5614/j.math.fund.sci.2018.50.1.5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044407884&doi=10.5614%2fj.math.fund.sci.2018.50.1.5&partnerID=40&md5=4cfeec7f7443073fd0527fb303c83083,"School of Life Sciences and Technology, Institut Teknologi Bandung, Jalan Ganesha 10, Bandung, Indonesia","Barlian, A., School of Life Sciences and Technology, Institut Teknologi Bandung, Jalan Ganesha 10, Bandung, Indonesia; Riani, Y.D., School of Life Sciences and Technology, Institut Teknologi Bandung, Jalan Ganesha 10, Bandung, Indonesia","Recent studies have shown hypoxia-induced gene expression correlated with cellular senescence. HIF-1α (hypoxia-inducible factor 1-alpha), p53, and pRB were induced under hypoxia and correlated with cellular senescence. The localization and expression of HIF-1α, p53, and pRB in Chelonia mydas lung epithelial and dermal fibroblast cell cultures were analyzed under normoxic and hypoxic conditions (at 4 and 24 hours). Human dermal fibroblast was used for comparison purposes. Protein localization was analyzed with immunocytochemistry, while protein expression was analyzed with the Western blot and enhanced chemiluminescence (ECL) method. HIF-1α, p53, and pRB were localized in the nuclei of the C. mydas cell cultures treated with hypoxia. The C. mydas lung epithelial cell cultures had a higher increase of HIF-1α expression than the human dermal fibroblast cell culture. The hypoxic conditions did not affect p53 expression significantly in C. mydas lung epithelial and dermal fibroblast cell cultures. Meanwhile, pRB expression changed significantly under hypoxia in the C. mydas dermal fibroblast cells. Expression of p53 and pRB in the human cell cultures was higher than in the C. mydas cell cultures. This research suggests that C. mydas and human cell cultures have different pro-senescence protein expression responses under hypoxic conditions. © 2018 Published by ITB Journal Publisher.",Green sea turtle; Hypoxia; Immunocytochemistry; Pro-senescence protein; Western blotting,,,,"Institute for Research and Community Services, Institut Teknologi Bandung",23375760,,,,English,J. Math. Fundament. Sci.,Article,,Scopus,2-s2.0-85044407884
"Sabullah M.K., Rahman M.F., Ahmad S.A., Sulaiman M.R., Shukor M.S., Shamaan N.A., Shukor M.Y.",Assessing resistance and bioremediation ability of enterobacter sp. Strain saw-1 on molybdenum in various heavy metals and pesticides,2017,Journal of Mathematical and Fundamental Sciences,49,2,,193,210,,,10.5614/j.math.fund.sci.2017.49.2.8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030653519&doi=10.5614%2fj.math.fund.sci.2017.49.2.8&partnerID=40&md5=f233e0e159313b7adcb81aa0e5d4bc3a,"Faculty of Science and Natural Resources, Universiti Malaysia Sabah, Jalan UMS, Kota Kinabalu, Sabah, Malaysia; Department of Biochemistry, Faculty of Biotechnology and Biomolecular Sciences, Universiti Putra Malaysia, UPM, Serdang, Selangor, Malaysia; Faculty of Food Science & Nutrition, Universiti Malaysia Sabah, Jalan UMS, Kota Kinabalu, Sabah, Malaysia; Snoc International Sdn Bhd, Lot 343, Jalan 7/16 Kawasan Perindustrian Nilai 7, Inland PortNegeri Sembilan, Malaysia; Faculty of Medicine and Health Sciences, Islamic Science University of Malaysia, Kuala Lumpur, Malaysia","Sabullah, M.K., Faculty of Science and Natural Resources, Universiti Malaysia Sabah, Jalan UMS, Kota Kinabalu, Sabah, Malaysia, Department of Biochemistry, Faculty of Biotechnology and Biomolecular Sciences, Universiti Putra Malaysia, UPM, Serdang, Selangor, Malaysia; Rahman, M.F., Department of Biochemistry, Faculty of Biotechnology and Biomolecular Sciences, Universiti Putra Malaysia, UPM, Serdang, Selangor, Malaysia; Ahmad, S.A., Department of Biochemistry, Faculty of Biotechnology and Biomolecular Sciences, Universiti Putra Malaysia, UPM, Serdang, Selangor, Malaysia; Sulaiman, M.R., Faculty of Food Science & Nutrition, Universiti Malaysia Sabah, Jalan UMS, Kota Kinabalu, Sabah, Malaysia; Shukor, M.S., Snoc International Sdn Bhd, Lot 343, Jalan 7/16 Kawasan Perindustrian Nilai 7, Inland PortNegeri Sembilan, Malaysia; Shamaan, N.A., Faculty of Medicine and Health Sciences, Islamic Science University of Malaysia, Kuala Lumpur, Malaysia; Shukor, M.Y., Faculty of Science and Natural Resources, Universiti Malaysia Sabah, Jalan UMS, Kota Kinabalu, Sabah, Malaysia","One of the most economical approaches for removal of toxic compounds is bioremediation. In the long term, bioremediation is economic and feasible compared to other methods, such as physical or chemical methods. A bacterium that can efficiently reduce molybdenum blue was isolated from polluted soil. Biochemical analysis revealed the identity of the bacterium as Enterobacter sp. strain Saw-1. The growth parameters for optimal reduction of molybdenum to Mo-blue or molybdenum blue, a less toxic product, were determined around pH 6.0 to 6.5 and in the range of 30 to 37 °C, respectively. Glucose was selected as preferred carbon source, followed by sucrose, maltose, l-rhamnose, cellobiose, melibiose, raffinose, d-mannose, lactose, glycerol, d-adonitol, d-mannitol, l-arabinose and mucate. Phosphate and molybdate were critically required at 5.0 mM and 10 mM, respectively. The scanning absorption spectrum acquired to detect the development of complex Mo-blue showed similarity to previously isolated Mo-reducing bacteria. In addition, the spectrum closely resembled the molybdenum blue from the phosphate determination method. Heavy metals, including mercury, copper (II) and silver (I), inhibited reduction. Moreover, the bacterium also showed capability of exploiting the pesticide coumaphos as an alternative carbon source for growth. As the bacterium proved its ability to detoxify organic and inorganic xenobiotics, the usefulness of this microorganism for bioremediation is highlighted. © 2017 Published by ITB Journal Publisher.",Bioremediation; Coumaphos; Enterobacter sp. strain Saw-1; Heavy metals; Molybdenum,,,,"Institute for Research and Community Services, Institut Teknologi Bandung",23375760,,,,English,J. Math. Fundament. Sci.,Article,,Scopus,2-s2.0-85030653519
"Iriawati, Puspita M.I., Rodiansyah A.",In vitro regeneration of foxtail millet (Setaria italica (L.) Beauv.) cv. Buru Hotong,2017,Journal of Mathematical and Fundamental Sciences,49,2,,171,180,,,10.5614/j.math.fund.sci.2017.49.2.6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030636162&doi=10.5614%2fj.math.fund.sci.2017.49.2.6&partnerID=40&md5=cba3f0d545a5b5a4488d315b0c812377,"School of Life Sciences and Technology, Institut Teknologi Bandung, Jalan Ganesha 10, Bandung, Indonesia","Iriawati, School of Life Sciences and Technology, Institut Teknologi Bandung, Jalan Ganesha 10, Bandung, Indonesia; Puspita, M.I., School of Life Sciences and Technology, Institut Teknologi Bandung, Jalan Ganesha 10, Bandung, Indonesia; Rodiansyah, A., School of Life Sciences and Technology, Institut Teknologi Bandung, Jalan Ganesha 10, Bandung, Indonesia","In vitro regeneration of foxtail millet (Setaria italica (L.) Beauv.) was done using basal shoot explants of 10-day old seedlings. Explants were cultured in MS basal medium supplemented with 2,4-dichlorophenoxyacetic acid (2,4-D), kinetin, 6-benzylaminopurine (BAP) and 1.5 ppm NiSO4. Shoot multiplication and root induction were done in Murashige and Skoog (MS) basal media. Plantlets were then acclimatized in rice husk charcoal, cocopeat, or mixed media. Results showed that MS basal medium containing 0.5 ppm kinetin, 2 ppm BAP, and 0.1 ppm 2,4-D was the optimal medium for shoot induction, in which 60% of explants developed direct shoot organogenesis. In addition, callus was optimally formed in MS medium supplemented by 1 ppm kinetin, 1 ppm BAP, and 0.5 ppm 2,4-D. Regenerated shoots spontaneously developed roots after being transferred into MS basal media without growth regulator. During acclimatization, the highest survival rate of plantlets (47%) was obtained in rice husk charcoal. The developed method could be useful towards improvement of this species using in vitro tissue culture techniques. © 2017 Published by ITB Journal Publisher.","2,4-D; BAP; Foxtail millet; Kinetin; Plant regeneration",,,,"Institute for Research and Community Services, Institut Teknologi Bandung",23375760,,,,English,J. Math. Fundament. Sci.,Article,,Scopus,2-s2.0-85030636162
