Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Chen Z., Jin X., Wang M.","A new thermo-mechanical coupled DEM model with non-spherical grains for thermally induced damage of rocks",2018,"Journal of the Mechanics and Physics of Solids","116",,,"54","69",,,10.1016/j.jmps.2018.03.023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045061483&doi=10.1016%2fj.jmps.2018.03.023&partnerID=40&md5=c7f133d75d9d50260e2cadc1ab239eaa","Department of Engineering Mechanics and CNMM, Tsinghua University, Beijing, China; National Energy Tight Oil & Gas Research Centre, Petroleum Geology Research & Laboratory Center, Research Institute of Petroleum Exploration & Development (RIPED) PetroChina, Beijing, China","Chen, Z., Department of Engineering Mechanics and CNMM, Tsinghua University, Beijing, China; Jin, X., National Energy Tight Oil & Gas Research Centre, Petroleum Geology Research & Laboratory Center, Research Institute of Petroleum Exploration & Development (RIPED) PetroChina, Beijing, China; Wang, M., Department of Engineering Mechanics and CNMM, Tsinghua University, Beijing, China","Thermally induced damage often occurs in rocks in geophysical systems. Discrete element method (DEM) is a useful tool to model this thermo-mechanical coupled process owing to its explicit representation of fracture initiation and propagation. However, the previous DEM models for this are mostly based on spherical discrete elements, which are not able to capture all consequences (e.g. high ratio of compressive to tensile strength) of real rocks (e.g. granite) composed of complex-geometry grains. In order to overcome this intrinsic limitation, we present a new model allowing to mimick thermally induced damage of brittle rock with non-spherical grains. After validations, the new model is used to study thermal gradient cracking with a special emphasis on the effects from rock heterogeneity. The obtained fracture initiation and propagation are consistent with experimental observations, which demonstrates the ability of current model to reproduce the thermally induced damage of rocks. Meanwhile, the results show that rock heterogeneity influences thermal gradient cracking significantly, and more micro cracks uniformly scattering around the borehole are induced in the heterogeneous sample, which is not good for applications such as nuclear waste disposal. The present model provides a promising approach at micro-scale to explore mechanisms of thermally induced damage of rocks in geological engineering. © 2018 Elsevier Ltd","Discrete element method; Non-spherical grains; Thermally induced damage; Thermo-mechanical coupled process","Cracks; Finite difference method; Rocks; Spheres; Tensile strength; Thermal gradients; Waste disposal; Complex geometries; Explicit representation; Fracture initiation; Geophysical systems; Non-Spherical; Rock heterogeneity; Thermally induced; Thermo-mechanical coupled; Fracture","Wang, M.; Department of Engineering Mechanics and CNMM, Tsinghua UniversityChina; email: mrwang@tsinghua.edu.cn",,"Elsevier Ltd",00225096,,JMPSA,,"English","J Mech Phys Solids",Article,,Scopus,2-s2.0-85045061483
"Li A., Xu N., Dai F., Gu G., Hu Z., Liu Y.","Stability analysis and failure mechanism of the steeply inclined bedded rock masses surrounding a large underground opening",2018,"Tunnelling and Underground Space Technology","77",,,"45","58",,,10.1016/j.tust.2018.03.023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044614091&doi=10.1016%2fj.tust.2018.03.023&partnerID=40&md5=d55f87c587620daacbf25b95d8283308","College of Architecture and Environment, Sichuan University, Chengdu, Sichuan, China; State Key Laboratory of Hydraulics and Mountain River Engineering, College of Water Resource and Hydropower, Sichuan University, Chengdu, Sichuan, China; China Three Gorges Projects Development Co., Ltd, Beijing, China","Li, A., College of Architecture and Environment, Sichuan University, Chengdu, Sichuan, China, State Key Laboratory of Hydraulics and Mountain River Engineering, College of Water Resource and Hydropower, Sichuan University, Chengdu, Sichuan, China; Xu, N., State Key Laboratory of Hydraulics and Mountain River Engineering, College of Water Resource and Hydropower, Sichuan University, Chengdu, Sichuan, China; Dai, F., College of Architecture and Environment, Sichuan University, Chengdu, Sichuan, China, State Key Laboratory of Hydraulics and Mountain River Engineering, College of Water Resource and Hydropower, Sichuan University, Chengdu, Sichuan, China; Gu, G., China Three Gorges Projects Development Co., Ltd, Beijing, China; Hu, Z., State Key Laboratory of Hydraulics and Mountain River Engineering, College of Water Resource and Hydropower, Sichuan University, Chengdu, Sichuan, China; Liu, Y., State Key Laboratory of Hydraulics and Mountain River Engineering, College of Water Resource and Hydropower, Sichuan University, Chengdu, Sichuan, China","The stability of high sidewalls of large-span underground openings is a crucial geological engineering issue when the steeply inclined rock strata form a small angle to the cavern axis. In this study, detailed field surveys, in-situ tests and numerical simulations were performed to investigate the stability and failure mechanism of bedded rock masses surrounding a large underground cavern at the Wudongde hydropower station in China. First, a 3D real time, movable microseismic (MS) monitoring system was installed to analyze the stability of the underground caverns. The micro-fracturing processes and potential failure mechanism of cataclinal layered rock masses were revealed by the spatial distribution evolution and seismic source parameters (i.e., S-wave to P-wave energy ratios, namely Es/Ep) of the MS events. Then, an approach integrating the field surveys, MS monitoring and conventional measurements, is proposed for evaluating the cavern stability and identifying the high risk regions in the bedded rock masses during the staged excavations. Subsequently, discrete element method (DEM) was adopted to depict the progressive failure processes of the layered rock masses. The relationship between the failure in the upstream sidewall and the orientation and spacing of bedding planes was analysed. Abovementioned investigations allow us finally to conclude that the failure mechanism of the steeply cataclinal layered rock strata after cavern excavation is a combination of (1) the composite bending and sliding occurring in the lower part of the upstream sidewall with no supports, and (2) the opening and shear dislocation of bedding planes in the middle area. Timely supports for the rock strata at the toe of sidewall might be an effective way for preventing the occurrence of the studied failure. © 2018 Elsevier Ltd","Bedded rock masses; Discrete element method; Failure mechanism; MS monitoring; Stability analysis","Caves; Excavation; Failure (mechanical); Finite difference method; Microseismic monitoring; Rock mechanics; Seismic waves; Seismology; Shear waves; Stability; Surveys; Wave energy conversion; Bedded rock; Conventional measurements; Failure mechanism; Large underground caverns; Progressive failure process; Stability analysis; Underground opening; Wudongde hydropower stations; Rocks","Dai, F.; State Key Laboratory of Hydraulics and Mountain River Engineering, College of Water Resources and Hydropower, Sichuan UniversityChina; email: fengdai@scu.edu.cn",,"Elsevier Ltd",08867798,,,,"English","Tunn. Undergr. Space Technol.",Article,,Scopus,2-s2.0-85044614091
"Jia Y., Yang Q., Huang Y., Wang D., Liu X.","Introduction to the thematic set of papers on: marine engineering geology",2018,"Bulletin of Engineering Geology and the Environment",,,,"1","3",,,10.1007/s10064-018-1275-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045087787&doi=10.1007%2fs10064-018-1275-9&partnerID=40&md5=a87abc0c0b3032b10200210e6b85db8f","Shandong Provincial Key Laboratory of Marine Environment and Geological Engineering, Ocean University of China, Qingdao, China; Department of Geotechnical Engineering, State Key Laboratory of Coastal and Offshore Engineering, Dalian University of Technology, Dalian, China; Department of Geotechnical Engineering, College of Civil Engineering, Tongji University, Shanghai, China","Jia, Y., Shandong Provincial Key Laboratory of Marine Environment and Geological Engineering, Ocean University of China, Qingdao, China; Yang, Q., Department of Geotechnical Engineering, State Key Laboratory of Coastal and Offshore Engineering, Dalian University of Technology, Dalian, China; Huang, Y., Department of Geotechnical Engineering, College of Civil Engineering, Tongji University, Shanghai, China; Wang, D., Shandong Provincial Key Laboratory of Marine Environment and Geological Engineering, Ocean University of China, Qingdao, China; Liu, X., Shandong Provincial Key Laboratory of Marine Environment and Geological Engineering, Ocean University of China, Qingdao, China","The First International Symposium on Marine Engineering Geology (ISMEG2016) was held in Qingdao, China, 21–24 October 2016. The symposium was sponsored by the Marine Engineering Geology Commission, International Association for Engineering Geology and Environment (IAEG-C34) and hosted by the Shandong Provincial Key Laboratory of Marine Environment and Geological Engineering at Ocean University of China. Over 200 researchers worldwide participated in the symposium, which included 13 plenary reports, 17 keynote reports, and more than 40 oral presentations and posters. All papers appearing in this thematic issue of Bulletin of Engineering Geology and the Environment are original scientific papers that have been internationally reviewed, focusing on the marine geohazards, engineering characteristics of marine soil, coastal and ocean engineering, and wave-soil interactions encountered in the latest practice of marine engineering geology. © 2018 Springer-Verlag GmbH Germany, part of Springer Nature","IAEG-C34; ISMEG 2016; Marine engineering geology; Thematic issue","Marine engineering; Ocean engineering; Engineering characteristics; IAEG-C34; International Association; ISMEG 2016; Marine environment; Oral presentations; Scientific papers; Thematic issue; Engineering geology","Liu, X.; Shandong Provincial Key Laboratory of Marine Environment and Geological Engineering, Ocean University of ChinaChina; email: xiaolei@ouc.edu.cn",,"Springer Verlag",14359529,,,,"English","Bull. Eng. Geol. Environ.",Article in Press,,Scopus,2-s2.0-85045087787
"Morelli G.L.","Correction to: Variability of the GSI Index Estimated From Different Quantitative Methods (Geotechnical and Geological Engineering, (2015), 33, 4, (983-995), 10.1007/s10706-015-9880-x)",2018,"Geotechnical and Geological Engineering","36","2",,"1417","",,,10.1007/s10706-017-0384-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032661994&doi=10.1007%2fs10706-017-0384-8&partnerID=40&md5=c63eb565eb94b3c73db3d8931325dbc7","Geotecna Progetti S.r.l, Milan, Italy","Morelli, G.L., Geotecna Progetti S.r.l, Milan, Italy","The year of publication for Dr. Sari's book chapter ‘Incorporating variability and/or uncertainty of rock mass properties into GSI and RMi systems using Monte Carlo method’ is 2014 and not 2015, was erroneously indicated in the reference list of the original publication of this article. © 2017, Springer International Publishing AG.",,"Geology; Geotechnical engineering; Quantitative method; Reference list; Rock mass properties; Monte Carlo methods","Morelli, G.L.; Geotecna Progetti S.r.lItaly; email: gl.morelli.geo@gmail.com",,"Springer International Publishing",09603182,,GGENE,,"English","Geotech. Geol. Eng.",Erratum,,Scopus,2-s2.0-85032661994
"Aghamolaie I., Lashkaripour G.R., Ghafoori M., Hafezi Moghaddas N.","3D geotechnical modeling of subsurface soils in Kerman city, southeast Iran",2018,"Bulletin of Engineering Geology and the Environment",,,,"1","16",,,10.1007/s10064-018-1240-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045043007&doi=10.1007%2fs10064-018-1240-7&partnerID=40&md5=fa99992cb48e7d1404c2927f9026190f","Department of Geology, Faculty of Science, Ferdowsi University of Mashhad, Mashhad, Iran","Aghamolaie, I., Department of Geology, Faculty of Science, Ferdowsi University of Mashhad, Mashhad, Iran; Lashkaripour, G.R., Department of Geology, Faculty of Science, Ferdowsi University of Mashhad, Mashhad, Iran; Ghafoori, M., Department of Geology, Faculty of Science, Ferdowsi University of Mashhad, Mashhad, Iran; Hafezi Moghaddas, N., Department of Geology, Faculty of Science, Ferdowsi University of Mashhad, Mashhad, Iran","Subsurface stratigraphy has recently been a subject of intense research within the last two decades for dealing with the complicated nature of subsurface ground layers through building three-dimensional geological models. Considering the importance of subsurface soil characterization in urban areas in geotechnical and geological engineering projects, the present study was conducted to propose a three-dimensional (3D) geological engineering model using the sequential Gaussian simulation (SGS) approach for the subsurface soil of the city of Kerman, southeast Iran. Due to the intense variability of soil in the study area, civil engineering projects are sometimes encountered with severe problems in the city. Hence, a better understanding of the soil-related problems has to be gained for dealing with issues in the current and future civil engineering works. The main goal of the present research is to incorporate the SGS method for studying the spatial variability of soil through variograms and then forecasting the values of soil properties at unsampled locations. For this purpose, index geotechnical parameters, including standard penetration test number (SPTN), fine-grained material percentage, plasticity index (PI), and liquid limit (LL), were used as the input data. A database consisting of 700 borehole data was prepared. Then, the raw data were normalized prior to importing to the SGS model. Next, maps related to the average of all realizations along with the coefficient of variation (CV) were prepared for each variable. Finally, the prepared maps were interpreted based on the sedimentary environment of Kerman. © 2018 Springer-Verlag GmbH Germany, part of Springer Nature","3D model; Kerman; Sequential Gaussian simulation (SGS); Subsurface soils; Variogram","Soils; Stratigraphy; 3-d modeling; Kerman; Sequential Gaussian simulation; Subsurface soil; Variograms; Soil testing","Lashkaripour, G.R.; Department of Geology, Faculty of Science, Ferdowsi University of MashhadIran; email: lashkaripour@um.ac.ir",,"Springer Verlag",14359529,,,,"English","Bull. Eng. Geol. Environ.",Article in Press,,Scopus,2-s2.0-85045043007
"Vlachopoulos N., Forbes B.","Geological engineering - ""smart"" ground support: Continuous strain monitoring using fiber optics",2018,"Geotechnical News","36","1",,"29","32",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045615662&partnerID=40&md5=a47433e1e53aa173a22c33a80343ff61","Royal Military College of Canada (RMCC), India; Civil Engineering Department, India; RMC Green Team, Canada; CeoMechanics Group of the Ceological Sciences, Geological Engineering Department, Queens University, Canada","Vlachopoulos, N., Royal Military College of Canada (RMCC), India, Civil Engineering Department, India, RMC Green Team, Canada; Forbes, B., CeoMechanics Group of the Ceological Sciences, Geological Engineering Department, Queens University, Canada",[No abstract available],,,,,"BiTech Publishers Ltd.",0823650X,,GENWE,,"English","Geotech News",Article,,Scopus,2-s2.0-85045615662
"Nasseh S., Hafezi Moghaddas N., Ghafoori M., Asghari O., Bolouri Bazaz J.","Investigation of spatial variability of SPT data in Mashhad City (NE Iran) using a geostatistical approach",2018,"Bulletin of Engineering Geology and the Environment","77","1",,"441","455",,,10.1007/s10064-017-1136-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028989667&doi=10.1007%2fs10064-017-1136-y&partnerID=40&md5=8df84ae6387cfefd107d1de3d2ea6c73","Department of Geology, Faculty of Science, Ferdowsi University of Mashhad, Mashhad, Iran; Simulation and Data Processing Laboratory, Department of Mining Engineering, University of Tehran, Tehran, Iran; Department of Civil Engineering, Ferdowsi University of Mashhad, Mashhad, Iran","Nasseh, S., Department of Geology, Faculty of Science, Ferdowsi University of Mashhad, Mashhad, Iran; Hafezi Moghaddas, N., Department of Geology, Faculty of Science, Ferdowsi University of Mashhad, Mashhad, Iran; Ghafoori, M., Department of Geology, Faculty of Science, Ferdowsi University of Mashhad, Mashhad, Iran; Asghari, O., Simulation and Data Processing Laboratory, Department of Mining Engineering, University of Tehran, Tehran, Iran; Bolouri Bazaz, J., Department of Civil Engineering, Ferdowsi University of Mashhad, Mashhad, Iran","Precisely investigating subsurface conditions is a major concern for both geotechnical and geological engineers. In recent years, growing urbanization and construction of high-rise buildings in Mashhad City, Iran, have increased the demand for 3D models as a basis for subsurface characterization. In this regard, this study deals with the development of a 3D geological engineering model for standard penetration test (SPT) results on Mashhad City sedimentary deposits using sequential indicator simulation (SIS) and sequential Gaussian simulation (SGS) approaches. Reliable estimation of SPT values can be helpful in prediction of other geotechnical properties such as soil strength parameters and bearing capacity. The intense variability of the Mashhad sedimentary basin gives rise to complex and challenging ground conditions for civil engineering work. A better understanding of these deposits is crucial for many current and future civil engineering projects. Since design parameters in the study area are usually determined based on SPT results, 12,440 SPT data collected from 1380 boreholes were employed as the input data. After variability analysis, the SIS procedure was applied to coded data to determine areas with very dense sediments (areas with SPT > 50). Then, data with SPT values < 50 were transformed into normal scores in order for them to be applicable as input data in SGS. Finally, coupled maps showing the results of these two approaches were provided for different depths. © 2017, Springer-Verlag GmbH Germany.","Mashhad City; Sequential Gaussian Simulation; Sequential Indicator Simulation; SPT data; Subsurface characterization","Deposits; Geology; Input output programs; Sedimentology; Tall buildings; Mashhad cities; Sequential Gaussian simulation; Sequential indicator simulations; SPT data; Subsurface characterizations; Soil testing; bearing capacity; computer simulation; geostatistics; geotechnical engineering; geotechnical property; penetration test; prediction; sedimentary basin; soil strength; spatial variation; standard (reference); three-dimensional modeling; Iran; Mashhad; Razavi Khorasan","Hafezi Moghaddas, N.; Department of Geology, Faculty of Science, Ferdowsi University of MashhadIran; email: nhafezi@um.ac.ir",,"Springer Verlag",14359529,,,,"English","Bull. Eng. Geol. Environ.",Article,,Scopus,2-s2.0-85028989667
"Rukmana Y.Y., Ridwan M.","Geological Engineering Characteristics of the Residual Soil: Implementation for Soil Bearing Capacity at Gayungan, Surabaya, East Java",2018,"IOP Conference Series: Materials Science and Engineering","288","1", 012157,"","",,,10.1088/1757-899X/288/1/012157,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041674034&doi=10.1088%2f1757-899X%2f288%2f1%2f012157&partnerID=40&md5=cc92e7fbba91586a713370edcc85b2d0","Padjadjaran University, Indonesia; PT. Geosindo Utama, Indonesia","Rukmana, Y.Y., Padjadjaran University, Indonesia; Ridwan, M., PT. Geosindo Utama, Indonesia","This paper presents the results of soil investigation on the residual soil at Gayungan Surabaya. The methodology of the research consists of Drilling + Standard Penetration Test (ASTM D1586-99), sampling and laboratory test for index properties & mechanical of soil, then analyzed for Soil Bearing Capacity (Meyerhoff, 1976). Field test analysis data showed that Bore Hole.01(BH.01) and Bore Hole.03 (BH.03) were dominated by Sand / Sandy clay layer with Standart Penetration Test (SPT) values: 6-68, whereas in BH.02 was dominated by Clayey sand layer with Standard Penetration Test (SPT) values: 32-68. Based on Soil classification according to Unified Soil Classification System (USCS), the soil type at the research area consisted of ML (Silt with Low plasticity), CL ( Clay with low plasticity), MH (Silt with High plasticity), and SP (Sand with Poor gradation). Based on the borlog data and soil bearing capacity analysis of the research area is recommended: for The Deep foundation to reaches at least 16 meters depth with Qa = 1160.40-2032.80 kN / m2, and Shallow foundation reaches at least 1-2 meters deep with Qa = 718.25 kN / M2. © Published under licence by IOP Publishing Ltd.",,"Bearing capacity; Bearings (machine parts); Plasticity; Silt; Soils; Deep foundations; Engineering characteristics; Shallow foundations; Soil bearing capacity; Soil classification; Soil investigation; Standard penetration test; Unified soil classification systems; Soil testing","Rukmana, Y.Y.; Padjadjaran UniversityIndonesia; email: Yanwar16001@mail.unpad.ac.id","Abdullah A.G.Nandiyanto A.B.D.Widiaty I.","Institute of Physics Publishing",17578981,,,,"English","IOP Conf. Ser. Mater. Sci. Eng.",Conference Paper,Open Access,Scopus,2-s2.0-85041674034
"Liu Q., Liu J., Liang B.","Research into selection evaluation system on co-mining of “the three gas” in coal series stratum",2018,"Petroleum",,,,"","",,,10.1016/j.petlm.2017.09.008,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044569683&doi=10.1016%2fj.petlm.2017.09.008&partnerID=40&md5=a59f055dc4777e75a90078dc5536d02d","School of Geoscience and Technology, Southwest Petroleum University, Chengdu, China; Institute of Mechanics & Engineering, Liaoning Technical University, Fuxin, China","Liu, Q., School of Geoscience and Technology, Southwest Petroleum University, Chengdu, China; Liu, J., School of Geoscience and Technology, Southwest Petroleum University, Chengdu, China; Liang, B., Institute of Mechanics & Engineering, Liaoning Technical University, Fuxin, China","Along with the continuously go deep into of the research on coal series stratum, unconventional coal-derived gas gets more attention, including coalbed methane, shale gas and tight sandstone gas. However, selection evaluation as the basis and prerequisite for the exploration and development of unconventional coal-derived gas has great significance. The purpose of this paper is to set up a selection evaluation system, and this system is called selection evaluation on co-mining of “the three gas” in coal series stratum. If a basin exists these three gases at the same time, then we can use this evaluation system to evaluate this type of basin and choose dessert area, finally, for co-mining of “the three gas” in coal series stratum provide guidance. By choosing the main control factors of coalbed methane, shale gas and tight sandstone gas, and based on fuzzy mathematics, analytic hierarchy process theory and multi-level fuzzy comprehensive evaluation theory to research selection evaluation system on co-mining of “the three gas” in coal series stratum. Finally, 26 main control factors are selected, and then the index system is set up; in addition, by calculating the weight and establishing the membership function and evaluation set, and then selection evaluation system on co-mining of “the three gas” in coal series stratum with a four layer index is established. This paper can provide a theoretical basis and engineering guidance for unconventional gas exploration and development. © 2018 Southwest Petroleum University","Geological engineering; Multi-level fuzzy mathematics; Selection evaluation system; “The three gas” in coal series stratum",,"Liu, Q.; School of Geoscience and Technology, Southwest Petroleum UniversityChina; email: 307900450@qq.com",,"KeAi Communications Co.",24056561,,,,"English","Pet.",Article in Press,Open Access,Scopus,2-s2.0-85044569683
"Wan Z., Yao Y., Chen K., Zhong S., Xia B., Sun Y.","Characterization of mud volcanoes in the northern Zhongjiannan Basin, western South China Sea",2018,"Geological Journal",,,,"","",,,10.1002/gj.3168,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043573025&doi=10.1002%2fgj.3168&partnerID=40&md5=998b5f6383525f228eb9d05924c9de21","School of Marine Sciences, Guangdong Provincial Key Laboratory of Marine Resources and Coastal Engineering Sun Yat-sen University Guangzhou, Guandong China; Guangzhou Marine Geological Survey Ministry of Land and Resources Guangzhou China; Department of Geology and Geophysics Texas A and M University College Station, Texas USA","Wan, Z., School of Marine Sciences, Guangdong Provincial Key Laboratory of Marine Resources and Coastal Engineering Sun Yat-sen University Guangzhou, Guandong China, Department of Geology and Geophysics Texas A and M University College Station, Texas USA; Yao, Y., Guangzhou Marine Geological Survey Ministry of Land and Resources Guangzhou China; Chen, K., Department of Geology and Geophysics Texas A and M University College Station, Texas USA; Zhong, S., School of Marine Sciences, Guangdong Provincial Key Laboratory of Marine Resources and Coastal Engineering Sun Yat-sen University Guangzhou, Guandong China; Xia, B., School of Marine Sciences, Guangdong Provincial Key Laboratory of Marine Resources and Coastal Engineering Sun Yat-sen University Guangzhou, Guandong China; Sun, Y., Department of Geology and Geophysics Texas A and M University College Station, Texas USA","Mud volcanoes are important to understand hydrocarbon research and exploration, crustal movement and neotectonic activity, geological engineering, and climate change. They are widely distributed along the Alps-Tethys suture zone, the Pacific belt, and continental slopes. Previous detailed studies on mud volcanoes concentrated mostly on onshore areas. Recent developments in geophysical technology have opened vast deepwater areas for research on mud volcanoes. Based on multibeam bathymetry, multichannel seismic reflection, gravity, and magnetics data, mud volcanoes in the northern Zhongjiannan Basin have been studied comprehensively and systematically. Abundant mud volcanoes were found in the whole Northern Depression of the basin, not only in the Zhongjian Valley but also in the Rizhao Valley, with different sizes, morphologies, and eruption intensities. Five types of mud volcanoes are identified in the study area, which include the following: deep source high-energy large-size mud volcanoes, shallow source low-energy small-size mud volcanoes, budding mud volcanoes (mud diapir), mud volcanoes related to canyon and bottom current channels, and mud volcanoes related to pockmarks and gas chimneys. At the developmental scale, the distribution and type of mud volcanoes (diapirs) in the Zhongjiannan Basin are obviously different than those in the Yinggehai Basin, which is famous for the development of a large number of large mud diapirs in the North-western South China Sea. The region's tectonic and sedimentary environment is the main controlling factor of the development of mud volcanoes. Three sets of Tertiary thick mudstones in the Zhongjiannan Basin are the material basis for the formation of mud volcanoes. Overpressured fluid, generated from the combined factors of undercompaction, hydrocarbon generation, hydrothermal pressurization, and tectonic compression, is the driving force of the eruption of mud volcanoes. Furthermore, earthquakes that occurred in the surrounding areas of the Zhongjiannan Basin are the triggering mechanism of mud volcano eruptions. © 2018 John Wiley & Sons, Ltd.","Classification; Development characteristics; Formation mechanism; Mud volcano; Northern Zhongjiannan Basin; Western South China Sea",,"Wan, Z.email: wanzhif@mail.sysu.edu.cn",,"John Wiley and Sons Ltd",00721050,,,,"English","Geol. J.",Article in Press,,Scopus,2-s2.0-85043573025
