Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Harijoko A., Mariska N.A.S., Anggara F.","Estimated emplacement temperatures for a pyroclastic deposits from the Sundoro Volcano, Indonesia, using Charcoal reflectance analyses",2018,"Indonesian Journal on Geoscience","5","1",,"1","11",,,10.17014/ijog.5.1.1-11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043306379&doi=10.17014%2fijog.5.1.1-11&partnerID=40&md5=7b9e62689bf706aa26433c7c0942a80a","Department of Geological Engineering, Universitas Gadjah Mada, Jln. Grafika No. 2 Bulaksumur, Yogyakarta, Indonesia; Undergraduate program, Department of Geological Engineering, Universitas Gadjah Mada, Jln. Grafika No. 2 Bulaksumur, Yogyakarta, Indonesia","Harijoko, A., Department of Geological Engineering, Universitas Gadjah Mada, Jln. Grafika No. 2 Bulaksumur, Yogyakarta, Indonesia; Mariska, N.A.S., Undergraduate program, Department of Geological Engineering, Universitas Gadjah Mada, Jln. Grafika No. 2 Bulaksumur, Yogyakarta, Indonesia; Anggara, F., Department of Geological Engineering, Universitas Gadjah Mada, Jln. Grafika No. 2 Bulaksumur, Yogyakarta, Indonesia","This study applies the charcoalification measurement method to infer the emplacement temperature of pyroclastic flow deposits erupted from the Sundoro Volcano, Indonesia. This pyroclastic flow partially covered the Liyangan archeological site, a site where Hindu temples were constructed approximately 1,000 years ago. Five samples of charcoal collected from this area were analyzed for reflectance and elemental composition. Charcoalification temperatures were determined based on mean random optical reflectance values (Ro) plotted on published Ro-Temperature curves. Charcoalification temperatures were also estimated using a published formula based on the charcoal's hydrogen to carbon (H/C) ratio. These two methods for determining pyroclastic flow deposition temperatures indicated that the pyroclastic deposits that entombed the Liyangan archeological site ranged from 295° to 487°C when they were deposited. This study used very simple, rapid, precise, and low-cost methods of charcoalification temperature measurement to infer the emplacement temperature of a pyroclastic deposit. This estimation procedure could be applied widely to predict emplacement temperatures in volcanic area in Indonesia to enhance volcanic hazard mitigation. © IJOG - 2018.","Charcoal; Liyangan archeological site; Pyroclastic flow deposition temperature; Sundoro Volcano",,"Harijoko, A.; Department of Geological Engineering, Universitas Gadjah Mada, Jln. Grafika No. 2 Bulaksumur, Indonesia; email: aharijoko@ugm.ac.id",,"Geological Agency",23559314,,,,"English","Indones. J. Geosci.",Article,,Scopus,2-s2.0-85043306379
"Ramdhan A.M., Hutasoit L.M., Slameto E.","Lateral reservoir drainage in some Indonesia's sedimentary basins and its implication to hydrodynamic trapping",2018,"Indonesian Journal on Geoscience","5","1",,"65","80",,,10.17014/ijog.5.1.65-80,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043335225&doi=10.17014%2fijog.5.1.65-80&partnerID=40&md5=fd7c2bffd6a0ff9ecadb2aaa74c7db0a","Department of Geology and Department of Groundwater Engineering, Institute of Technology Bandung, Jln. Ganesha No. 10, Bandung, West Java, Indonesia; Center for Geological Survey, Geological Agency, Ministry of Energy and Mineral Resources, Jln. DiponegoroNo. 57, Bandung, West Java, Indonesia","Ramdhan, A.M., Department of Geology and Department of Groundwater Engineering, Institute of Technology Bandung, Jln. Ganesha No. 10, Bandung, West Java, Indonesia; Hutasoit, L.M., Department of Geology and Department of Groundwater Engineering, Institute of Technology Bandung, Jln. Ganesha No. 10, Bandung, West Java, Indonesia; Slameto, E., Center for Geological Survey, Geological Agency, Ministry of Energy and Mineral Resources, Jln. DiponegoroNo. 57, Bandung, West Java, Indonesia","Lateral reservoir drainage is a hydrodynamic flow type driven by the difference in overpressure. It can lead to hydrodynamically tilted hydrocarbon water contact, and open an opportunity of finding oil and gas in places where previously are not considered as potential traps. In this paper, some examples of the presence of hydrodynamic traps in Indonesia's sedimentary basin are discussed. Tilted hydrocarbon water contacts are present in some fields in the Lower Kutai Basin, and our interpretation is that regional lateral reservoir drainage is present in this basin and is responsible for the tilted contacts. It is also interpreted that lateral reservoir drainage leading to tilted hydrocarbon water contacts may be present at the Arun Field - North Sumatra Basin, Vorwata Field - Bintuni Basin, and BD Field - offshore East Java Basin. As most Indonesia's sedimentary basins are overpressured, the presence of lateral reservoir drainage driven by overpressure difference in the same stratigraphic unit is very plausible to occur, opening the opportunity for hydrodynamically tilted hydrocarbon water contact to be present. © IJOG - 2018.","Hydrodynamic; Lateral reservoir drainage; Lower Kutai Basin; Overpressure; Tilted hydrocarbon water contacts",,"Ramdhan, A.M.; Department of Geology and Department of Groundwater Engineering, Institute of Technology Bandung, Jln. Ganesha No. 10, Indonesia; email: agusmr@gc.itb.ac.id",,"Geological Agency",23559314,,,,"English","Indones. J. Geosci.",Article,,Scopus,2-s2.0-85043335225
"Setiyabudi E., Prasthisto B., Kurniawan I., Jatmiko T.","The early Holocene Vertebrate Faunas from Seropan Cave, Gunung Sewu, Yogyakarta, Indonesia",2018,"Indonesian Journal on Geoscience","5","1",,"33","45",,,10.17014/ijog.5.1.33-45,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043318396&doi=10.17014%2fijog.5.1.33-45&partnerID=40&md5=4bffaf9aa0ca2f2465deb0e53a146fe4","Geological Museum, Geological Agency, Bandung, Indonesia; University of Pembangunan Nasional (UPN) 'Veteran', Yogyakarta, Indonesia","Setiyabudi, E., Geological Museum, Geological Agency, Bandung, Indonesia; Prasthisto, B., University of Pembangunan Nasional (UPN) 'Veteran', Yogyakarta, Indonesia; Kurniawan, I., Geological Museum, Geological Agency, Bandung, Indonesia; Jatmiko, T., University of Pembangunan Nasional (UPN) 'Veteran', Yogyakarta, Indonesia","An excavation of a vertebrate fossil site was carried out in 2012 in the Seropan Cave of Gunung Sewu karst area, Wonosari, Yogyakarta. Among the discovered mammal fossils there are Cervus sp., Sus verrucosus, Bubalus sp., and Panthera cf. pardus. Small mammal bone fragments of GSP (Gua Seropan/Seropan Cave) Nos. 38, 67, 91-113 have been analyzed for C14 radiocarbon age dating, which gave a date of 9,450 ± 400 yrs. B.P. or Early Holocene. The Seropan fauna is part of the succession series of Braholo fauna that migrated before the Late Pleistocene, and was isolated after the last Ice Age. The Seropan fauna developed and adapted their morphology to the local habitat. © IJOG - 2018.","Braholo Fauna; Early Holocene; Gunung Sewu; Mammal fossils; Seropan Cave; Yogyakarta",,"Setiyabudi, E.; Geological Museum, Geological AgencyIndonesia; email: erick_91119@yahoo.com",,"Geological Agency",23559314,,,,"English","Indones. J. Geosci.",Article,,Scopus,2-s2.0-85043318396
"Ipmawan V.L., Brotopuspito K.S., Triastuty H.","Gliding and Quasi-harmonic tremor behaviour of Raung Volcano: November 2014 crisis period case study",2018,"Indonesian Journal on Geoscience","5","1",,"13","21",,,10.17014/ijog.5.1.13-21,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043332017&doi=10.17014%2fijog.5.1.13-21&partnerID=40&md5=5df879d8575407b50533a4547466b31f","Department of Physics, Universitas Gadjah Mada, Jln. Sekip utara Bulaksumur, Yogyakarta, Indonesia; Centre for Volcanology and Geological Hazard Mitigation, Geological Agency, Jln. Diponegoro No. 57 Bandung, West Java, Indonesia","Ipmawan, V.L., Department of Physics, Universitas Gadjah Mada, Jln. Sekip utara Bulaksumur, Yogyakarta, Indonesia; Brotopuspito, K.S., Department of Physics, Universitas Gadjah Mada, Jln. Sekip utara Bulaksumur, Yogyakarta, Indonesia; Triastuty, H., Centre for Volcanology and Geological Hazard Mitigation, Geological Agency, Jln. Diponegoro No. 57 Bandung, West Java, Indonesia","The seismic activity of Raung Volcano was raised on 11 November 2014. As many as 1709 tremors were recorded followed by continuous tremors appearing in late November 2014. Quasi-harmonic and gliding tremors appeared in a spectrogram on 12 November 2014. The quasi-harmonic tremors refer to tremors that have no fully harmonic form in spectrum. The gliding harmonic tremors refer to harmonic tremors that have frequency jumps with either positive or negative increment. After signal restitution processing, the Maximum Entropy Spectral Analysis (MESA) method was applied in Raung recordings resulting the spectrum and the spectrogram of tremors. The quasi-harmonic tremors have the monotonic spectrum in its head and centre segment, and the harmonic one in its tails. There are twenty-four spectrums that show frequency changes between the monotonic and harmonic. The similarity between the fundamental frequency range of the monotonic and harmonic ones suggests that both signals are excited from a common resonator. The alternating of monotonic and harmonic respectively over this period is qualitatively similar with Julian's synthetic time series about the nonlinear oscillator model. It is suggested that Raung Volcano magma pressure is sizeable to make a chaotic vibration. A pressure increasing in Raung magmatic conduit causes the increasing of P-wave velocity and makes a positive gliding frequency. © IJOG - 2018.","Chaotic vibration; Harmonic; MESA; Monotonic; Nonlinear oscillator model",,"Ipmawan, V.L.; Department of Physics, Universitas Gadjah Mada, Jln. Sekip utara Bulaksumur, Indonesia; email: vicoluthfi@gmail.com",,"Geological Agency",23559314,,,,"English","Indones. J. Geosci.",Article,,Scopus,2-s2.0-85043332017
"Sulaeman C., Hidayati S., Omang A., Priambodo I.C.","Tectonic model of Bali Island inferred from GPS data",2018,"Indonesian Journal on Geoscience","5","1",,"81","91",,,10.17014/ijog.5.1.81-91,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043310771&doi=10.17014%2fijog.5.1.81-91&partnerID=40&md5=50c6ff146542f5bb165bd7e0f941bf81","Centre for Volcanology and Geological Hazard Mitigation, Geological Agency, Jln. Diponegoro No. 57 Bandung, West Java, Indonesia","Sulaeman, C., Centre for Volcanology and Geological Hazard Mitigation, Geological Agency, Jln. Diponegoro No. 57 Bandung, West Java, Indonesia; Hidayati, S., Centre for Volcanology and Geological Hazard Mitigation, Geological Agency, Jln. Diponegoro No. 57 Bandung, West Java, Indonesia; Omang, A., Centre for Volcanology and Geological Hazard Mitigation, Geological Agency, Jln. Diponegoro No. 57 Bandung, West Java, Indonesia; Priambodo, I.C., Centre for Volcanology and Geological Hazard Mitigation, Geological Agency, Jln. Diponegoro No. 57 Bandung, West Java, Indonesia","Seven periods of GPS campaign have been conducted for three years since March 2013 - October 2015 on fourteen GPS sites across Bali Island. The GAMIT/GLOBK 10.6 version was used to compute data with respect for thirteen reference sites of International Terrestrial Reference Frame (ITRF) 2008 surrounding Bali. The result shows that horizontal displacement varies between 1.93 and 22.53 mm/yr dominantly northeastward. Vertical displacement ranges at -184.34 to 33.79 mm/yr. The result of modeling using Coulomb 3.3 version indicates the deformation in Bali was mostly contributed by subduction at the southern part, West and East Flores Back-Arc Thrust at the north, Lombok Strait Fault and a fault at the eastern coast of Bali with the estimation maximum magnitude of 7.1, 6.6, 6.8, 5.8, and 5.2, respectively. © IJOG - 2018.","Bali; Deformation; GPS campaign; Horizontal displacement; Subduction",,"Sulaeman, C.; Centre for Volcanology and Geological Hazard Mitigation, Geological Agency, Jln. Diponegoro No. 57 Bandung, Indonesia; email: cecepsula@gmail.com",,"Geological Agency",23559314,,,,"English","Indones. J. Geosci.",Article,,Scopus,2-s2.0-85043310771
"Idrus A.","Petrography and mineral chemistry of magmatic and hydrothermal biotite in porphyry copper-gold deposits: A tool for understanding mineralizing fluid compositional changes during alteration processes",2018,"Indonesian Journal on Geoscience","5","1",,"47","64",,,10.17014/ijog.5.1.47-64,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043322952&doi=10.17014%2fijog.5.1.47-64&partnerID=40&md5=bc3d68ae138514026f7759335efbb6d5","Department of Geological Engineering, Universitas Gadjah Mada, Jln. Grafika No. 2 Bulaksumur, Yogyakarta, Indonesia","Idrus, A., Department of Geological Engineering, Universitas Gadjah Mada, Jln. Grafika No. 2 Bulaksumur, Yogyakarta, Indonesia","This study aims to understand the petrography and chemistry of both magmatic and hydrothermal biotites in porphyry copper-gold deposits, and to evaluate the fluid compositional changes during alteration processes. A total of 206 biotite grains from selected rock samples taken from the Batu Hijau porphyry Cu-Au deposit was analyzed. Detailed petrography and biotite chemistry analysis were performed on thin sections and polished thin sections, respectively, representing various rocks and alteration types. A JEOL JXA-8900R electron microprobe analyzer (EMPA) was used for the chemistry analysis. The biotite is texturally divided into magmatic and hydrothermal types. Ti, Fe, and F contents can be used to distinguish the two biotite types chemically. Some oxide and halogen contents of biotite from various rocks and alteration types demonstrate a systematic variation in chemical composition. Biotite halogen chemistry shows a systematic increase in log (XCl/XOH) and decrease in log (XF/XOH) values from biotite (potassic) through chlorite-sericite (intermediate argillic) to actinolite (inner propylitic) zones. The y-intercepts on the log (XCl/XOH) vs. XMg and log (XF/XOH) vs. XFe plotted for biotite from potassic and intermediate argillic zones are similar or slightly different. In contrast, the y-intercepts on the log (XCl/XOH) vs. XMg and log (XF/XOH) vs. XFe plotted for biotite from inner propylitic zone display different values in comparison to the two alteration zones. Halogen (F,Cl) fugacity ratios in biotite show a similar pattern: in the potassic and intermediate argillic zones they show little variation, whereas in the inner propylitic zone they are distinctly different. These features suggest the hydrothermal fluid composition remained fairly constant in the inner part of the deposit during the potassic and intermediate argillic alteration events, but changed significantly towards the outer part affected by inner propylitic alteration. High halogen content, particularly Cl, in hydrothermal biotite may portray that copper and gold were transported in mineralizing fluids in the form of chloride complexes CuCl2 - and AuCl2 -, respectively. © IJOG - 2018.","Biotite; Fluid composition change; Halogen F and Cl; Mineral chemistry; Petrography; Porphyry Cu-Au deposits",,"Idrus, A.; Department of Geological Engineering, Universitas Gadjah Mada, Jln. Grafika No. 2 Bulaksumur, Indonesia; email: arifidrus@ugm.ac.id",,"Geological Agency",23559314,,,,"English","Indones. J. Geosci.",Article,,Scopus,2-s2.0-85043322952
"Rahim I.A., Musta B.","The stability of metasedimentary rock in Ranau, Sabah, Malaysia",2018,"Indonesian Journal on Geoscience","5","1",,"23","31",,,10.17014/ijog.5.1.23-31,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043337793&doi=10.17014%2fijog.5.1.23-31&partnerID=40&md5=229f027efd587bfb6556d070e615ce6a","Natural Disasters Research Centre, Faculty of Science and Natural Resources, Universiti Malaysia Sabah, UMS, Jalan, Kota Kinabalu, Sabah, Malaysia","Rahim, I.A., Natural Disasters Research Centre, Faculty of Science and Natural Resources, Universiti Malaysia Sabah, UMS, Jalan, Kota Kinabalu, Sabah, Malaysia; Musta, B., Natural Disasters Research Centre, Faculty of Science and Natural Resources, Universiti Malaysia Sabah, UMS, Jalan, Kota Kinabalu, Sabah, Malaysia","The aim of this paper is to determine the stability of slopes and to propose preliminary rock cut slope protection and stabilization measures for Paleocene to Middle Eocene Trusmadi Formation along Marakau-Kigiok in Ranau, Sabah, Malaysia. The rock of Trusmadi Formation is slightly metamorphosed and dominated by interbeds of sandstone with quartz vein (metagreywacke), metamudstone, shale, slate, sheared sandstone, and mudstone. The rock unit can be divided into four geotechnical units namely arenaceous unit, argillaceous unit, interbedded unit, and sheared unit. Twelve slopes were selected for this study. Geological mapping, discontinuity survey, kinematic analysis, and prescriptive measure were used in this study. Results of this study conclude that the potential modes of failures are planar and wedge. Terrace, surface drainage, weep holes, horizontal drain, vegetation cover, wire mesh, slope reprofiling, and retaining structure were proposed protection and stabilization measures for the slopes in the studied area. © IJOG - 2018.","Metasedimentary rock; Mode of failure; Ranau; Slope stability; Trusmadi Formation",,"Rahim, I.A.; Natural Disasters Research Centre, Faculty of Science and Natural Resources, Universiti Malaysia Sabah, UMS, Jalan, Malaysia; email: arismail@ums.edu.my",,"Geological Agency",23559314,,,,"English","Indones. J. Geosci.",Article,,Scopus,2-s2.0-85043337793
"Handayani L., Maryati, Kamtono, Ma'ruf Mukti M., Sudrajat Y.","Audio-magnetotelluric modeling of Cimandiri Fault Zone at Cibeber, Cianjur",2017,"Indonesian Journal on Geoscience","4","1",,"39","47",,3,10.17014/ijog.4.1.39-47,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040784042&doi=10.17014%2fijog.4.1.39-47&partnerID=40&md5=536f6eecbbd52b94b7d383f03fcbf4fb","Research Center for Geotechnology, Indonesian Institute of Sciences (LIPI), Jln. Sangkuriang, Bandung, Indonesia; Geological Engineering Department, Faculty of Engineering, Universitas Gadjah Mada, Jln. Grafika No. 2 Kampus UGM, Yogyakarta, Indonesia","Handayani, L., Research Center for Geotechnology, Indonesian Institute of Sciences (LIPI), Jln. Sangkuriang, Bandung, Indonesia; Maryati, Geological Engineering Department, Faculty of Engineering, Universitas Gadjah Mada, Jln. Grafika No. 2 Kampus UGM, Yogyakarta, Indonesia; Kamtono, Research Center for Geotechnology, Indonesian Institute of Sciences (LIPI), Jln. Sangkuriang, Bandung, Indonesia; Ma'ruf Mukti, M., Research Center for Geotechnology, Indonesian Institute of Sciences (LIPI), Jln. Sangkuriang, Bandung, Indonesia; Sudrajat, Y., Research Center for Geotechnology, Indonesian Institute of Sciences (LIPI), Jln. Sangkuriang, Bandung, Indonesia","The characteristic of Cimandiri Fault Zone has not been completely defined despite plenty of studies had already been accomplished. Therefore, an audio-magnetotelluric modeling was carried out. An audiomagnetotelluric survey was conducted at two parallel lines (N166°E) that intersected Cimandiri Fault Zone in Cibeber area, Cianjur. The distance between those two lines was 4.5 km and each line consisted of twenty-one stations with the distance between stations was 500 m. From the acquired forty-two apparent resistivity curves, inversion was executed to obtain two models. The models indicate layers with resistivity value of > 1000 ohm.m at about 500 m depth at both lines, which are associated to the basement layer. Columns of low resistivity zones in about the middle of each model represent fault zones as the weak zones of the area, and both models displayed them slightly dip southward as thrust faults.","Audiomagnetotelluric; Cianjur; Cibeber; Cimandiri Fault Zone; Resistivity inverse modeling",,"Handayani, L.; Research Center for Geotechnology, Indonesian Institute of Sciences (LIPI), Jln. Sangkuriang, Indonesia; email: lina.handayani@gmail.com",,"Geological Agency",23559314,,,,"English","Indones. J. Geosci.",Article,,Scopus,2-s2.0-85040784042
"Ovinda, Lambiase J.J.","Lateral facies and permeability changes in upper shoreface sandstones, Berakas Syncline, Brunei Darussalam",2017,"Indonesian Journal on Geoscience","4","1",,"11","20",,,10.17014/ijog.4.1.11-20,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040795219&doi=10.17014%2fijog.4.1.11-20&partnerID=40&md5=46ab7d27619ba7bdc256adbdacb13d98","Geological Department of Trisakti University, Jln. Kyai Tapa, No. 1, Grogol, Jakarta, Indonesia; Universiti Brunei Darussalam, Department of Petroleum Geoscience, Brunei Darussalam","Ovinda, Geological Department of Trisakti University, Jln. Kyai Tapa, No. 1, Grogol, Jakarta, Indonesia; Lambiase, J.J., Universiti Brunei Darussalam, Department of Petroleum Geoscience, Brunei Darussalam","Several outcrops were studied to identify sedimentary facies and to analyze permeability distribution, through which an outcrop analogue for upper shoreface reservoirs can be established. Four facies were identified: upper shoreface, lower shoreface, offshore transition, and tidal ones. Stratigraphic correlation of eleven outcrops indicates that the upper shoreface sandstone is generally clean, well sorted, parallel, and planar cross laminated. The sand becomes thinner and pinches out to the northwest where the mud proportion increases within the sand. Muddier sand was deposited in a relatively low energy upper shoreface setting. The thickness of the upper shoreface reservoir sand generally is 5 m. It decreases to zero over approximately 1.3 km as the sand pinches out to the northwest. To the northeast, the thickness also decreases to 4 m over approximately 4 km. Permeability values are more variable laterally than vertically. The permeability distribution has an obvious relationship to the sedimentary facies and is mainly controlled by the proportion of mud and bioturbation. As the sand pinches out in the northwest, permeability decreases from 590 md to 97 md over 1 km. To the northeast, permeability also decreases to 152 md over approximately 4 km where the sand becomes highly bioturbated. These values indicate that the sands are of good to very good reservoir quality. It appears that there are no major barriers to the lateral flow of fluid within the upper shoreface sandstone.","Facies; Outcrops; Permeability; Upper shoreface",,"Ovinda; Geological Department of Trisakti University, Jln. Kyai Tapa, No. 1, Indonesia; email: ovinda_usakti@yahoo.co.id",,"Geological Agency",23559314,,,,"English","Indones. J. Geosci.",Article,,Scopus,2-s2.0-85040795219
"Sapiie B., Nugraha M.A., Wardana R.K., Rifiyanto A.","Fracture characteristics of mélange complex basement in Bantimala area, South Sulawesi, Indonesia",2017,"Indonesian Journal on Geoscience","4","3",,"121","141",,,10.17014/ijog.4.3.121-141,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040789916&doi=10.17014%2fijog.4.3.121-141&partnerID=40&md5=55284b89d6305d63367ddd2b0b4c1082","Geology Study Program, Faculty of Earth Sciences and Technology, Institut Teknologi Bandung, Jln Ganesha No. 10, Bandung, Indonesia","Sapiie, B., Geology Study Program, Faculty of Earth Sciences and Technology, Institut Teknologi Bandung, Jln Ganesha No. 10, Bandung, Indonesia; Nugraha, M.A., Geology Study Program, Faculty of Earth Sciences and Technology, Institut Teknologi Bandung, Jln Ganesha No. 10, Bandung, Indonesia; Wardana, R.K., Geology Study Program, Faculty of Earth Sciences and Technology, Institut Teknologi Bandung, Jln Ganesha No. 10, Bandung, Indonesia; Rifiyanto, A., Geology Study Program, Faculty of Earth Sciences and Technology, Institut Teknologi Bandung, Jln Ganesha No. 10, Bandung, Indonesia","A detailed geological mapping and fracture characterization had been performed in Bantimala area, South Sulawesi, Indonesia. The geology of the studied area is composed of pre-Tertiary metamorphic, sedimentary, and igneous rocks which tectonically mixed forming a mélange complex. Located on the southeastern margin of Sundaland, the tectonic strongly influences the fracture occurrences in the studied area. A total of 3,841 fractures comprising shear fractures, extension fractures, veins, and joints have been measured and analyzed. The common fracture orientations are NW - SE, W - E, NNE - SSW, and ENE - WSW trends. Fractures developing in Bantimala have clearly been controlled by lithology and structure position (i.e. fault zones and fold hinge). The orientation of fractures in Bantimala area is different on each lithology, showing that the fracture system was complex. Fracture intensity in schist is higher compared to the other lithologies. The 3D fracture modeling through 3D geocellular modeling was generated using the result from field data measurements and analyses. Discrete Fracture Network (DFN) was built by fifty-one fracture sets that were analyzed from field measurement data. However, the estimation of average fracture porosity from modeling varies significantly depending on lithology. The value of fracture porosity is relatively small, varied from 0.0004 to 0.0029 %. A high fracture porosity number is observed in an area with a significant fracture intensity and most crosscutting of fracture which in turn is controlled by faults and lithology. A mélange complex can have high potential as a basement fractured reservoir target, where fracture distributions and their attributes will vary depending on the lithology as well as local deformation. © IJOG - 2017.","3D geocellular modeling; Bantimala Mélange Complex; Basement fractured reservoir; Discrete Fracture Network",,"Sapiie, B.; Geology Study Program, Faculty of Earth Sciences and Technology, Institut Teknologi Bandung, Jln Ganesha No. 10, Indonesia; email: bsapiie@gc.itb.ac.id",,"Geological Agency",23559314,,,,"English","Indones. J. Geosci.",Article,,Scopus,2-s2.0-85040789916
