Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Syukri M., Soewarno S., Halim L., Mohtar L.E.","The impact of engineering design process in teaching and learning to enhance students’ science problem-solving skills",2018,"Jurnal Pendidikan IPA Indonesia","7","1",,"66","75",,,10.15294/jpii.v7i1.12297,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044342244&doi=10.15294%2fjpii.v7i1.12297&partnerID=40&md5=58f8e559d8edf853f3d32816dd42bfb1","Syiah Kuala University, Banda Aceh, Indonesia; Faculty of Education, Universiti Kebangsaan Malaysia, Bangi, Malaysia","Syukri, M., Syiah Kuala University, Banda Aceh, Indonesia; Soewarno, S., Syiah Kuala University, Banda Aceh, Indonesia; Halim, L., Faculty of Education, Universiti Kebangsaan Malaysia, Bangi, Malaysia; Mohtar, L.E., Faculty of Education, Universiti Kebangsaan Malaysia, Bangi, Malaysia","This study aimed to determine the impact of the integration of engineering design process (asking, imagining, planning, creating and improving) in an electrical & magnetism module to improve problem-solving skills in physics among secondary school students in Aceh, Indonesia. The quasi-experimental study was carried out with 82 form three (age 15 years old) students of a secondary school in Aceh Besar, Indonesia. The first author had randomly chosen two classes as the experimental group and two other classes as the control group. Independent samples t-test analysis was conducted to determine the difference between the physics teaching and learning module which integrated the five steps of engineering design process and the existing commonly used science “Pudak” teaching and learning module. The results of the independent samples t-test analysis showed that the use of the physics teaching and learning module which integrated the five steps of engineering design process was more effective compared to the use of the existing “Pudak” module in increasing the students’ skills in solving physics problems. The findings of the study suggest that the science learning approach is appropriate to be applied in the teaching and learning of science to enhance science problem-solving skills among secondary school students. In addition, it can be used as a guide for teachers on how to implement the integration of the five steps of engineering design process in science teaching and learning practices. © 2018 Science Education Study Program FMIPA UNNES Semarang.","Engineering design; Magnetic field; Physics teaching and learning module; Science problem solving",,"Syukri, M.; Syiah Kuala UniversityIndonesia; email: syukri.physics@unsyiah.ac.id",,"Universitas Negeri Semarang",23391286,,,,"English","J. Pendidikan IPA Indones.",Article,,Scopus,2-s2.0-85044342244
"Ratnasari D., Sukarmin S., Suparmi S., Harjunowibowo D.","Analysis of science process skills of summative test items in physics of grade X in Surakarta",2018,"Jurnal Pendidikan IPA Indonesia","7","1",,"41","47",,,10.15294/jpii.v7i1.10439,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044312667&doi=10.15294%2fjpii.v7i1.10439&partnerID=40&md5=a5afa1d3cefbbf16d241029ec3d30e8d","The Faculty of Teacher Training and Education, Sebelas Maret University, Surakarta, Indonesia; Department of Architecture and Built Environment, The Faculty of Engineering, University of Nottingham, United Kingdom","Ratnasari, D., The Faculty of Teacher Training and Education, Sebelas Maret University, Surakarta, Indonesia; Sukarmin, S., The Faculty of Teacher Training and Education, Sebelas Maret University, Surakarta, Indonesia; Suparmi, S., The Faculty of Teacher Training and Education, Sebelas Maret University, Surakarta, Indonesia; Harjunowibowo, D., Department of Architecture and Built Environment, The Faculty of Engineering, University of Nottingham, United Kingdom","The objective of this research is to analyze the science process skills (SPS) of the summative test items in physics in Surakarta. This research used a descriptive method with content analysis, namely: summative test items in Academic Year 2015/2016 in Surakarta. Each item was analyzed based on science process skill indicators prepared and elaborated by the researchers. The result and discussion of the research showed that the SPS found in the summative test items in Physics in Surakarta included those of formulating hypotheses (2.88%), designing experiments (2.10%), interpreting data (5.10%), applying concepts (70.20%), communicating (6.64%), and drawing conclusions (13.08%) respectively. © 2018 Science Education Study Program FMIPA UNNES Semarang.","Science process skills; Summative test items",,"Ratnasari, D.; The Faculty of Teacher Training and Education, Sebelas Maret UniversityIndonesia; email: dewi_ratnasari@student.uns.ac.id",,"Universitas Negeri Semarang",23391286,,,,"English","J. Pendidikan IPA Indones.",Article,,Scopus,2-s2.0-85044312667
"Maryani I., Husna N.N., Wangid M.N., Mustadi A., Vahechart R.","Learning difficulties of the 5th grade elementary school students in learning human and animal body organs",2018,"Jurnal Pendidikan IPA Indonesia","7","1",,"96","105",,,10.15294/jpii.v7i1.11269,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044335108&doi=10.15294%2fjpii.v7i1.11269&partnerID=40&md5=56ac1338d9308433d32ff05a7e23db2b","Elementary School Education, Ahmad Dahlan University, Indonesia; Primary Education, Graduate School, Yogyakarta State University, Indonesia; Education Administration Department, Thaksin University, Thailand","Maryani, I., Elementary School Education, Ahmad Dahlan University, Indonesia; Husna, N.N., Elementary School Education, Ahmad Dahlan University, Indonesia; Wangid, M.N., Primary Education, Graduate School, Yogyakarta State University, Indonesia; Mustadi, A., Primary Education, Graduate School, Yogyakarta State University, Indonesia; Vahechart, R., Education Administration Department, Thaksin University, Thailand","Natural Science is an elementary school subject that requires students to organize ideas and concepts about the natural world gained from experiences through a series of scientific processes such as investigating, composing, and presenting ideas. The high complexity causes many cases of learning difficulties. This study aims to diagnose the learning difficulties that occur on 5th-grade elementary school students. The research was conducted in Muhammadiyah Pakem Elementary School, Sleman, Yogyakarta Special Regency. The subjects were 29 of 5th-grade elementary students. Data collection techniques were interviews, tests, and documentation. Data analysis techniques were descriptive statistic as a quantitative analysis and interactive model as a qualitative analysis. The learning difficulties were diagnosed by describing the students who were identified having learning difficulties; localizing the difficulties; and determining the factors that cause learning difficulties. The results showed that the difficulties experienced by students were in basic competence 1.1-1.5 (human blood circulation organs). The average percentage of students’ learning difficulties in Basic Competence 1.1 was 48%; Basic Competence 1.2 was 51.1%; Basic Competence 1.3 was 57.6%; Basic Competence. 1.4 is 64.7%; and Basic Competence 1.5 is 53.7%. The highest percentage of learning difficulties was in Basic Competence 1.4 (identifying human circulatory or-gans). It was caused by the students’ low attention and motivation to learn natural science, the imprecise teaching methods, the parents’ attention, and the negative influence of mass media. © 2018 Science Education Study Program FMIPA UNNES Semarang.","Blood circulation system; Natural science",,"Maryani, I.; Elementary School Education, Ahmad Dahlan UniversityIndonesia; email: ika_mail87@ymail.com",,"Universitas Negeri Semarang",23391286,,,,"English","J. Pendidikan IPA Indones.",Article,,Scopus,2-s2.0-85044335108
"Susilawati S., Wijayanto W., Khoiri N., Masturi M., Xaphakdy S.","Learning experience of pre-service physics teachers in developing simple project loaded by life skills",2018,"Jurnal Pendidikan IPA Indonesia","7","1",,"122","129",,,10.15294/jpii.v7i1.10889,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044306522&doi=10.15294%2fjpii.v7i1.10889&partnerID=40&md5=ca26705952c38f0bfb9c1d0fb6a90387","Physics Education Department, University of PGRI Semarang, Indonesia; Physics Department, State University of Semarang, Indonesia; Academic Affairs Office Division of Curriculum Development and Management, National University of Laos, Laos","Susilawati, S., Physics Education Department, University of PGRI Semarang, Indonesia; Wijayanto, W., Physics Education Department, University of PGRI Semarang, Indonesia; Khoiri, N., Physics Education Department, University of PGRI Semarang, Indonesia; Masturi, M., Physics Department, State University of Semarang, Indonesia; Xaphakdy, S., Academic Affairs Office Division of Curriculum Development and Management, National University of Laos, Laos","This research aims to reveal the experience profile of future Physics teachers in developing simple multi-loaded life skill project. The research method used was a descriptive method with 62 future Physics teachers as the research subject. Based on observations, interviews, and questionnaires, it was drawn descriptions of the future teachers’ experiences in developing a simple project. The future teachers were assessed based on some Physics indicators such as project design, project creation, data collection, data analysis, and creativity. The results of the project preparation descriptions obtained by the experience data of future Physics teachers indicate the highest score of 4.8 (96%) on the indicator of schedule making, while the lowest score was 2.9 (58%) on the indicators of formulating the product benefits, preparing the feasibility analysis and analyzing the environmental impact. The results show that future Physics teachers got the highest score of 4.6 (93%) on data adjustment for experimental purposes indicator, and the lowest score of 2.8 (55%) on designing tools and materials indicator. Based on the Physics props trial, it was obtained the highest score of 4.5 (89%) on the indicator of analyzing the baseline data, while the lowest score of 2.9 (58%) was on the variation test variables. Positive feedback about time-management in completing the project, the ability to identify the topic of the project, the ability to find ideas to support the completion of the project, the ability to test the tools, and the ability to make progress reports on project completion were derived from the interviews. The highest score of students’ responses to project completion was 4.8 (95%) on the second data collection indicator and the lowest was 3.2 (64%) on the instrument material design indicator. © 2018 Science Education Study Program FMIPA UNNES Semarang.","Multi life skills; Simple Projects",,"Susilawati, S.; Physics Education Department, University of PGRI SemarangIndonesia; email: susilawati@upgris.ac.id",,"Universitas Negeri Semarang",23391286,,,,"English","J. Pendidikan IPA Indones.",Article,,Scopus,2-s2.0-85044306522
"Utomo A.P., Narulita E., Yuana K., Fikri K., Wahono B.","Students’ errors in solving science reasoning-domain of trends in international mathematics and science study (TIMSS)",2018,"Jurnal Pendidikan IPA Indonesia","7","1",,"48","53",,,10.15294/jpii.v7i1.11352,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044289438&doi=10.15294%2fjpii.v7i1.11352&partnerID=40&md5=e425058fa8ccefbc160618009b97744c","University of Jember, Jember, Indonesia; National Taiwan Normal University, Taipei, Taiwan","Utomo, A.P., University of Jember, Jember, Indonesia; Narulita, E., University of Jember, Jember, Indonesia; Yuana, K., University of Jember, Jember, Indonesia; Fikri, K., University of Jember, Jember, Indonesia; Wahono, B., National Taiwan Normal University, Taipei, Taiwan","This research aims to identify the errors of students’ answers in solving the TIMSS cognitive domain of reasoning. This research was a qualitative descriptive research. A total 259 students from four secondary schools located in rural and urban areas in Jember, East Java participated in a paper and pencil test. Error identification was examined by reducing the result of wrong students’ answer and grouping based on error type of general errors. The results showed that the average percentage of total errors from the four schools were contradicting error of 7.3%, disregarding evidence error of 5.2%, misreading error of 45.7%, and opinion-based judgment error of 40.9%. In conclusion, there were four types of general errors made by students in answering TIMMS test item of reasoning domain with misreading and disregarding evidence as the highest and lowest error, respectively. © 2018 Science Education Study Program FMIPA UNNES Semarang.","Cognitive domain of reasoning; Students’ errors; TIMSS",,"Utomo, A.P.; University of JemberIndonesia; email: erlia.fkip@unej.ac.id",,"Universitas Negeri Semarang",23391286,,,,"English","J. Pendidikan IPA Indones.",Article,,Scopus,2-s2.0-85044289438
"Mahmudah U., Suhartono S., Rohayana A.D.","A robust data envelopment analysis for evaluating technical efficiency of indonesian high schools",2018,"Jurnal Pendidikan IPA Indonesia","7","1",,"114","121",,,10.15294/jpii.v7i1.9883,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044268468&doi=10.15294%2fjpii.v7i1.9883&partnerID=40&md5=3eaf496a70e3d47f013ac2202c0f5ce3","Faculty of Tarbiya and Teaching Sciences, State Islamic Institute of Pekalongan, Pekalongan, Indonesia; School of informatics and Applied Mathematics, Universiti Malaysia Terengganu, Malaysia; Sebelas Maret University, Kebumen, Indonesia; State Islamic Institute of Pekalongan, Pekalongan, Indonesia","Mahmudah, U., Faculty of Tarbiya and Teaching Sciences, State Islamic Institute of Pekalongan, Pekalongan, Indonesia, School of informatics and Applied Mathematics, Universiti Malaysia Terengganu, Malaysia; Suhartono, S., Sebelas Maret University, Kebumen, Indonesia; Rohayana, A.D., State Islamic Institute of Pekalongan, Pekalongan, Indonesia","The main purpose of this study is to evaluate the technical efficiency of high school education in Indonesia by applying Data Envelopment Analysis (DEA), which is the most frequently used to measure the efficiency scores. However, this study uses a robust approach to face the complex problem of the traditional DEA, which may lead to biased results. Besides, it is a powerful approach to estimate technical efficiency when outliers contaminate the data set. Statistical data from general senior secondary schools in the period 2015/2016 is analyzed, using 34 provinces as decision-making units (DMUs), with eight input and six output variables. The results indicate that the average efficiency score of Indonesia’s major political subdivisions in managing high school education is 0.936. Furthermore, as many as 32.35 percents of provinces achieve efficient performances, with an efficiency score equal to one, while 17 provinces have above average efficiency scores. The results also indicate that efficiency scores from robust data envelopment analysis provide better accuracy. Overall, application of robust data envelopment analysis (RDEA) is appropriate for measuring the efficiency of provincial performance in organizing secondary education. © 2018 Science Education Study Program FMIPA UNNES Semarang.","DEA; Efficiency; Outliers; Robust",,"Mahmudah, U.; Faculty of Tarbiya and Teaching Sciences, State Islamic Institute of PekalonganIndonesia; email: u_mudah@yahoo.com",,"Universitas Negeri Semarang",23391286,,,,"English","J. Pendidikan IPA Indones.",Article,,Scopus,2-s2.0-85044268468
"Amalia A.V., Yusa M.H.","Control pest of leaf caterpillars (Plutella xylostella) in delima rose apples using soursop leaf extract (Annona muricata)",2018,"Jurnal Pendidikan IPA Indonesia","7","1",,"1","8",,,10.15294/jpii.v7i1.12484,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044258356&doi=10.15294%2fjpii.v7i1.12484&partnerID=40&md5=d6de20422a7b966d042230fda1d84ab0","Department of Integrated Science, FMIPA, State University of Semarang, Indonesia; Technische Universität Berlin, Germany","Amalia, A.V., Department of Integrated Science, FMIPA, State University of Semarang, Indonesia; Yusa, M.H., Technische Universität Berlin, Germany","The increasing of pesticide use is in line with the increasing number of pest populations. However, the use of pesticides causes various negative impacts on the environment (soil, water, and air) such as pesticide-resistant pests, perishing of useful insects which are non-target pesticides, and the use of pesticide which can even lead to poisoning and death in humans. One of the environmentally-safe techniques to control pests is chemical, by the use soursop leaf extract. This study aims to determine the most effective concentration of soursop leaf extract (Annona muricata) in controlling leaf caterpillar (Plutella xylostella) in delima rose apples. The research was carried out in the plantation area of rose apples in tempuran village, Demak. The research method employed experimental research. The study was conducted using Completely Randomized Design. The data were obtained using probit analysis of LC50. The most effective concentration of soursop extract (Annona muricata) on leaf caterpillars’ mortality was 75 ppm. Soursop leaf extract (Annona muricata) has been proven to influence rose apples leaf cater-pillars’ mortality index. The LC50 value of soursop leaf extract was 75,16 mg/L. The result showed that soursop leaf extract (Annona muricata) is effective as a biopesticide material to control leaf caterpillar pest for delima rose apples. © 2018 Science Education Study Program FMIPA UNNES Semarang.","Delima apple rose; Leaf caterpillar; Soursoap leaf extract",,"Amalia, A.V.; Department of Integrated Science, FMIPA, State University of SemarangIndonesia; email: andinvita@mail.unnes.ac.id",,"Universitas Negeri Semarang",23391286,,,,"English","J. Pendidikan IPA Indones.",Article,,Scopus,2-s2.0-85044258356
"Djudin T., Amir R.","Integrating SQ4R technique with graphic postorganizers in the science learning of earth and space",2018,"Jurnal Pendidikan IPA Indonesia","7","1",,"76","84",,,10.15294/jpii.v7i1.11581,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044281923&doi=10.15294%2fjpii.v7i1.11581&partnerID=40&md5=097676a8f3ad145b8f2dae11892f560a","Physics Education Department of Education and Teacher Training Faculty, Tanjungpura University, Pontianak, Westkalimantan, Indonesia; Department of Innovation in Teaching and Learning, Faculty of Education, Malaysia","Djudin, T., Physics Education Department of Education and Teacher Training Faculty, Tanjungpura University, Pontianak, Westkalimantan, Indonesia; Amir, R., Department of Innovation in Teaching and Learning, Faculty of Education, Malaysia","This study examined the effect of integrating SQ4R reading technique with graphic post organizers on the students’ Earth and Space Science learning achievement and development of metacognitive knowledge. The pretest-posttest non-equivalent control group design was employed in this quasi-experimental method. The sample which consists of 103 seventh grade of secondary school students of SMPN 1 Pontianak was drawn by using intact group random sampling technique. An achievement test and a questionnaire of Reading-Self Awareness were administered. The findings assert that there are significant difference of students’ achievement (F=5.594, p ‹ 0.05) and development of metacognitive knowledge (F= 13.906, p ‹ 0.05) among groups after having received the three distinctive treatments. Integrating SQ4R reading technique with graphic post organizers reveals an effective impact on the academic achievement (ES= 0.69) and the metacognitive knowledge in reading text (ES = 0.48). It confirms that a science teacher has to execute and model metacognitive strategies intentionally. © 2018 Science Education Study Program FMIPA UNNES Semarang.","Achievement; Metacognition; Reading in science",,"Djudin, T.; Physics Education Department of Education and Teacher Training Faculty, Tanjungpura UniversityIndonesia; email: tomo.djudin@yahoo.com",,"Universitas Negeri Semarang",23391286,,,,"English","J. Pendidikan IPA Indones.",Article,,Scopus,2-s2.0-85044281923
"Mutakinati L., Anwari I., Yoshisuke K.","Analysis of students’ critical thinking skill of middle school through stem education project-based learning",2018,"Jurnal Pendidikan IPA Indonesia","7","1",,"54","65",,,10.15294/jpii.v7i1.10495,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044307677&doi=10.15294%2fjpii.v7i1.10495&partnerID=40&md5=f1cdffe5a997d99f678edacb9730a2d1","Graduate School of Science and Technology, Shizuoka University, Japan; Department of Science Education, Shizuoka University, Japan","Mutakinati, L., Graduate School of Science and Technology, Shizuoka University, Japan; Anwari, I., Graduate School of Science and Technology, Shizuoka University, Japan; Yoshisuke, K., Department of Science Education, Shizuoka University, Japan","This research is to investigate the students` critical thinking skill by using STEM education through Project Based Learning. The study applied descriptive research design. In these lessons, the participants were 160 first grade Japanese middle school students from four classes. They were divided into nine groups each class. The instruments are worksheets to explore students’ initial knowledge about how to clean up wastewater and critical thinking processes. The worksheet consists of the designing solution, and understanding of concepts to identify critical thinking based on purpose and question, selection of information, assumption, and point of view the solution, and implication. Students were asked to design tools to clean up the wastewater. Students were given more than one chance to design the best product for wastewater treatment. The lessons consist of six lessons. The first lesson is the introduction of colloid, solution, and suspension, and discussion about wastewater. The second lesson to the fourth lesson was finding solutions and designing products. The fifth lesson was to watch a video of wastewater treatments in Japan and to optimize the solutions or products. The last lesson was to make a conclusion, to exchange presentations, and to develop discussion. Implementation of STEM education can be seen from the students` solutions, some students used biology or chemistry or physics or combination concept and Mathematics to design solution (technology) for treatment of wastewater. The result showed that the mean score of students` critical thinking skill was 2.82. The students` critical thinking skill was categorized as advanced thinker: 41.6%, practicing thinker: 30,6%, beginning thinker: 25%, and challenged thinker: 2.8%. And the category for students` critical thinking was practicing thinker. Practicing thinker is a stage of critical thinking development, they have enough skill in thinking to critique their own plan for systematic practice, and to construct a realistic critique of their powers of thought to solve the contextual problem. © 2018 Science Education Study Program FMIPA UNNES Semarang.","Critical thinking; Project-based learning; STEM",,"Mutakinati, L.; Graduate School of Science and Technology, Shizuoka UniversityJapan; email: mutakinati@yahoo.com",,"Universitas Negeri Semarang",23391286,,,,"English","J. Pendidikan IPA Indones.",Article,,Scopus,2-s2.0-85044307677
"Ertikanto C., Rosidin U., Distrik I.W., Yuberti Y., Rahayu T.","Comparison of mathematical representation skill and science learning result in classes with problem-based and discovery learning model",2018,"Jurnal Pendidikan IPA Indonesia","7","1",,"106","113",,,10.15294/jpii.v6i2.9512,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044283363&doi=10.15294%2fjpii.v6i2.9512&partnerID=40&md5=3c9001994b8fc288f482be5d21932a7e","Postgraduate Faculty of Teacher Training and Education Faculty, Lampung University, Indonesia; Faculty of Tarbiyah, UIN Radin Intan Lampung, Indonesia; Faculty of Education, University of Kebangsaan Malaysia, Malaysia","Ertikanto, C., Postgraduate Faculty of Teacher Training and Education Faculty, Lampung University, Indonesia; Rosidin, U., Postgraduate Faculty of Teacher Training and Education Faculty, Lampung University, Indonesia; Distrik, I.W., Postgraduate Faculty of Teacher Training and Education Faculty, Lampung University, Indonesia; Yuberti, Y., Faculty of Tarbiyah, UIN Radin Intan Lampung, Indonesia; Rahayu, T., Faculty of Education, University of Kebangsaan Malaysia, Malaysia","The purpose of this research is to know the difference of mathematical representation skill, the result of science learning and its influence on problem-based learning and discovery learning model. The population of this study was 16 students of PGSD FKIP University of Lampung. Among 534 students, there were two experimental classes consisting of 35 students and each was determined through cluster random sampling. The data on mathematical representation skills and learning outcomes of science were obtained through a description test, five questions for assessing mathematical representation skills, and ten questions for assessing science learning outcomes. From the instruments that had been tested to 30 respondents, it was obtained a valid and reliable instrument with a score of 0.505 for mathematical representation skills, and 0.832 for learning outcomes. Furthermore, the data were analyzed by using normality test, homogeneity test, independent sample t-test, correlation test, and simple linear regression test. The results showed that there was no difference in the result of mathematical representation skill and science learning outcomes, between the problem-based learning model and real discovery. But there is a positive and significant linear influence between the mathematical representation skill and the learning outcomes of science, through a problem-based learning model of discovery. © 2018 Science Education Study Program FMIPA UNNES Semarang.","Discovery; Problem-based; Skill representation",,"Ertikanto, C.; Postgraduate Faculty of Teacher Training and Education Faculty, Lampung UniversityIndonesia; email: chandra.ertikanto@fkip.unila.ac.id",,"Universitas Negeri Semarang",23391286,,,,"English","J. Pendidikan IPA Indones.",Article,,Scopus,2-s2.0-85044283363
