Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Pieroni A., Scarpato N., Di Nunzio L., Fallucchi F., Raso M.","Smarter City: Smart energy grid based on Blockchain technology",2018,"International Journal on Advanced Science, Engineering and Information Technology","8","1",,"298","306",,,10.18517/ijaseit.8.1.4954,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042721215&doi=10.18517%2fijaseit.8.1.4954&partnerID=40&md5=456b1e5a41fada68c4a6cb9f0030e7a9","Dept. of Innovation and Information Engineering, Guglielmo Marconi University, Via plinio 44, Rome, Italy; Dept. of Human sciences and Promotion of the quality of life, San Raffaele Roma Open University, Via Val Cannuta 247, Rome, Italy; Department of Electronic Engineering, University of Rome Tor Vergata, Via Del Politecnico 1, Rome, Italy; Stato Maggiore Della Difesa, Via XX Settembre 123A, Rome, Italy","Pieroni, A., Dept. of Innovation and Information Engineering, Guglielmo Marconi University, Via plinio 44, Rome, Italy; Scarpato, N., Dept. of Human sciences and Promotion of the quality of life, San Raffaele Roma Open University, Via Val Cannuta 247, Rome, Italy; Di Nunzio, L., Department of Electronic Engineering, University of Rome Tor Vergata, Via Del Politecnico 1, Rome, Italy; Fallucchi, F., Dept. of Innovation and Information Engineering, Guglielmo Marconi University, Via plinio 44, Rome, Italy; Raso, M., Stato Maggiore Della Difesa, Via XX Settembre 123A, Rome, Italy","The improvement of the Quality of Life (QoL) and the enhancement of the Quality of Services (QoS) represent the main goal of every city evolutionary process. It is possible making cities smarter promoting innovative solutions by use of Information and Communication Technology (ICT) for collecting and analysing large amounts of data generated by several sources, such as sensor networks, wearable devices, and IoT devices spread among the city. The integration of different technologies and different IT systems, needed to build smart city applications and services, remains the most challenge to overcome. In the Smart City context, this paper intends to investigate the Smart Environment pillar, and in particular the aspect related to the implementation of Smart Energy Grid for citizens in the urban context. The innovative characteristic of the proposed solution consists of using the Blockchain technology to join the Grid, exchanging information, and buy/sell energy between the involved nodes (energy providers and private citizens), using the Blockchain granting ledger. © Advanced Science Engineering Information Technology. 2018.","Blockchain; Digital innovation; Digital revolution; Information technology; Machine learning; Smart City; Smart energy grid",,,,"Insight Society",20885334,,,,"English","Int. J. Adv. Sci. Eng. Inf. Technol.",Article,,Scopus,2-s2.0-85042721215
"Sze W.K., Huda N., Dewi M., Hashim H.","Physicochemical properties of egg white powder from eggs of different types of bird",2018,"International Journal on Advanced Science, Engineering and Information Technology","8","2",,"384","389",,,10.18517/ijaseit.8.2.4087,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046536962&doi=10.18517%2fijaseit.8.2.4087&partnerID=40&md5=ed7435b0d089e9f24232678bc7cfb26f","School of Industrial Technology, Universiti Sains Malaysia, Minden, Pulau Pinang, Malaysia; Institute for Community (Health) Development, Universiti Sultan Zainal Abidin, Gong Badak Campus, Terengganu Darul Iman, Malaysia; School of Food Industry, Faculty of Bioresources and Food Industry, Universiti Sultan Zainal Abidin, Besut Campus, Terengganu Darul Iman, Malaysia; Program Study of Animal Husbandry, Agriculture Polytechnic Payakumbuh, Payakumbuh, West Sumatera, Indonesia; School of Chemical Sciences and Food Technology, Faculty of Science and Technology, Universiti Kebangsaan Malaysia, UKM, Bangi, Selangor, Malaysia","Sze, W.K., School of Industrial Technology, Universiti Sains Malaysia, Minden, Pulau Pinang, Malaysia; Huda, N., Institute for Community (Health) Development, Universiti Sultan Zainal Abidin, Gong Badak Campus, Terengganu Darul Iman, Malaysia, School of Food Industry, Faculty of Bioresources and Food Industry, Universiti Sultan Zainal Abidin, Besut Campus, Terengganu Darul Iman, Malaysia; Dewi, M., Program Study of Animal Husbandry, Agriculture Polytechnic Payakumbuh, Payakumbuh, West Sumatera, Indonesia; Hashim, H., School of Chemical Sciences and Food Technology, Faculty of Science and Technology, Universiti Kebangsaan Malaysia, UKM, Bangi, Selangor, Malaysia","The objective of this study was to compare the physicochemical properties of egg white powder from eggs of different types of bird (local kampung chicken, local fighting chicken, local serama chicken, leghorn chicken, turkey, and guineafowl). Eggs were purchased from local farmers. Egg whites were separated from egg yolks manually, blast frozen, freeze-dried, and ground into powder. Moisture and protein content, colour, emulsification activity and stability, foaming capacity and stability, water holding capacity (WHC), and texture profile parameters of the egg white powders were measured in this study. The protein content and foaming capacity of egg white powder from leghorn chickens were significantly (p < 0.05) higher than that from the other chicken breeds. The emulsion ability and stability of commercial egg white powder were significantly (p < 0.05) lower than those of the powders from the chicken breeds tested, but it formed a stronger gel and had higher WHC. These results indicate that the physicochemical properties of egg white powder differ significantly among eggs from different types of bird. © IJASEIT.",,,"Huda, N.; Institute for Community (Health) Development, Universiti Sultan Zainal Abidin, Gong Badak CampusMalaysia; email: nhuda@unisza.edu.my",,"Insight Society",20885334,,,,"English","Int. J. Adv. Sci. Eng. Inf. Technol.",Article,,Scopus,2-s2.0-85046536962
"Leksono E.B., Suparno, Vanany I.","Development of performance indicators relationships on sustainable healthcare supply chain performance measurement using balanced scorecard and DEMATEL",2018,"International Journal on Advanced Science, Engineering and Information Technology","8","1",,"115","122",,,10.18517/ijaseit.8.1.3852,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042719538&doi=10.18517%2fijaseit.8.1.3852&partnerID=40&md5=f2faad4ff86f2521ec7683085715885a","Department of Industrial Engineering, University of Muhammadiyah Gresik, Jl. Sumatera 101 GKB, Gresik, Indonesia; Department of Industrial Engineering, Institut Teknologi Sepuluh Nopember, Kampus ITS Sukolilo, Surabaya, Indonesia","Leksono, E.B., Department of Industrial Engineering, University of Muhammadiyah Gresik, Jl. Sumatera 101 GKB, Gresik, Indonesia, Department of Industrial Engineering, Institut Teknologi Sepuluh Nopember, Kampus ITS Sukolilo, Surabaya, Indonesia; Suparno, Department of Industrial Engineering, Institut Teknologi Sepuluh Nopember, Kampus ITS Sukolilo, Surabaya, Indonesia; Vanany, I., Department of Industrial Engineering, Institut Teknologi Sepuluh Nopember, Kampus ITS Sukolilo, Surabaya, Indonesia","Sustainable healthcare supply chain performance measurement (SHSCPM) concept is still less developed. Globalization and pressure from stakeholder demand the operation of the supply chain to give attention to the environment effect, community, economic and intangibility assets. SHSCPM is feasibly developed for measuring the performance of simultaneous sustainability aspects and intangibility assets to meet customer satisfaction. This article discusses SHSCPM based on the balanced scorecard (BSC) with attention to the sustainability aspects, intangibility assets and relationships between the performance of perspectives and indicators. The perspectives and indicators of performance were identified by literature and the confirmed and validated by the survey to 7 expert respondents. We found 5 perspectives and 39 indicators from literature which were then confirmed to expert through a survey with an in-depth interview. From a survey that validated with a weighted average (WA) and level of consensus (LC), we found 31 valid indicators. Finally, 29 indicators from DEMATEL process were selected to be used on SHSCPM. The DEMATEL process found 2 indicators aren't important and influence for other, namely inventory cost and regulations and laws. Besides, the four results on this study: intangibility indicators incorporated on innovation and growth were most affect to other indicators which the intangibility indicators were related with human resource, indicators on customer perspective were most important compared to other indicators, indicators on economic aspect were most important compared indicators on environmental and social aspects, and indicators on social aspect were not affected by other indicators. After that, human resource and customer were main factors for SHSCPM. Finally, relationships between perspectives and indicators used to design of BSC strategy map. © Advanced Science Engineering Information Technology. 2018.","Balanced scorecard; DEMATEL; Level of consensus; SHSCPM; Weighted average",,"Leksono, E.B.; Department of Industrial Engineering, University of Muhammadiyah Gresik, Jl. Sumatera 101 GKB, Indonesia; email: eko_budileksono@umg.ac.id",,"Insight Society",20885334,,,,"English","Int. J. Adv. Sci. Eng. Inf. Technol.",Article,,Scopus,2-s2.0-85042719538
"Sarif, Kurauchi S., Yoshii T.","An analysis of Traveler's Evaluation frame toward public transport focusing on dynamic nature of reference point",2018,"International Journal on Advanced Science, Engineering and Information Technology","8","1",,"205","211",,,10.18517/ijaseit.8.1.4162,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042723173&doi=10.18517%2fijaseit.8.1.4162&partnerID=40&md5=fd42d533bc2ab43e1526578281161798","Graduate School of Science and Engineering, Ehime University, 3, Bunkyo-cho, Matsuyama, Japan; Department of Civil Engineering, State Polytechnic of Ujung, Pandang, Indonesia; Department of Civil and Environmental Engineering, Ehime University, 3, Bunkyo-cho, Matsuyama, Japan","Sarif, Graduate School of Science and Engineering, Ehime University, 3, Bunkyo-cho, Matsuyama, Japan, Department of Civil Engineering, State Polytechnic of Ujung, Pandang, Indonesia; Kurauchi, S., Department of Civil and Environmental Engineering, Ehime University, 3, Bunkyo-cho, Matsuyama, Japan; Yoshii, T., Department of Civil and Environmental Engineering, Ehime University, 3, Bunkyo-cho, Matsuyama, Japan","The internal reference point of traveler's decision-making is dynamic in nature. Public transport ridership considers a decision based on the utility value of gains and losses which can be modeled by using mental accounting theory. The objective of this research is to investigate the dynamic of internal reference points for public transport ridership after implementing transport policies. It describes the decision of travelers' behavior when facing the dynamic value of the utility, whether it is increasing, decreases or stable. In this study, a traveler's behavior model based on mental accounting theory was developed. The result showed that the public transport ridership's are more likely to change their reference point when realizing gains than losses for transport policies. Furthermore, the way of public transport ridership combines the decrease and increase of the utility value showed that travelers tend to consider which gains and losses occurred simultaneously. Therefore, the integration outcome is more desirable than segregation outcomes, and revealed that mental accounting theory plays a major role in public transport ridership. This survey was conducted for the short-term distance trip, particularly in shopping trip from the residential area (origin) to Community Business District (destination) in Matsuyama city, Japan. © Advanced Science Engineering Information Technology. 2018.","Discrete choice analysis; Internal reference point; Mental accounting theory; Travel behavior analysis; Travel mode choice",,,,"Insight Society",20885334,,,,"English","Int. J. Adv. Sci. Eng. Inf. Technol.",Article,,Scopus,2-s2.0-85042723173
"Hassan A.S., Abd-Allah M., Nagy H.F.","Bayesian analysis of record statistics based on generalized inverted exponential model",2018,"International Journal on Advanced Science, Engineering and Information Technology","8","2",,"323","335",,,10.18517/ijaseit.8.2.3506,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046535847&doi=10.18517%2fijaseit.8.2.3506&partnerID=40&md5=185d475c0085d459ec8e3879fb9c69c2","Department of Mathematical statistics, Cairo University, 5 Dr. Ahmed Zewail Street, Giza, Egypt","Hassan, A.S., Department of Mathematical statistics, Cairo University, 5 Dr. Ahmed Zewail Street, Giza, Egypt; Abd-Allah, M., Department of Mathematical statistics, Cairo University, 5 Dr. Ahmed Zewail Street, Giza, Egypt; Nagy, H.F., Department of Mathematical statistics, Cairo University, 5 Dr. Ahmed Zewail Street, Giza, Egypt","In some situations, only observations that are more extreme than the current extreme value are recorded. This kind of data is called record values which have many applications in a lot of fields. In this paper, the Bayesian estimators using squared error and LINEX loss functions for the generalized inverted exponential distribution parameters are considered depending on upper record values and upper record ranked set sampling. The Bayes estimates and credible intervals are derived by considering the independent gamma priors for the parameters. The Markov Chain Monte Carlo (MCMC) method is developed due to the lack of explicit forms for the Bayes estimates. A Simulation study is implemented to compute and compare the performance of estimators in both sampling schemes with respect to relative absolute biases, estimated risks and the width of credible intervals. © IJASEIT.","Bayesian estimator; Linear exponential (LINEX) loss function; Markov Chain Monte Carlo; Squared error (SE) loss function; Upper record ranked set sample",,,,"Insight Society",20885334,,,,"English","Int. J. Adv. Sci. Eng. Inf. Technol.",Article,,Scopus,2-s2.0-85046535847
"Bui T.-A., Pham V.-H., Nguyen H.-B., Nguyen T.-P., Nguyen D.-K., Nguyen V.-C.","Study of using cassava pulp to produce livestock feed pellet",2018,"International Journal on Advanced Science, Engineering and Information Technology","8","1",,"242","249",,,10.18517/ijaseit.8.1.3759,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042731558&doi=10.18517%2fijaseit.8.1.3759&partnerID=40&md5=dbe94014250fd81de5953ae7669202bb","School of Mechanical Engineering, Hanoi University of Science and Technology, No.1 Dai Co Viet Rd., Hanoi, Viet Nam; Nong Lam University Hochiminh city, Linh Trung Ward, Thu Duc District, Hochiminh city, Viet Nam","Bui, T.-A., School of Mechanical Engineering, Hanoi University of Science and Technology, No.1 Dai Co Viet Rd., Hanoi, Viet Nam; Pham, V.-H., School of Mechanical Engineering, Hanoi University of Science and Technology, No.1 Dai Co Viet Rd., Hanoi, Viet Nam; Nguyen, H.-B., Nong Lam University Hochiminh city, Linh Trung Ward, Thu Duc District, Hochiminh city, Viet Nam; Nguyen, T.-P., Nong Lam University Hochiminh city, Linh Trung Ward, Thu Duc District, Hochiminh city, Viet Nam; Nguyen, D.-K., Nong Lam University Hochiminh city, Linh Trung Ward, Thu Duc District, Hochiminh city, Viet Nam; Nguyen, V.-C., Nong Lam University Hochiminh city, Linh Trung Ward, Thu Duc District, Hochiminh city, Viet Nam","In Vietnam, the cassava production capacity is about 10 million tons annually. Indeed, it eliminates approximate 4 million tons of cassava pulp from the cassava starch factories. This amount of cassava is usually dried to feed cattle or fertilizer. However, drying of cassava pulp has its disadvantages such as air pollution, difficult storage and transportation. This study has proposed and successfully tested a line of equipment used to produce pellets from the utilization of fresh cassava pulp bringing from cassava starch processing plants. The processing includes a mixing of fresh cassava pulp with dried cassava starch, pressing and drying of pellets. The experiment results show that when the mixing ratio between cassava starch and cassava residue is 1:10-1:5, the cassava pulp pellets after drying achieved the required technical specifications. Hence, it has high volume density, the dried specific weight of the pellets is about 700 kg/m3, the breaking strength of the pellets is greater than 2 kG, the tanning time of the pellets is greater than 116 minutes in water, the moisture content of the pellets is remained in 13% after drying in 5-5.5 hours. © Advanced Science Engineering Information Technology. 2018.","Cassava pulp; Cassava starch; Livestock feed; Mixing machine; Pressing screw",,,,"Insight Society",20885334,,,,"English","Int. J. Adv. Sci. Eng. Inf. Technol.",Article,,Scopus,2-s2.0-85042731558
"Kim Y.","The Framework of cloud e-learning system for strengthening ICT competence of teachers in Nicaragua",2018,"International Journal on Advanced Science, Engineering and Information Technology","8","1",,"62","67",,,10.18517/ijaseit.8.1.2700,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042710626&doi=10.18517%2fijaseit.8.1.2700&partnerID=40&md5=225b9e736798569d3bf1acd828ec2953","Department of e-Learning, Graduate School, Korea National Open University, Seoul, South Korea","Kim, Y., Department of e-Learning, Graduate School, Korea National Open University, Seoul, South Korea","ICT use in education is a key instrument to enhance educational quality and change the educational paradigm. For example, Korea has been using computers and Internet into primary and secondary schools since the 1980s. There have been many educational policies for ICT use in education. Not only developed countries but also developing countries make a lot of effort to enhance the quality of education by using ICT in education. First of all, ICT competence of teachers is very important in order that ICT can be an effective tool in education. The level of teachers' ICT competence decides the level of using ICT in education. However, it is not easy for many teachers to take training for enhancing the level of ICT competence in a short time. This study suggests an elearning system for strengthening the ICT competence of teachers by using an example of an educational environment in Nicaragua. Since this e-learning system can be operated by using cloud computing technology, it will provide implications for education projects with ICT use in primary and secondary schools in developing countries. © Advanced Science Engineering Information Technology. 2018.","E-learning; ICT use in education; Learning system; Nicaragua",,"Kim, Y.; Department of e-Learning, Graduate School, Korea National Open UniversitySouth Korea; email: dragonknou@gmail.com",,"Insight Society",20885334,,,,"English","Int. J. Adv. Sci. Eng. Inf. Technol.",Article,,Scopus,2-s2.0-85042710626
"Kim H., Choi H.","Improvement of Diagnosis-Supplement System for basic academic skill based on affordance theory in the context of HCI",2018,"International Journal on Advanced Science, Engineering and Information Technology","8","1",,"12","17",,,10.18517/ijaseit.8.1.2712,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042715502&doi=10.18517%2fijaseit.8.1.2712&partnerID=40&md5=1ca458f78704a1e243e600c38b6b2fc3","Korea Education and Research Information Service, Donae-ro 64, Daegu, South Korea","Kim, H., Korea Education and Research Information Service, Donae-ro 64, Daegu, South Korea; Choi, H., Korea Education and Research Information Service, Donae-ro 64, Daegu, South Korea","The purpose of this study is to apprehend a problem of user affordance and to suggest an improvement plan to make the better usability of Diagnosis-Supplement System for basic academic skill. Starting in 2013, from 5 cities and provinces, this system was developed, and in 2015, it was completed construction in all (17) provinces. Now, this system serves diagnosis test and supplement study materials for underachievement students from 3rd grade to 8th grade. As of 2015, the role of this system is gradually increased that 16 million students, about 4% of pupils throughout the country are now using it. In turn, this study tries to analyze various ranging requirements of teachers and experts by doing focus group interview in terms of user affordance and try to suggest the way to improve this system for the sustainable use. Henceforth the results of this study, which includes specific problems of physical, cognitive, sensual affordance and a design prototype to improve these problems, can be an important base material for the process of improving Diagnosis Supplement System for Basic Academic Skill with effective and intuitive system. © Advanced Science Engineering Information Technology. 2018.","Basic academic skill; Diagnosis-supplement system; Web-based test",,,,"Insight Society",20885334,,,,"English","Int. J. Adv. Sci. Eng. Inf. Technol.",Article,,Scopus,2-s2.0-85042715502
"Effendi A.R.A., Anwar A., Mayerni R.","The effects of planting range and weed management on growth and yield of rice (Oryza sativa L.) using modified SRI (The System of Rice Intensification)",2018,"International Journal on Advanced Science, Engineering and Information Technology","8","1",,"272","279",,,10.18517/ijaseit.8.1.2159,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042725631&doi=10.18517%2fijaseit.8.1.2159&partnerID=40&md5=c2e3853370664398cf7a54cefa682cee","Faculty of Agriculture, Universitas Riau, Pekanbaru, Indonesia; Faculty of Agriculture, Universitas Andalas, Padang, Indonesia","Effendi, A.R.A., Faculty of Agriculture, Universitas Riau, Pekanbaru, Indonesia; Anwar, A., Faculty of Agriculture, Universitas Andalas, Padang, Indonesia; Mayerni, R., Faculty of Agriculture, Universitas Andalas, Padang, Indonesia","Using modified SRI (The System Rice of Intensification) was aimed at determining the optimum planting range and frequency of weeds management that could increase rice productivity. The research was consisted of two factors, planting range and frequency of weeds management. The trials were arranged in factorial using Randomized Block Design (5x4) and three replications. The first factor was five levels of planting range, 20 x 20 cm; 20 x 25 cm; 25 x 25 cm; 25 x 30 cm; and 30 x 30 cm. While the second factor was four levels of weeds management (manually) frequency, once (30 days after planting (DAP); twice (20; 40 DAP); 3 times (20; 30; 40 DAP); and 4 times (10; 20; 30; 40 DAP). Parameters measured were the maximum number of tillers, crops growth rate, net assimilation rate, number of productive tillers, the weight of 1000 seeds, seeds weight per clump, and seeds weight per hectare. The result showed that planting range 20 cm x 25 cm and three times frequency of weeding per planting season was the best interaction with the productivity 9.005 t ha-1. Rice cultivation technique by giving the height of water surface 10 cm under the soil surface, a distance of furrows 2 m, the dosage of compost 10 ton/ha, planting range 20 x 25 cm, and frequency of weeding three times per planting season could increase rice yield as much as 50.08 %. © Advanced Science Engineering Information Technology. 2018.","Planting range; Productivity; Rice; SRI (The System Rice of Intensification); Weed",,,,"Insight Society",20885334,,,,"English","Int. J. Adv. Sci. Eng. Inf. Technol.",Article,,Scopus,2-s2.0-85042725631
"Li Y., Ng S.C.","Timeliness of materials on reading recommendation system",2018,"International Journal on Advanced Science, Engineering and Information Technology","8","1",,"178","184",,,10.18517/ijaseit.8.1.4024,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042694949&doi=10.18517%2fijaseit.8.1.4024&partnerID=40&md5=1de5fa846544a0554542f1326ddb737c","Department of Information Technology, Baoding University, Qiyi Road, Baoding, China; School of Information Technology, SEGi University, Kota Damansara, Petaling Jaya, Malaysia","Li, Y., Department of Information Technology, Baoding University, Qiyi Road, Baoding, China, School of Information Technology, SEGi University, Kota Damansara, Petaling Jaya, Malaysia; Ng, S.C., School of Information Technology, SEGi University, Kota Damansara, Petaling Jaya, Malaysia","An improved fuzzy logic recommendation method named TFLRS is presented in this paper. The timeliness of reading materials is focused. The upload time of reading materials is attached as an important input parameter, and the numeric weights of input factors are further revised. The experiment result demonstrates that the recommendation ranking order of the latest and the out-of-date reading materials has obviously improved in comparison to the previous FLRS method. It solves the problem that the new reading materials cannot be timely discovered but the out-of-date reading materials always in the front of the recommendation ranking. The timeliness of reading materials effectively guarantees the user preferred newer materials are always at the higher level than the older materials in the recommendation ranking result and the accuracy of reading recommendation system has significantly improved. © Advanced Science Engineering Information Technology. 2018.","Fuzzy logic; Fuzzy set; Membership function; Recommendation method; Timeliness",,,,"Insight Society",20885334,,,,"English","Int. J. Adv. Sci. Eng. Inf. Technol.",Article,,Scopus,2-s2.0-85042694949
